Price,Close,High,Low,Open,Volume
Ticker,SFI.VN,SFI.VN,SFI.VN,SFI.VN,SFI.VN
Date,,,,,
2023-07-17,28305.80859375,28559.29344682836,28305.80859375,28390.30354477612,900
2023-07-19,28390.302734375,28643.78758021763,28348.055260067893,28348.055260067893,3700
2023-07-20,28517.046875,28517.046875,28390.30444444444,28390.30444444444,400
2023-07-21,28517.046875,28559.29435185185,28221.31453703704,28517.046875,6600
2023-07-24,28348.0546875,28517.044581315204,28305.8072140462,28305.8072140462,5700
2023-07-25,28517.046875,28517.046875,28474.79939814815,28517.046875,1100
2023-07-26,28517.046875,28559.29435185185,28517.046875,28559.29435185185,1800
2023-07-28,28432.55078125,28432.55078125,28052.323504829124,28432.55078125,2900
2023-08-03,27672.09375,28136.815935114504,27672.09375,28136.815935114504,4000
2023-08-04,27883.3359375,27883.3359375,27629.851065340907,27714.34602272728,2300
2023-08-07,27841.087890625,27883.33536845599,27545.35554580804,27883.33536845599,7000
2023-08-08,27545.353515625,27756.59088921108,27460.85856619057,27460.85856619057,13400
2023-08-09,27545.353515625,27629.84846505944,27460.85856619057,27545.353515625,5000
2023-08-10,27503.107421875,27883.33471342166,27503.107421875,27672.09732922908,7200
2023-08-11,27376.36328125,27503.10570384838,27122.87843605324,27418.61075544946,3700
2023-08-14,27756.591796875,27841.08674907249,27291.86955978881,27291.86955978881,10700
2023-08-15,27503.107421875,27503.107421875,27376.36499135945,27460.85994503648,1200
2023-08-16,27672.09375,27672.09375,27460.85639312977,27503.103864503817,11600
2023-08-17,27460.859375,27629.84927884615,27460.859375,27629.84927884615,25900
2023-08-18,25559.720703125,27460.85695377066,25559.720703125,27460.85695377066,28300
2023-08-21,25601.970703125,26193.43537283416,25559.723226717204,25559.723226717204,6700
2023-08-22,25559.720703125,25559.720703125,25475.22575865186,25475.22575865186,2600
2023-08-23,25686.466796875,26108.94157971834,25432.981927169,25432.981927169,3600
2023-08-24,27122.880859375,27122.880859375,25601.97165230725,25982.198954074185,12100
2023-08-25,26996.13671875,27122.879144659622,25517.47508313772,27122.879144659622,1100
2023-08-28,26996.13671875,26996.13671875,26615.90944102113,26953.8892434468,5000
2023-08-29,28136.818359375,28855.0254346143,26953.88905898085,27460.85875914977,23000
2023-08-30,27883.3359375,28221.315767045453,27883.3359375,28221.315767045453,3900
2023-08-31,27925.58203125,28010.07698444592,26700.40520990923,27883.334554652043,2000
2023-09-05,27967.828125,27967.828125,27883.333175981872,27883.333175981872,2600
2023-09-06,27798.83984375,27967.829751614743,27629.849935885257,27967.829751614743,5900
2023-09-07,27714.34375,27883.33365091464,27714.34375,27841.086175685978,7800
2023-09-08,27714.34375,27756.59122522865,27714.34375,27756.59122522865,300
