Price,Close,High,Low,Open,Volume
Ticker,SKG.VN,SKG.VN,SKG.VN,SKG.VN,SKG.VN
Date,,,,,
2017-01-03,35645.515625,35788.099603990064,34790.022558334414,35217.77089287967,97970
2017-01-04,35645.515625,35883.15318836682,35455.40485382156,35645.515625,100415
2017-01-05,36120.7890625,36358.42301232863,35645.51395799319,35645.51395799319,72434
2017-01-06,36833.69921875,37546.60829441279,36120.790143087215,36120.790143087215,73326
2017-01-09,38021.8828125,38449.62753065554,37071.336192490606,37071.336192490606,237542
2017-01-10,38116.9375,38972.43056356395,38021.88391596787,38021.88391596787,259275
2017-01-11,38592.21484375,38687.26843324694,37071.33939967328,37071.33939967328,118596
2017-01-12,38259.5234375,38782.32177887082,38116.93945172606,38782.32177887082,80951
2017-01-13,37784.24609375,38259.52121549367,37308.97097200633,38021.88365462183,98105
2017-01-16,37546.609375,38021.88450740347,37166.39143053221,38021.88450740347,84619
2017-01-17,37879.30078125,37926.83117674972,37071.3380941298,37071.3380941298,86948
2017-01-18,37689.19140625,38021.88254075428,37689.19140625,37879.29856743827,34887
2017-01-19,38021.8828125,38211.989975046985,37071.336192490606,37071.336192490606,242704
2017-01-20,37546.609375,37974.35771464812,36168.31797539489,37641.66656293568,178748
2017-01-23,36691.1171875,37546.61028510791,36691.1171875,37546.61028510791,122904
2017-01-24,36596.0625,37071.33762964219,36120.79097278277,36596.0625,60986
2017-01-25,37736.71875,37736.71875,36358.42379904674,36358.42379904674,45442
2017-02-03,37071.3359375,37071.3359375,36596.060829552014,37023.80914719016,88579
2017-02-06,37451.5546875,37546.60827021381,36596.0616358011,37071.33675421989,67505
2017-02-07,37689.19140625,37689.19140625,37166.389508132655,37499.08064263693,128084
2017-02-08,38069.41015625,38259.520923983946,37689.19222320699,37736.71901453426,327248
2017-02-09,39352.6484375,39352.6484375,38211.9910212877,38259.52141565065,220001
2017-02-10,39400.17578125,39447.70617627863,39210.06861083538,39352.648988646346,101676
2017-02-13,38734.79296875,39447.70565567111,38734.79296875,39447.70565567111,969655
2017-02-14,38354.57421875,38924.90291524607,38021.88307953143,38924.90291524607,189634
2017-02-15,38116.9375,38449.628646537385,38069.41070798394,38259.52147847312,48703
2017-02-16,38592.21484375,39067.48639365984,38164.4664861635,38164.4664861635,106468
2017-02-17,38402.1015625,38687.26591485284,38211.99079345648,38687.26591485284,251804
2017-02-20,38116.9375,38497.15543855345,38021.88391596787,38259.52147847312,65875
2017-02-21,38069.41015625,38307.04771531121,37831.77259718879,38069.41015625,95408
2017-02-22,37546.609375,38021.88450740347,37546.609375,37879.30052671244,71212
2017-02-23,36596.0625,37546.60915685942,36596.0625,37546.60915685942,675704
2017-02-24,36453.48046875,36643.58763004217,36405.95367842696,36596.06083971913,27416
2017-02-27,36596.0625,36881.22685730032,36453.48212256232,36453.48212256232,15619
2017-02-28,36596.0625,36881.22685730032,36548.53570752077,36596.0625,28232
