Price,Close,High,Low,Open,Volume
Ticker,SMA.VN,SMA.VN,SMA.VN,SMA.VN,SMA.VN
Date,,,,,
2023-07-17,7100.5517578125,7109.713760080645,7100.5517578125,7109.713760080645,2200
2023-07-19,7146.36181640625,7146.36181640625,7137.199814077524,7137.199814077524,15000
2023-07-20,7384.57373046875,7384.57373046875,7384.57373046875,7384.57373046875,100
2023-07-21,7512.841796875,7512.841796875,7384.573766196647,7384.573766196647,4100
2023-07-24,7027.25537109375,7027.25537109375,7027.25537109375,7027.25537109375,100
2023-07-28,7576.9755859375,7576.9755859375,7576.9755859375,7576.9755859375,100
2023-08-03,7659.43408203125,7659.43408203125,6834.853857889129,6834.853857889129,10200
2023-08-04,8190.83056640625,8190.83056640625,8190.83056640625,8190.83056640625,2600
2023-08-07,8758.8740234375,8758.8740234375,8154.181883744116,8190.829892210381,21100
2023-08-08,9253.6220703125,9345.242090810643,9162.002049814357,9345.242090810643,36200
2023-08-09,8612.28125,9345.241356382978,8612.28125,9253.621343085106,6200
2023-08-10,8016.751953125,8035.075957589286,8016.751953125,8016.751953125,25900
2023-08-11,7512.841796875,7604.461818788111,7503.67979468369,7512.841796875,21800
2023-08-14,8035.07568359375,8035.07568359375,7558.651583768351,7558.651583768351,7100
2023-08-15,7604.4619140625,8044.238024755271,7604.4619140625,8044.238024755271,8400
2023-08-16,7833.51171875,7833.51171875,7522.003650402047,7522.003650402047,1400
2023-08-17,7512.841796875,7787.70186261433,7512.841796875,7787.70186261433,1600
2023-08-18,7558.65185546875,7558.65185546875,7494.517839725379,7503.679841974432,20300
2023-08-21,7558.65185546875,7558.65185546875,7558.65185546875,7558.65185546875,7300
2023-08-22,7329.6015625,7329.6015625,7329.6015625,7329.6015625,4800
2023-08-23,7412.0595703125,7412.0595703125,7412.0595703125,7412.0595703125,200
2023-08-24,7512.841796875,7512.841796875,7512.841796875,7512.841796875,100
2023-08-25,7860.998046875,8035.076092202069,7860.998046875,8035.076092202069,400
2023-08-28,8080.8857421875,8080.885742187499,7338.763582190689,7338.763582190689,200
2023-08-29,8245.8017578125,8245.8017578125,7522.003603515624,7522.003603515624,300
2023-08-30,8236.640625,8236.640625,7668.596443965517,7668.596443965517,1000
2023-08-31,7696.08203125,7696.08203125,7696.08203125,7696.08203125,600
2023-09-05,7696.08203125,7696.08203125,7696.08203125,7696.08203125,400
2023-09-06,7970.94189453125,7970.94189453125,7970.94189453125,7970.94189453125,100
2023-09-07,7970.94189453125,8016.75190541936,7970.94189453125,8016.75190541936,1400
2023-09-08,7970.94189453125,7970.94189453125,7970.94189453125,7970.94189453125,800
2023-09-11,7961.779296875,8035.075308814011,7421.221208824799,7430.383210317175,5000
2023-09-14,7512.841796875,7604.461818788111,7512.841796875,7604.461818788111,8900
2023-09-15,7421.2216796875,7421.2216796875,7421.2216796875,7421.2216796875,100
2023-09-18,7934.29443359375,7934.29443359375,6926.474124476761,7696.082360529735,3400
2023-09-19,7402.89794921875,8245.802171159497,7402.89794921875,7934.294089137918,2100
2023-09-20,7906.80810546875,7906.80810546875,7402.897971284762,7402.897971284762,200
2023-09-21,7906.80810546875,7906.80810546875,7421.22197616418,7421.22197616418,2100
2023-09-22,7970.94189453125,8016.75190541936,7357.087748630567,8016.75190541936,600
