Price,Close,High,Low,Open,Volume
Ticker,SRF.VN,SRF.VN,SRF.VN,SRF.VN,SRF.VN
Date,,,,,
2023-07-17,9530.0,9560.0,9020.0,9560.0,2300
2023-07-19,9210.0,9570.0,9210.0,9400.0,700
2023-07-20,9490.0,9500.0,9490.0,9500.0,200
2023-07-21,9400.0,9450.0,9400.0,9450.0,200
2023-07-24,9100.0,9580.0,9100.0,9580.0,1000
2023-07-26,9080.0,9400.0,9080.0,9400.0,400
2023-07-28,9500.0,9600.0,9070.0,9590.0,800
2023-08-03,9100.0,9200.0,9100.0,9200.0,7900
2023-08-07,9200.0,9200.0,9200.0,9200.0,2100
2023-08-08,9200.0,9200.0,9200.0,9200.0,100
2023-08-09,9200.0,9300.0,9150.0,9300.0,2200
2023-08-10,9600.0,9600.0,9200.0,9200.0,2600
2023-08-14,9300.0,9450.0,9300.0,9300.0,4000
2023-08-15,9100.0,9100.0,9100.0,9100.0,400
2023-08-16,9100.0,9100.0,9000.0,9060.0,6500
2023-08-17,9110.0,9110.0,9040.0,9050.0,6200
2023-08-18,9190.0,9190.0,8800.0,9040.0,1700
2023-08-21,9190.0,9190.0,9190.0,9190.0,100
2023-08-23,9180.0,9180.0,8900.0,8900.0,2801
2023-08-25,9750.0,9750.0,8820.0,8850.0,4700
2023-08-28,9440.0,9490.0,9100.0,9490.0,1200
2023-08-30,9440.0,9440.0,9100.0,9300.0,2800
2023-08-31,9600.0,9600.0,9500.0,9500.0,200
2023-09-05,9220.0,9450.0,9220.0,9450.0,4900
2023-09-06,9540.0,9700.0,9110.0,9110.0,5700
2023-09-08,9450.0,9510.0,9000.0,9100.0,3001
2023-09-11,9250.0,9250.0,9150.0,9250.0,9200
2023-09-12,9290.0,9290.0,9150.0,9150.0,1100
2023-09-13,9160.0,9710.0,9160.0,9710.0,2700
2023-09-14,9120.0,9450.0,9120.0,9160.0,2200
2023-09-15,9430.0,9430.0,9290.0,9290.0,200
2023-09-18,9140.0,9500.0,9110.0,9200.0,18200
2023-09-19,9110.0,9110.0,9110.0,9110.0,101
2023-09-20,9110.0,9390.0,9110.0,9390.0,200
2023-09-21,8870.0,9110.0,8800.0,9110.0,1500
2023-09-22,9290.0,9290.0,9290.0,9290.0,102
2023-09-25,9940.0,9940.0,9290.0,9290.0,72300
2023-09-26,10600.0,10600.0,10000.0,10600.0,371400
2023-09-27,10550.0,10800.0,9870.0,10600.0,94700
2023-09-28,9990.0,10950.0,9820.0,10550.0,56200
2023-09-29,9390.0,10200.0,9340.0,9390.0,29300
2023-10-02,9970.0,9980.0,9000.0,9020.0,52800
2023-10-03,9970.0,9980.0,9280.0,9300.0,20300
2023-10-04,9280.0,9950.0,9280.0,9290.0,30600
2023-10-05,9020.0,9280.0,9020.0,9080.0,14800
2023-10-06,9070.0,9270.0,8530.0,9020.0,33800
2023-10-09,9000.0,9070.0,8830.0,8950.0,31100
2023-10-10,8980.0,9210.0,8550.0,8800.0,22400
2023-10-11,8370.0,8980.0,8360.0,8550.0,64200
2023-10-12,8300.0,8600.0,7790.0,8500.0,97200
2023-10-13,8300.0,8300.0,7720.0,7840.0,92400
2023-10-16,7870.0,8240.0,7870.0,7870.0,17600
2023-10-17,7960.0,8220.0,7820.0,8030.0,10900
2023-10-18,7880.0,8080.0,7610.0,8040.0,23500
2023-10-19,7770.0,7850.0,7420.0,7430.0,26100
2023-10-20,7800.0,7800.0,7380.0,7380.0,6200
2023-10-23,7760.0,7900.0,7560.0,7570.0,4700
2023-10-24,7820.0,7860.0,7600.0,7780.0,3400
2023-10-25,7810.0,7960.0,7810.0,7860.0,4400
2023-10-26,7790.0,7800.0,7460.0,7760.0,6100
2023-10-27,7780.0,7780.0,7770.0,7770.0,700
2023-10-30,7740.0,7740.0,7270.0,7510.0,4800
2023-10-31,7730.0,7740.0,7210.0,7740.0,4200
2023-11-01,7490.0,7700.0,7190.0,7320.0,8300
