Price,Close,High,Low,Open,Volume
Ticker,ST8.VN,ST8.VN,ST8.VN,ST8.VN,ST8.VN
Date,,,,,
2023-07-17,24750.0,26000.0,24750.0,24950.0,341100
2023-07-19,24950.0,25000.0,24500.0,24600.0,41600
2023-07-20,24950.0,24950.0,24500.0,24950.0,45500
2023-07-21,24550.0,24950.0,24550.0,24950.0,194000
2023-07-24,24800.0,24900.0,24400.0,24600.0,133400
2023-07-26,24800.0,24850.0,24450.0,24850.0,43100
2023-07-28,23400.0,24000.0,23000.0,23100.0,114300
2023-08-03,22200.0,22800.0,21900.0,22000.0,216000
2023-08-04,22100.0,22150.0,21850.0,21850.0,275800
2023-08-07,23100.0,23200.0,22100.0,22150.0,432000
2023-08-08,23700.0,24200.0,23400.0,23400.0,647700
2023-08-09,23400.0,24500.0,22950.0,24500.0,78800
2023-08-10,22950.0,23000.0,22400.0,22950.0,39900
2023-08-11,22950.0,23150.0,22450.0,22500.0,737500
2023-08-14,23100.0,23200.0,22950.0,23000.0,34100
2023-08-15,22800.0,23000.0,21950.0,23000.0,137000
2023-08-16,22800.0,22800.0,22650.0,22800.0,14400
2023-08-17,22650.0,22950.0,21750.0,22950.0,195100
2023-08-18,21150.0,22850.0,21100.0,22850.0,86800
2023-08-21,22600.0,22600.0,20950.0,20950.0,181900
2023-08-22,22000.0,23500.0,21650.0,23500.0,80600
2023-08-23,21600.0,22450.0,21000.0,22000.0,71400
2023-08-24,21150.0,21700.0,20950.0,21100.0,75500
2023-08-25,21350.0,21700.0,21100.0,21200.0,22500
2023-08-28,21600.0,21600.0,21300.0,21600.0,67000
2023-08-29,21600.0,21900.0,21500.0,21800.0,21600
2023-08-30,21600.0,21650.0,21400.0,21600.0,8400
2023-08-31,21950.0,22000.0,21550.0,21600.0,28200
2023-09-05,21850.0,22000.0,21800.0,21950.0,72100
2023-09-06,21750.0,21950.0,21700.0,21850.0,37900
2023-09-07,21800.0,21950.0,21700.0,21950.0,40100
2023-09-08,21800.0,21850.0,21700.0,21800.0,32400
2023-09-11,21600.0,21900.0,21600.0,21600.0,19000
2023-09-12,21450.0,21800.0,21450.0,21500.0,30700
2023-09-13,21650.0,21800.0,21500.0,21500.0,400500
