Price,Close,High,Low,Open,Volume
Ticker,TCB.VN,TCB.VN,TCB.VN,TCB.VN,TCB.VN
Date,,,,,
2018-06-04,15300.9970703125,15689.499547557813,15300.9970703125,15300.9970703125,16871038
2018-06-05,14344.6875,15838.92519756317,14344.6875,14807.90078350067,10136998
2018-06-06,13746.9912109375,14344.686785510505,13597.5679739419,14195.262672984703,11410078
2018-06-07,14703.3037109375,14703.3037109375,13911.357766317798,14120.55081995522,8859238
2018-06-08,15719.3857421875,15719.3857421875,14867.67000641322,15091.80572635382,12050998
2018-06-11,16287.1962890625,16287.1962890625,15420.538690529624,15659.616226075828,7378978
2018-06-12,15689.501953125,16137.773437499998,15375.711914062498,16137.773437499998,7101778
2018-06-13,15749.26953125,16137.772034280568,15614.788097630992,15689.500588883886,5329978
2018-06-14,15689.501953125,15913.637695312498,15465.366210937498,15913.637695312498,4752778
2018-06-15,15719.3857421875,15764.21288617562,15465.364675901385,15764.21288617562,15353596
2018-06-18,14942.3818359375,15689.50154060553,14643.53447938842,15555.02009882891,12256840
2018-06-19,14195.26171875,14494.10992371241,13896.414389317732,14210.204391657164,25210318
2018-06-20,14225.1474609375,14419.397836492555,13911.357449854542,14195.262114290445,3461218
2018-06-21,14225.1474609375,14255.031932054391,13941.241920971435,14255.031932054391,2986738
2018-06-22,14195.26171875,14210.204391657164,13986.068675700426,14210.204391657164,1972258
2018-06-25,14329.744140625,14494.11092739538,14299.859668271383,14344.686814566909,6596038
2018-06-26,14195.26171875,14269.974207755671,14075.72296208312,14105.607432367306,2962738
2018-06-27,13986.0703125,14195.263380031583,13971.127637844083,13971.127637844083,2369158
2018-06-28,13776.8759765625,13971.126351553976,13224.007571557931,13896.41473621342,8449378
2018-06-29,13702.1640625,13746.991208697416,12999.872397250554,13597.567971726165,10529998
2018-07-02,13134.353515625,13717.106401983789,12999.872080311434,13717.106401983789,4017418
2018-07-03,12222.8681640625,13194.123576152577,12222.8681640625,13074.5839366623,18459670
2018-07-04,12103.3291015625,12103.3291015625,11371.152110982612,12028.617485371553,12574600
2018-07-05,12618.841796875,12932.631823795517,12103.329609791295,12932.631823795517,3166900
2018-07-06,12910.2177734375,12999.872063530816,12103.329162597656,12551.600613064236,2321980
2018-07-09,12775.7373046875,13089.52734375,12484.36083984375,12999.873046875,1387800
2018-07-10,12394.7060546875,12775.736801395797,12327.465334680151,12775.736801395797,1098200
2018-07-11,11542.990234375,12148.15671268204,11542.990234375,12148.15671268204,3229140
2018-07-12,11655.0576171875,11655.0576171875,11251.613315054086,11251.613315054086,1708160
2018-07-13,11744.7119140625,11879.193348192986,11655.057624642175,11834.366203482825,857800
2018-07-16,11744.7119140625,11744.7119140625,11542.98976286677,11655.057624642175,860320
2018-07-17,12148.15625,12327.464829335791,11520.576222324724,11744.711946494464,2349040
2018-07-18,12529.1875,12775.736806797851,12237.811046511628,12327.465339892666,2278680
2018-07-19,12506.7734375,12551.600582437277,12327.464857750896,12551.600582437277,1416860
2018-07-20,12506.7734375,12506.7734375,12192.983422939067,12327.464857750896,3036380
2018-07-23,11924.0205078125,12484.359817390156,11924.0205078125,12237.810521175988,1841380
2018-07-24,11834.3662109375,12327.464803059896,11789.5390661991,12103.329079367895,2038240
2018-07-25,11991.26171875,12036.08886536215,11161.959506425232,12013.675292056074,8476020
2018-07-26,11565.4033203125,11767.125471248182,11430.921886355378,11655.057609617248,1554860
2018-07-27,11632.64453125,11744.71239763969,11475.749518304432,11565.403811416185,6415320
2018-07-30,11699.884765625,11744.71191032088,11610.230476233235,11632.644048581178,3098476
2018-07-31,12461.947265625,12506.7744140625,11655.05859375,11722.29931640625,9381320
2018-08-01,12349.87890625,12842.977519566695,12170.570319589384,12506.77391957804,4229240
2018-08-02,12775.7373046875,12775.7373046875,12103.330078125,12237.8115234375,13364980
2018-08-03,12708.49609375,12955.04540068342,12551.601080246914,12820.563960537918,24116280
2018-08-06,12551.6005859375,12686.082020786833,12461.946296037946,12551.6005859375,2998640
2018-08-07,12529.1875,12641.255366726296,12282.638193202149,12439.533206618962,3440800
2018-08-08,12439.533203125,12618.841789836712,12282.638189752251,12618.841789836712,2812900
2018-08-09,12282.638671875,12686.0830078125,12282.638671875,12506.7744140625,4764820
2018-08-10,12192.9833984375,12417.119122673485,11834.366239659928,12282.637688131894,5587162
2018-08-13,12305.0517578125,12394.706051129897,12013.675304530963,12103.32959784836,2984600
2018-08-14,12192.9833984375,12327.46483297909,12103.329108743106,12327.46483297909,2821180
2018-08-15,11879.193359375,12192.983372641507,11879.193359375,12103.329083136792,2269020
2018-08-16,11879.193359375,12058.501938384434,11632.644063237029,11879.193359375,4352680
2018-08-17,11879.193359375,12058.501938384434,11879.193359375,11879.193359375,5363780
2018-08-20,11879.193359375,11968.847648879717,11610.23049086085,11968.847648879717,1850614
2018-08-21,11879.193359375,11946.434076503538,11767.125497494104,11879.193359375,1808540
2018-08-22,11946.43359375,12282.637165806753,11901.6064508091,11968.84716522045,2773700
2018-08-23,11991.26171875,12170.570305198598,11946.43457213785,12103.329585280371,2330120
2018-08-24,11924.0205078125,12080.915514494243,11879.193363046288,11991.26122496182,1694020
2018-08-27,11879.193359375,12036.088366008256,11879.193359375,11924.020504127358,3036780
2018-08-28,11767.125,12013.674285714287,11744.711428571429,11924.02,3401480
2018-08-29,11722.2978515625,11811.952137234106,11699.8842801446,11767.124994398302,1556480
2018-08-30,11789.5390625,11789.5390625,11677.471200689164,11722.298345413496,2105680
2018-08-31,11789.5390625,12036.08835848384,11789.5390625,11789.5390625,3561060
2018-09-04,11699.884765625,11924.020489104409,11677.47119327706,11789.539055016765,4653220
2018-09-05,11565.4033203125,11767.125471248182,11542.989747986312,11699.884754269622,18998924
2018-09-06,11117.1318359375,11610.230425434727,11117.1318359375,11565.40328093498,5866360
