Price,Close,High,Low,Open,Volume
Ticker,TCD.VN,TCD.VN,TCD.VN,TCD.VN,TCD.VN
Date,,,,,
2017-05-26,5173.7802734375,5641.089521108894,4272.541196323339,4272.541196323339,11582157
2017-05-29,4839.9873046875,5340.675916296114,4839.9873046875,5340.675916296114,554219
2017-05-30,5173.7802734375,5173.7802734375,4739.850443994733,4739.850443994733,1150621
2017-05-31,5273.91748046875,5340.675874577446,5173.779672011617,5173.779672011617,581203
2017-06-01,5273.91748046875,5440.813248446399,5273.91748046875,5290.606970348879,388740
2017-06-02,5107.021484375,5240.538277990349,5040.263087567325,5107.021484375,283655
2017-06-05,5040.26318359375,5273.917794166267,4839.987554766904,5006.883767259874,862406
2017-06-06,5040.26318359375,5123.7110725461325,5006.883767259874,5040.26318359375,493557
2017-06-07,5040.26318359375,5173.779979752844,5040.26318359375,5173.779979752844,349330
2017-06-08,5073.64208984375,5140.400486929933,5006.883692757567,5073.64208984375,539393
2017-06-09,5424.1240234375,5424.1240234375,5056.952620615843,5207.159340636449,1179285
2017-06-12,5607.70947265625,5707.847281499884,5424.123779501708,5707.847281499884,660423
2017-06-13,5607.70947265625,5908.1224645989705,5540.951078289888,5908.1224645989705,440815
2017-06-14,5607.70947265625,5641.088887133522,5507.572098400798,5507.572098400798,734497
2017-06-15,5607.70947265625,5707.847281499884,5340.6758951908005,5607.70947265625,1343858
2017-06-16,5741.22705078125,5741.22705078125,5524.261929741133,5540.951420717078,518089
2017-06-19,5574.3310546875,5674.4684390373,5574.3310546875,5607.710037941358,167692
2017-06-20,5574.3310546875,5607.710037941358,5507.572653591558,5540.951636845416,332398
2017-06-21,5607.70947265625,5674.467867022612,5574.33049276716,5607.70947265625,212381
2017-06-22,5941.501953125,5991.570858170825,5707.847352636612,5707.847352636612,633892
2017-06-23,5941.501953125,5974.880933430091,5891.433048079176,5891.433048079176,384687
2017-06-26,5908.123046875,6008.260865587733,5691.158352448377,5691.158352448377,566138
2017-06-27,5908.123046875,6075.019266533481,5841.364645929252,5874.744063696238,671782
2017-06-28,6008.2607421875,6075.019141762135,5841.364525956806,5908.12292553144,651890
2017-06-29,5991.5712890625,6041.640197709095,5874.743980416517,6008.260780415292,388793
2017-06-30,5991.5712890625,5991.5712890625,5874.743980416517,5991.5712890625,187237
2017-07-03,5991.5712890625,6075.01918041468,5908.122963122101,5924.812889063112,511609
2017-07-04,5891.43310546875,6008.260406850981,5891.43310546875,5908.122595783871,374901
2017-07-05,6244.9189453125,6297.991721259696,5802.644218929264,6191.845734777139,600225
2017-07-06,6297.9921875,6545.666174294602,6156.464195045942,6156.464195045942,464035
2017-07-07,6262.60986328125,6368.755852094583,6191.845870739028,6227.227867010139,143157
2017-07-10,6191.845703125,6262.609693751632,5997.244946195844,6262.609693751632,360170
2017-07-11,6121.08203125,6156.464028405812,5979.554042626752,6085.700034094188,289358
