Price,Close,High,Low,Open,Volume
Ticker,TCR.VN,TCR.VN,TCR.VN,TCR.VN,TCR.VN
Date,,,,,
2023-07-17,3550.0,3550.0,3550.0,3550.0,9600
2023-07-19,3580.0,3580.0,3560.0,3560.0,13700
2023-07-20,3580.0,3580.0,3580.0,3580.0,1500
2023-07-21,3500.0,3580.0,3500.0,3580.0,2500
2023-07-24,3500.0,3600.0,3500.0,3500.0,25200
2023-07-26,3500.0,3600.0,3500.0,3600.0,5100
2023-07-28,3510.0,3560.0,3500.0,3560.0,600
2023-08-03,3670.0,3670.0,3510.0,3600.0,2500
2023-08-04,3650.0,3650.0,3640.0,3650.0,2300
2023-08-07,3650.0,3690.0,3400.0,3420.0,3700
2023-08-08,3550.0,3650.0,3550.0,3650.0,2300
2023-08-09,3510.0,3590.0,3510.0,3550.0,5700
2023-08-10,3530.0,3640.0,3520.0,3520.0,3900
2023-08-11,3550.0,3630.0,3480.0,3630.0,4200
2023-08-14,3560.0,3560.0,3500.0,3510.0,4000
2023-08-15,3560.0,3600.0,3560.0,3600.0,1400
2023-08-16,3560.0,3600.0,3500.0,3600.0,2100
2023-08-17,3560.0,3560.0,3550.0,3560.0,17900
2023-08-18,3500.0,3500.0,3500.0,3500.0,6400
2023-08-21,3560.0,3580.0,3500.0,3500.0,3000
2023-08-22,3520.0,3660.0,3510.0,3660.0,8300
2023-08-23,3610.0,3750.0,3610.0,3740.0,12800
2023-08-24,3690.0,3690.0,3520.0,3650.0,700
2023-08-25,3690.0,3690.0,3690.0,3690.0,100
2023-08-28,3700.0,3720.0,3700.0,3710.0,4200
2023-08-29,3700.0,3750.0,3530.0,3750.0,5100
2023-08-30,3560.0,3700.0,3550.0,3550.0,3900
2023-08-31,3580.0,3600.0,3560.0,3560.0,900
2023-09-05,3650.0,3670.0,3600.0,3600.0,11500
2023-09-06,3600.0,3650.0,3600.0,3650.0,5000
2023-09-07,3640.0,3660.0,3600.0,3660.0,3600
