Price,Close,High,Low,Open,Volume
Ticker,TDH.VN,TDH.VN,TDH.VN,TDH.VN,TDH.VN
Date,,,,,
2023-07-17,5230.0,5350.0,5140.0,5140.0,1220000
2023-07-19,5070.0,5230.0,5070.0,5200.0,720400
2023-07-20,5080.0,5140.0,5040.0,5140.0,10310200
2023-07-21,5100.0,5110.0,5060.0,5100.0,746700
2023-07-24,5330.0,5400.0,5050.0,5100.0,1826400
2023-07-26,5240.0,5290.0,5180.0,5180.0,667500
2023-07-28,5420.0,5600.0,5400.0,5600.0,1470500
2023-08-03,5180.0,5260.0,5130.0,5150.0,718600
2023-08-04,5230.0,5280.0,5160.0,5250.0,1165400
2023-08-07,5260.0,5270.0,5190.0,5250.0,1212600
2023-08-08,5310.0,5400.0,5290.0,5290.0,1397000
2023-08-09,5400.0,5510.0,5250.0,5310.0,1596700
2023-08-10,5770.0,5770.0,5500.0,5500.0,1650800
2023-08-11,5910.0,6170.0,5770.0,6170.0,3663800
2023-08-14,6000.0,6160.0,5800.0,6000.0,2472300
2023-08-15,6010.0,6170.0,5900.0,6150.0,11087200
2023-08-16,6430.0,6430.0,5960.0,6020.0,3074820
2023-08-17,6400.0,6800.0,6400.0,6490.0,1418100
2023-08-18,5960.0,6330.0,5960.0,6330.0,2563800
2023-08-21,5550.0,5710.0,5550.0,5560.0,2524500
2023-08-22,5670.0,5710.0,5240.0,5560.0,942600
2023-08-23,6000.0,6000.0,5670.0,5900.0,1293100
2023-08-24,6100.0,6160.0,5920.0,6100.0,948200
2023-08-25,5930.0,6250.0,5870.0,6100.0,1018800
2023-08-28,5900.0,6000.0,5830.0,5830.0,586000
2023-08-29,5840.0,6000.0,5790.0,5920.0,815600
2023-08-30,5750.0,5930.0,5720.0,5930.0,856600
2023-08-31,5810.0,5950.0,5780.0,5810.0,661400
2023-09-05,6030.0,6100.0,5840.0,5910.0,908700
2023-09-06,6090.0,6250.0,5960.0,6030.0,1465700
2023-09-07,6200.0,6400.0,6100.0,6180.0,1932300
2023-09-08,6630.0,6630.0,6300.0,6500.0,2297800
2023-09-11,6180.0,7000.0,6170.0,7000.0,3375600
2023-09-12,6300.0,6370.0,6150.0,6200.0,856000
2023-09-13,6050.0,6370.0,5950.0,6300.0,1347800
2023-09-14,5850.0,6050.0,5800.0,6050.0,1645600
2023-09-15,5890.0,5990.0,5800.0,5860.0,680800
2023-09-18,5700.0,5870.0,5610.0,5860.0,800200
2023-09-19,5700.0,5850.0,5550.0,5850.0,499200
2023-09-20,5840.0,5850.0,5610.0,5710.0,563100
2023-09-21,5720.0,5950.0,5660.0,5850.0,623300
2023-09-22,5360.0,5660.0,5350.0,5660.0,1259100
2023-09-25,5090.0,5450.0,5060.0,5450.0,670808
2023-09-26,5110.0,5300.0,5010.0,5010.0,653200
2023-09-27,5130.0,5190.0,4910.0,5110.0,343100
2023-09-28,5120.0,5230.0,5050.0,5230.0,224200
2023-09-29,5000.0,5200.0,5000.0,5200.0,528700
2023-10-02,5090.0,5170.0,4930.0,4930.0,543100
2023-10-03,4930.0,5080.0,4860.0,4970.0,372500
2023-10-04,4950.0,4980.0,4880.0,4880.0,288900
2023-10-05,4950.0,5010.0,4910.0,5010.0,233700
2023-10-06,5140.0,5140.0,4900.0,4950.0,541300
2023-10-09,5100.0,5130.0,5030.0,5030.0,199600
2023-10-10,5200.0,5300.0,5100.0,5130.0,524800
2023-10-11,5200.0,5240.0,5140.0,5240.0,108900
2023-10-12,5220.0,5280.0,5180.0,5280.0,269100
2023-10-13,5210.0,5220.0,5050.0,5100.0,228800
2023-10-16,5100.0,5260.0,5090.0,5260.0,201000
2023-10-17,5100.0,5210.0,5040.0,5040.0,312300
2023-10-18,5080.0,5170.0,5000.0,5100.0,754600
2023-10-19,5040.0,5140.0,4980.0,5140.0,227200
2023-10-20,5120.0,5120.0,4940.0,4950.0,321200
2023-10-23,5020.0,5080.0,4990.0,5030.0,597180
2023-10-24,4990.0,5020.0,4960.0,5000.0,310800
2023-10-25,5000.0,5050.0,4980.0,4990.0,225100
2023-10-26,4650.0,4980.0,4650.0,4980.0,453100
2023-10-27,4800.0,4800.0,4520.0,4790.0,257400
2023-10-30,4770.0,4790.0,4630.0,4790.0,169600
2023-10-31,4500.0,4770.0,4500.0,4760.0,324200
2023-11-01,4380.0,4500.0,4250.0,4500.0,202400
2023-11-02,4680.0,4680.0,4370.0,4580.0,248700
2023-11-03,4700.0,4750.0,4690.0,4690.0,172300
2023-11-06,4750.0,4790.0,4700.0,4700.0,102500
2023-11-07,4680.0,4750.0,4650.0,4750.0,69700
2023-11-08,4870.0,4900.0,4640.0,4700.0,346600
2023-11-09,4950.0,5040.0,4850.0,4950.0,311900
2023-11-10,4830.0,4990.0,4830.0,4830.0,209100
2023-11-13,4840.0,4980.0,4750.0,4980.0,215000
2023-11-14,4840.0,4910.0,4730.0,4730.0,153300
2023-11-15,4840.0,4990.0,4820.0,4820.0,432100
2023-11-16,4840.0,4860.0,4800.0,4830.0,247400
2023-11-17,4840.0,4970.0,4800.0,4900.0,496000
2023-11-20,4740.0,4840.0,4650.0,4710.0,241800
2023-11-21,4790.0,4870.0,4750.0,4850.0,174000
2023-11-22,4810.0,4880.0,4750.0,4790.0,211400
2023-11-23,4860.0,4860.0,4800.0,4810.0,424700
2023-11-24,4700.0,4820.0,4690.0,4770.0,320700
2023-11-27,4660.0,4790.0,4650.0,4790.0,311900
2023-11-28,4680.0,4770.0,4590.0,4770.0,213200
2023-11-29,4700.0,4750.0,4660.0,4680.0,129200
2023-11-30,4680.0,4750.0,4650.0,4700.0,135000
2023-12-01,4670.0,4670.0,4600.0,4660.0,149600
2023-12-04,4710.0,4710.0,4660.0,4660.0,487100
2023-12-05,4610.0,4780.0,4390.0,4680.0,341600
2023-12-06,4700.0,4710.0,4620.0,4680.0,219200
2023-12-07,4900.0,5020.0,4700.0,4700.0,1045500
2023-12-08,4930.0,5200.0,4870.0,4900.0,378100
2023-12-11,4860.0,4980.0,4750.0,4930.0,283100
2023-12-12,4800.0,4860.0,4760.0,4770.0,149600
2023-12-13,4770.0,4850.0,4700.0,4800.0,186000
2023-12-15,4700.0,4760.0,4700.0,4760.0,163700
