Price,Close,High,Low,Open,Volume
Ticker,TDM.VN,TDM.VN,TDM.VN,TDM.VN,TDM.VN
Date,,,,,
2023-07-17,36709.59375,37169.61372180451,36663.59175281955,37169.61372180451,158100
2023-07-19,36801.59765625,36893.60165039063,36663.591665039065,36801.59765625,174000
2023-07-20,36801.59765625,36893.60165039063,36709.59366210938,36801.59765625,628800
2023-07-21,36525.58984375,36847.603860004725,36525.58984375,36801.60185768262,43300
2023-07-24,36525.58984375,36847.603860004725,36525.58984375,36709.597853038416,123300
2023-07-26,36893.6015625,36893.6015625,35881.55762936409,36617.58958073566,463400
2023-07-28,36525.58984375,36847.603860004725,36525.58984375,36801.60185768262,23600
2023-08-03,36709.59375,36893.6017387218,36617.5897556391,36709.59375,33200
2023-08-04,36801.59765625,36801.59765625,36065.565703125,36065.565703125,24200
2023-08-07,36847.59765625,36847.59765625,35881.55577013109,35881.55577013109,25400
2023-08-08,36801.59765625,36801.59765625,36571.58767089844,36801.59765625,24700
2023-08-09,36801.59765625,36847.59965332032,36525.58567382812,36525.58567382812,81900
2023-08-10,36525.58984375,36801.60185768262,36525.58984375,36571.5918460721,35800
2023-08-11,36433.5859375,36801.60195707071,36387.58393505366,36525.58994239268,1000
2023-08-14,36801.59765625,36801.59765625,36065.565703125,36065.565703125,102600
2023-08-15,36571.58984375,36801.5998427673,36571.58984375,36801.5998427673,1022600
2023-08-16,36801.59765625,37031.60764160157,36525.58567382812,36525.58567382812,1621600
2023-08-17,36801.59765625,36893.60165039063,36617.58966796875,36801.59765625,1393900
2023-08-18,36479.5859375,36801.599936948296,36479.5859375,36801.599936948296,15200
2023-08-21,36755.59765625,36755.59765625,35881.55966442428,35881.55966442428,8800
2023-08-22,36801.59765625,36801.59765625,35973.56170898437,35973.56170898437,40000
2023-08-23,36801.59765625,36893.60165039063,35927.559711914066,35927.559711914066,89900
2023-08-24,36801.59765625,36847.59965332032,36065.565703125,36065.565703125,53900
2023-08-25,36755.59765625,36755.59765625,36755.59765625,36755.59765625,1000
2023-08-28,36525.58984375,36571.5918460721,36479.5878414279,36479.5878414279,15900
2023-08-29,36525.58984375,36525.58984375,36525.58984375,36525.58984375,12100
2023-08-30,36801.59765625,37721.63759765625,36617.58966796875,36617.58966796875,22400
2023-08-31,39377.7109375,39377.7109375,36249.5750219042,36249.5750219042,27000
2023-09-05,37905.6484375,39331.71045395934,37077.61242794296,39331.71045395934,3900
2023-09-06,36801.59765625,37721.63759765625,36801.59765625,37721.63759765625,125000
2023-09-07,36433.5859375,36847.60395951704,36341.581932607325,36847.60395951704,37700
2023-09-08,36617.58984375,36617.58984375,35697.549897927136,36433.58185458543,62500
2023-09-11,36065.5703125,36801.60235969388,35927.56430365115,35973.56630660077,586400
2023-09-12,36341.58203125,36341.58203125,36065.57001582279,36341.58203125,15600
2023-09-13,36157.57421875,36801.60225826972,36065.57021310433,36755.60025544689,47900
2023-09-14,36157.57421875,36157.57421875,36157.57421875,36157.57421875,61500
2023-09-15,36203.57421875,36801.600222363406,35881.56021680432,35973.56421736023,139400
2023-09-18,36985.609375,37721.64140236318,36755.599366449,36755.599366449,776900
2023-09-19,36801.59765625,37077.60963867188,36801.59765625,36985.60564453125,5400
2023-09-20,36893.6015625,36985.60555642145,36801.59756857855,36801.59756857855,118100
2023-09-21,36985.609375,36985.609375,36801.6013681592,36801.6013681592,5400
2023-09-22,36801.59765625,36985.60564453125,36801.59765625,36985.60564453125,32500
2023-09-25,36801.59765625,36985.60564453125,36801.59765625,36801.59765625,15600
2023-09-26,36801.59765625,37675.635600585934,36709.59366210938,36709.59366210938,91700
2023-09-27,37169.61328125,37169.61328125,36617.58932162748,36801.59730816832,4000
2023-09-28,37169.61328125,37721.63724087252,36617.58932162748,37169.61328125,469800
2023-09-29,38457.66796875,38549.67195910586,37169.61210376794,37261.616094123805,8600
2023-10-02,38181.66015625,38457.67215737952,36847.60215079066,38457.67215737952,3800
2023-10-03,37261.62109375,37721.64110725308,36985.60908564815,37077.61308834877,506400
2023-10-04,37721.63671875,37721.63671875,36985.60478277439,37261.616758765245,291800
2023-10-05,37629.63671875,37721.64072050733,37629.63671875,37721.64072050733,1100
2023-10-06,37261.62109375,37629.63710455247,37031.611086998455,37629.63710455247,54100
2023-10-09,37261.62109375,37721.64110725308,36985.60908564815,37261.62109375,2600
2023-10-10,38181.66015625,38181.66015625,37629.63615399096,37721.64015436747,80300
2023-10-11,37721.63671875,38181.65667873476,37721.63671875,38181.65667873476,56700
2023-10-12,38641.6796875,38641.6796875,37721.63969494048,38181.65969122024,152600
2023-10-13,38641.6796875,38641.6796875,37813.64369419643,37813.64369419643,7700
2023-10-16,38963.69140625,39561.71736644037,38181.657458308735,38641.67742768595,4200
2023-10-17,38641.6796875,38641.6796875,37813.64369419643,37813.64369419643,19100
2023-10-18,38641.6796875,38641.6796875,37721.63969494048,37721.63969494048,10200
2023-10-19,38181.66015625,38733.68415850904,37813.644154743975,38733.68415850904,19800
2023-10-20,38043.65234375,38135.65633974456,38043.65234375,38135.65633974456,300
2023-10-23,38549.67578125,38641.67978072792,37813.64378542661,38457.67178177208,1500
2023-10-24,37905.6484375,37905.6484375,37905.6484375,37905.6484375,800
2023-10-25,37905.6484375,37905.6484375,37721.64043537621,37813.64443643811,20100
2023-10-26,36985.609375,37721.64140236318,36801.6013681592,37721.64140236318,265600
2023-10-27,37721.63671875,37721.63671875,36893.60079077744,37721.63671875,110600
2023-10-30,37721.63671875,38549.67264672256,37261.616758765245,37721.63671875,13500
2023-10-31,38549.67578125,38549.67578125,37537.63178699284,37721.63978594869,10800
2023-11-01,37813.640625,38549.67255930657,37813.640625,38549.67255930657,4600
2023-11-02,37813.640625,37813.640625,37261.61667427007,37261.61667427007,2700
2023-11-03,37813.640625,37813.640625,36203.57076870438,37307.61867016424,33100
2023-11-06,37721.63671875,37813.64071074695,36801.59679878049,36801.59679878049,133900
2023-11-07,37031.609375,37721.63936335404,36893.60337732919,36893.60337732919,530900
2023-11-08,37399.625,37721.63899138991,37031.6090098401,37031.6090098401,5200
2023-11-09,37031.609375,37399.62536878882,37031.609375,37399.62536878882,1200
2023-11-10,37031.609375,37721.63936335404,36801.59937888199,37031.609375,188600
2023-11-13,37031.609375,37031.609375,37031.609375,37031.609375,10500
2023-11-14,36801.59765625,37261.61762695313,36801.59765625,36985.60564453125,31600
2023-11-15,37721.63671875,37721.63671875,37261.616758765245,37261.616758765245,50200
2023-11-16,37721.63671875,38641.67663871951,36893.60079077744,37675.63472275152,71600
2023-11-17,37721.63671875,38641.67663871951,37721.63671875,37721.63671875,3500
2023-11-20,37721.63671875,37721.63671875,37721.63671875,37721.63671875,58100
2023-11-21,38089.65234375,38089.65234375,38089.65234375,38089.65234375,400
2023-11-22,37905.6484375,37905.6484375,36893.604425819176,37445.62843219053,8000
2023-11-23,38089.65234375,38181.65633491848,37353.620414402176,38181.65633491848,43500
2023-11-24,37997.65234375,37997.65234375,37537.63233958837,37675.638340836864,4300
2023-11-27,37031.609375,38641.67934782609,37031.609375,38641.67934782609,3600
2023-11-28,37031.609375,37031.609375,37031.609375,37031.609375,4900
2023-11-29,37261.62109375,37261.62109375,37261.62109375,37261.62109375,5400
2023-11-30,36801.59765625,37537.629609375,36801.59765625,37261.61762695313,34900
2023-12-01,37721.63671875,37721.63671875,37261.616758765245,37261.616758765245,2100
2023-12-04,37077.609375,37997.649309863526,37077.609375,37721.63732940447,22600
2023-12-05,37077.609375,37721.63732940447,37077.609375,37077.609375,105800
2023-12-06,37721.63671875,37721.63671875,37077.60877477134,37077.60877477134,126800
2023-12-07,37721.63671875,37721.63671875,37169.61276676829,37169.61276676829,50300
2023-12-08,37629.63671875,37721.64072050733,37261.62071172066,37721.64072050733,5100
