Price,Close,High,Low,Open,Volume
Ticker,THI,THI,THI,THI,THI
Date,,,,,
2017-06-15,49900.0,49900.0,49000.0,49900.0,144330
2017-06-16,53300.0,53300.0,50000.0,52900.0,98120
2017-06-19,53400.0,54000.0,53300.0,54000.0,66750
2017-06-20,53300.0,53400.0,53000.0,53300.0,77430
2017-06-21,51800.0,53200.0,50000.0,50000.0,37260
2017-06-22,50200.0,51000.0,50000.0,50500.0,8850
2017-06-23,46700.0,49500.0,46700.0,49500.0,34380
2017-06-26,46200.0,48000.0,45000.0,48000.0,14080
2017-06-27,47800.0,47800.0,44700.0,47500.0,12220
2017-06-28,46000.0,47700.0,44600.0,45500.0,17080
2017-06-29,48200.0,49200.0,45000.0,49200.0,140
2017-06-30,49500.0,51000.0,44850.0,45000.0,1340
2017-07-03,47500.0,51900.0,46050.0,51900.0,1140
2017-07-05,41150.0,45000.0,41150.0,44200.0,6850
2017-07-06,40800.0,43000.0,39100.0,40000.0,16430
2017-07-07,43600.0,43650.0,41100.0,42900.0,12500
2017-07-10,44400.0,44900.0,43000.0,44900.0,2530
2017-07-11,42900.0,45900.0,41500.0,45900.0,35550
2017-07-12,44800.0,44900.0,42400.0,44900.0,210
2017-07-13,44700.0,44800.0,42000.0,44800.0,10030
2017-07-14,44500.0,44500.0,42000.0,43000.0,4470
2017-07-17,41400.0,43500.0,41400.0,43500.0,13070
2017-07-18,42000.0,42000.0,41000.0,42000.0,5670
2017-07-19,44000.0,44000.0,41300.0,41300.0,470
2017-07-20,40950.0,41000.0,40950.0,41000.0,11780
2017-07-21,41000.0,41000.0,41000.0,41000.0,200
2017-07-24,41000.0,43500.0,41000.0,43500.0,20010
2017-07-25,41000.0,42000.0,41000.0,42000.0,2600
2017-07-26,41000.0,41000.0,40100.0,41000.0,920
2017-07-27,41000.0,41000.0,40500.0,41000.0,2160
2017-07-28,41000.0,41000.0,41000.0,41000.0,0
2017-07-31,40800.0,41000.0,39400.0,39400.0,230
