Price,Close,High,Low,Open,Volume
Ticker,TIP.VN,TIP.VN,TIP.VN,TIP.VN,TIP.VN
Date,,,,,
2023-07-17,18569.8828125,18933.206606657608,18408.40557065217,18933.206606657608,172300
2023-07-19,18569.8828125,19054.31453804348,18246.928328804348,18246.928328804348,382600
2023-07-20,18368.03515625,18489.143080357146,18206.557924107143,18489.143080357146,121800
2023-07-21,19013.943359375,19054.31266587049,18166.187922969744,18246.92653596072,658900
2023-07-24,19094.681640625,19215.7895580074,19013.94302903673,19054.312334830865,161100
2023-07-26,18287.294921875,18731.3572709713,18287.294921875,18408.4028352649,161600
2023-07-28,18569.8828125,18892.83729619565,18166.18970788044,18246.928328804348,256000
2023-08-03,18125.8203125,18489.144104955456,18045.081691954343,18489.144104955456,250400
2023-08-04,18327.66796875,18327.66796875,18045.08277980452,18246.929343337004,70400
2023-08-07,18408.404296875,18610.25083521793,18327.665681537823,18610.25083521793,154900
2023-08-08,18327.66796875,18489.14521957599,18287.298656043506,18408.406594163,168500
2023-08-09,18327.66796875,18408.406594163,18166.190717924008,18287.298656043506,149800
2023-08-10,18206.556640625,18408.40316657428,18206.556640625,18368.03386138442,116300
2023-08-11,17883.603515625,18206.557980918453,17802.864899301636,18206.557980918453,206400
2023-08-14,17923.97265625,18327.66573409347,17923.97265625,18327.66573409347,116900
2023-08-15,18368.03515625,18408.404464285715,18004.71138392857,18125.819308035712,167800
2023-08-16,18166.1875,18408.40333333333,17964.340972222224,18408.40333333333,63400
2023-08-17,17843.234375,18166.188843325792,17843.234375,18166.188843325792,128600
2023-08-18,16632.15625,17802.866277305824,16632.15625,17802.866277305824,403900
2023-08-21,16551.416015625,16834.00116711128,16309.200171493902,16672.52393769055,123500
2023-08-22,16632.15625,16955.11074029126,16228.463137135925,16551.417627427185,180700
2023-08-23,16712.89453125,16874.371773097824,16551.417289402172,16712.89453125,77800
2023-08-24,17116.587890625,17116.587890625,16632.15615787146,16632.15615787146,101000
2023-08-25,17197.32421875,17278.062830105635,17076.21630171655,17197.32421875,48900
2023-08-28,17358.802734375,17358.802734375,16955.10964752907,16955.10964752907,131700
2023-08-29,17601.017578125,17843.233416356077,17116.585901662846,17358.801739893923,258000
2023-08-30,17601.017578125,17681.75619086869,17520.27896538131,17641.386884496846,149600
2023-08-31,17520.28125,17681.758496543778,17479.911938364054,17601.01987327189,96100
2023-09-05,17560.6484375,17762.49497126437,17358.80190373563,17762.49497126437,88800
2023-09-06,18246.927734375,18408.404970962387,17358.802933144358,17520.280169731748,299600
2023-09-07,18085.447265625,18489.140284946985,18045.0779636928,18489.140284946985,97300
2023-09-08,18771.7265625,18771.7265625,17923.971169354838,18085.44838709677,465400
2023-09-11,18045.080078125,19013.94343802433,18045.080078125,18973.574131361856,186400
2023-09-12,18408.404296875,18569.88152754934,18085.44983552632,18125.8191431949,110600
2023-09-13,18933.20703125,19377.26945628997,18287.29804937367,18973.57634261727,1283800
2023-09-14,18892.833984375,19054.311197916668,18569.879557291668,18933.20328776041,305100
2023-09-15,18610.25,19135.050976138828,18529.511388286333,18892.83514099783,193800
2023-09-18,18892.833984375,19013.94189453125,18529.51025390625,18610.24886067708,120300
