Price,Close,High,Low,Open,Volume
Ticker,TLD.VN,TLD.VN,TLD.VN,TLD.VN,TLD.VN
Date,,,,,
2017-12-07,11850.1201171875,11850.1201171875,9875.099609375,10121.9775390625,3118932
2017-12-08,12673.044921875,12673.044921875,11891.265625,11973.55859375,1532019
2017-12-11,13002.21484375,13249.091796875,12755.3369140625,12837.6298828125,781465
2017-12-12,12096.9970703125,12343.875,12096.9970703125,12343.875,785549
2017-12-13,11274.072265625,11274.072265625,11274.072265625,11274.072265625,634697
2017-12-14,10492.2939453125,10492.2939453125,10492.2939453125,10492.2939453125,538723
2017-12-15,10368.8544921875,10451.1474609375,9792.8076171875,9792.8076171875,1741176
2017-12-18,10368.8544921875,10698.0244140625,10327.7080078125,10451.1474609375,616420
2017-12-19,10204.26953125,10451.1474609375,10163.123046875,10327.7080078125,299878
2017-12-20,9998.5380859375,10286.5625,9957.392578125,10121.9775390625,495887
2017-12-21,9957.392578125,10121.9775390625,9916.24609375,9957.392578125,256278
2017-12-22,9957.392578125,10039.6845703125,9875.099609375,9916.24609375,333503
2017-12-25,9957.392578125,10080.8310546875,9875.099609375,10039.6845703125,233724
2017-12-26,9833.953125,10039.6845703125,9833.953125,9875.099609375,586004
2017-12-27,9833.953125,9875.099609375,9751.6611328125,9833.953125,225413
2017-12-28,9957.392578125,10039.6845703125,9833.953125,9957.392578125,251283
2017-12-29,9916.24609375,9998.5380859375,9833.953125,9998.5380859375,336516
2018-01-02,9833.953125,9998.5380859375,9792.8076171875,9833.953125,214659
2018-01-03,10368.8544921875,10368.8544921875,9833.953125,9957.392578125,1004170
2018-01-04,10780.3173828125,10780.3173828125,10286.5625,10410.0009765625,750453
2018-01-05,10903.755859375,11027.1943359375,10698.0244140625,10698.0244140625,632292
2018-01-08,11068.3408203125,11109.4873046875,10862.609375,10862.609375,1621349
2018-01-09,10986.048828125,11109.4873046875,10944.90234375,10986.048828125,389970
2018-01-10,10944.90234375,11109.4873046875,10903.755859375,11027.1943359375,247006
2018-01-11,10903.755859375,10944.90234375,10821.4638671875,10903.755859375,322749
2018-01-12,10944.90234375,10986.048828125,10698.0244140625,10698.0244140625,562515
2018-01-15,10986.048828125,11109.4873046875,10862.609375,10944.90234375,206966
2018-01-16,10986.048828125,11109.4873046875,10944.90234375,10986.048828125,257177
2018-01-17,11479.8037109375,11520.94921875,10986.048828125,11027.1943359375,1020345
2018-01-18,11767.8271484375,11767.8271484375,11438.6572265625,11520.94921875,721703
2018-01-19,11685.53515625,11891.265625,11685.53515625,11850.1201171875,349324
2018-01-22,11603.2421875,11685.53515625,11520.94921875,11603.2421875,205811
2018-01-25,11603.2421875,11726.6806640625,11562.095703125,11603.2421875,206504
