Price,Close,High,Low,Open,Volume
Ticker,TN1.VN,TN1.VN,TN1.VN,TN1.VN,TN1.VN
Date,,,,,
2019-05-30,9833.755859375,9833.755859375,9833.755859375,9833.755859375,96
2019-05-31,10516.6552734375,10516.6552734375,10516.6552734375,10516.6552734375,96
2019-06-03,11240.5283203125,11240.5283203125,11240.5283203125,11240.5283203125,96
2019-06-05,12019.0341796875,12019.0341796875,12019.0341796875,12019.0341796875,96
2019-06-06,12852.171875,12852.171875,12852.171875,12852.171875,96
2019-06-07,13111.673828125,13111.673828125,13111.673828125,13111.673828125,9985
2019-06-10,14013.1025390625,14013.1025390625,14013.1025390625,14013.1025390625,127
2019-06-11,14477.4736328125,14969.160920584074,14477.4736328125,14969.160920584074,1562
2019-06-12,15488.166015625,15488.166015625,15488.166015625,15488.166015625,1261
2019-06-13,16553.48828125,16553.48828125,16553.48828125,16553.48828125,1428
2019-06-14,15843.2734375,17700.76034961957,15843.2734375,17700.76034961957,3327
2019-06-17,14750.6337890625,15296.953098541831,14750.6337890625,15296.953098541831,1460
2019-06-18,14887.212890625,14887.212890625,13739.941402654338,13739.941402654338,1961
2019-06-19,14887.212890625,14887.212890625,13849.205438468687,13849.205438468687,3425
2019-06-20,13849.2060546875,13849.2060546875,13849.2060546875,13849.2060546875,4456
2019-06-21,14805.2646484375,14805.2646484375,12893.145768307792,12893.145768307792,3724
2019-06-24,15023.7939453125,15023.7939453125,14750.6338454879,14750.6338454879,4390
2019-06-25,15023.7939453125,15023.7939453125,14996.476603209976,15023.7939453125,6755
2019-06-26,15296.953125,15296.953125,15160.373519413944,15160.373519413944,1094
2019-06-27,15160.373046875,15296.952648203958,14614.052865399137,15296.952648203958,1894
2019-06-28,15160.373046875,15160.373046875,15133.057481841211,15133.057481841211,2259
2019-07-01,15023.7939453125,16198.38104243822,14122.366059931335,14204.313645838696,5421
2019-07-02,14750.6337890625,14750.6337890625,13985.78551247938,14750.6337890625,4690
2019-07-03,14614.052734375,14614.052734375,14614.052734375,14614.052734375,5088
2019-07-04,13657.994140625,14477.473540400091,13657.994140625,14477.473540400091,4358
