Price,Close,High,Low,Open,Volume
Ticker,TPB.VN,TPB.VN,TPB.VN,TPB.VN,TPB.VN
Date,,,,,
2018-04-19,7856.3349609375,8473.705038395681,7698.966787729091,8473.705038395681,27036410
2018-04-20,7868.44140625,7941.072873807533,7723.177594895729,7941.072873807533,7303276
2018-04-23,7456.861328125,7892.65188539416,7335.808006110588,7868.441396239118,3404011
2018-04-24,7456.861328125,7505.282306435084,6948.438865271114,7335.808006110588,4019706
2018-04-26,7190.544921875,7481.072117763575,7142.123503500427,7432.651137508622,2290511
2018-04-27,7311.59765625,7311.59765625,7105.807618272402,7251.070994089691,2904391
2018-05-02,7214.75537109375,7481.072075344794,7190.54488110355,7481.072075344794,1737936
2018-05-03,7214.75537109375,7214.75537109375,7021.070574932922,7214.75537109375,1510823
2018-05-04,7214.75537109375,7372.123994149663,7142.123463003535,7372.123994149663,991748
2018-05-07,7263.1767578125,7263.1767578125,7069.49238892495,7238.966266466511,999901
2018-05-08,7287.38720703125,7505.282491024888,7214.755299660166,7505.282491024888,2061366
2018-05-09,7263.1767578125,7287.387687278129,7166.334792428545,7287.387687278129,1367284
2018-05-10,7142.12353515625,7263.176424449791,7021.070645862709,7263.176424449791,685588
2018-05-11,7214.75537109375,7214.75537109375,6924.228176852507,7142.123463003535,2688439
2018-05-14,7142.12353515625,7214.7554439802225,6972.649665393141,7214.7554439802225,937343
2018-05-15,7214.75537109375,7226.86061608885,6972.649594952522,7142.123463003535,1736859
2018-05-16,7142.12353515625,7226.860689097614,7069.492064451898,7214.7554439802225,1946956
2018-05-17,7142.12353515625,7214.7554439802225,7093.702554686682,7166.334463510654,1429476
2018-05-18,7190.544921875,7214.755412002476,7057.386788054259,7117.913013372951,1726855
2018-05-21,7154.228515625,7202.649932422988,7130.018026285808,7202.649932422988,1258218
2018-05-22,7093.70263671875,7202.650282154777,6924.2283268762085,7154.22886300564,1536544
2018-05-23,7117.9130859375,7130.018331124647,6996.860195946408,7093.702595563206,1875576
2018-05-24,7093.70263671875,7130.018372490884,7045.281217569613,7105.807881976129,1359726
2018-05-25,7021.0703125,7117.912706960648,7008.96506795737,7093.702217875387,1141435
2018-05-28,6561.06982421875,6996.8604172160285,6561.06982421875,6972.649926076099,730245
2018-05-29,6972.64990234375,6984.755147872514,6657.912204237008,6657.912204237008,2188117
2018-05-30,6948.43896484375,7008.965188598709,6875.807058218192,6960.544209594742,635519
2018-05-31,6778.96484375,6936.333467849587,6778.96484375,6924.228222774205,1064942
2018-06-01,6778.96484375,6924.228222774205,6778.96484375,6924.228222774205,372644
2018-06-04,7142.12353515625,7214.7554439802225,6766.859622158236,6803.175357510411,1436850
2018-06-05,7117.9130859375,7166.33450480571,6996.860195946408,7166.33450480571,1701835
2018-06-06,6996.8603515625,7093.702753333156,6972.649860649744,7069.4922624204,3142436
2018-06-07,6996.8603515625,7021.070842475256,6948.439369736989,7021.070842475256,2503727
2018-06-08,6936.33349609375,7021.070650086086,6900.017760719728,6996.860159836739,4308414
2018-06-11,6900.017578125,6996.859974679276,6827.385671179391,6996.859974679276,143457
2018-06-12,6827.3857421875,6900.017649888516,6730.543344626016,6900.017649888516,156317
2018-06-13,6827.3857421875,6851.596670167581,6778.964762466565,6827.3857421875,412074
2018-06-14,6778.96484375,6827.385824051529,6718.438180253471,6827.385824051529,85195
2018-06-15,6730.54345703125,6815.280611077676,6718.43821189885,6815.280611077676,97318
2018-06-18,6536.85888671875,6730.543240732363,6536.85888671875,6730.543240732363,164880
2018-06-19,6561.06982421875,6633.701735758175,6088.963494511577,6440.016930399465,2404736
2018-06-20,6633.701171875,6657.91166095697,6561.069266509489,6561.069266509489,2404253
2018-06-21,6633.701171875,6754.75405540445,6536.858777427519,6682.12215003894,161803
2018-06-22,6657.912109375,6657.912109375,6609.4906898302215,6609.4906898302215,427381
2018-06-25,6730.54345703125,6778.964875680474,6657.911986236846,6670.017231369247,759707
2018-06-26,6730.54345703125,6754.754385415673,6343.174298435567,6343.174298435567,375943
2018-06-27,6694.2275390625,6730.543273469263,6536.858918513583,6706.332783864754,156986
2018-06-28,6536.85888671875,6694.227506502237,6536.85888671875,6694.227506502237,164436
2018-06-29,6657.912109375,6657.912109375,6512.648288860295,6657.912109375,869409
2018-07-02,6536.85888671875,6682.122261758862,6524.753641975374,6657.911772272111,274097
2018-07-03,6318.9638671875,6548.964403090472,6282.647693331498,6536.859157845013,675356
2018-07-04,6161.5947265625,6343.174279238208,6004.22610219794,6318.963789046679,1051896
2018-07-05,6125.27880859375,6379.4898242624095,6125.27880859375,6270.542183530183,2887676
2018-07-06,6464.2275390625,6464.2275390625,6125.2793425823165,6125.2793425823165,1275337
2018-07-09,6536.85888671875,6536.85888671875,6016.331172155572,6536.85888671875,839463
2018-07-10,6585.2802734375,6585.2802734375,6512.648362360441,6536.859291465883,3941460
2018-07-11,6488.4375,6585.27989651996,6440.016520799825,6585.27989651996,305490
2018-07-12,6476.33203125,6488.437275631448,6427.91105372421,6464.226786868553,514808
2018-07-13,6561.06982421875,6597.385560928644,6512.648403819254,6573.175069788715,1125722
2018-07-16,6536.85888671875,6536.85888671875,6415.806001165389,6536.85888671875,802144
2018-07-17,6488.4375,6548.964162119828,6488.4375,6536.858917319784,584744
2018-07-18,6536.85888671875,6561.069376205501,6452.121735395515,6500.542714369017,918291
2018-07-19,6512.64794921875,6536.858876788328,6464.226970318807,6524.753632063343,204386
2018-07-20,6512.64794921875,6536.858876788328,6488.437459768778,6536.858876788328,94831
2018-07-23,6500.54296875,6524.753897303786,6464.227233098756,6524.753897303786,243671
2018-07-24,6464.2275390625,6548.964697712457,6052.647429722404,6536.8594519224125,291591
2018-07-25,6391.59521484375,6500.542858061997,6052.647040178047,6440.0166330072025,366565
2018-07-26,6415.80615234375,6488.437622515449,6379.489979138284,6391.5952241669,6388276
2018-07-27,6440.0166015625,6488.437581369911,6379.489938683621,6415.806111658794,2016965
