Price,Close,High,Low,Open,Volume
Ticker,TPC.VN,TPC.VN,TPC.VN,TPC.VN,TPC.VN
Date,,,,,
2023-07-19,6480.0,6490.0,6300.0,6480.0,8000
2023-07-20,6450.0,6480.0,6400.0,6480.0,1600
2023-07-21,6490.0,6490.0,6200.0,6450.0,1300
2023-07-24,6410.0,6410.0,6350.0,6350.0,76400
2023-07-26,6390.0,6400.0,6390.0,6400.0,300
2023-07-28,6500.0,6500.0,6050.0,6250.0,514000
2023-08-03,6170.0,6290.0,6060.0,6080.0,21200
2023-08-04,6150.0,6170.0,6060.0,6140.0,27200
2023-08-07,6130.0,6150.0,6050.0,6150.0,6500
2023-08-08,6150.0,6210.0,6050.0,6130.0,12400
2023-08-09,6110.0,6190.0,6110.0,6140.0,9300
2023-08-10,6110.0,6150.0,6110.0,6110.0,12300
2023-08-11,6160.0,6230.0,6080.0,6230.0,10100
2023-08-14,6090.0,6160.0,6090.0,6160.0,9300
2023-08-15,6120.0,6140.0,6080.0,6090.0,6400
2023-08-16,6100.0,6120.0,6100.0,6100.0,7900
2023-08-17,6100.0,6110.0,6040.0,6110.0,4500
2023-08-18,5680.0,6050.0,5680.0,6050.0,25400
2023-08-21,6040.0,6070.0,5700.0,5810.0,15300
2023-08-22,5810.0,6160.0,5810.0,6020.0,6700
2023-08-23,5820.0,5990.0,5820.0,5990.0,1500
2023-08-24,5950.0,5960.0,5820.0,5820.0,500
2023-08-25,5910.0,5910.0,5580.0,5600.0,600
2023-08-28,5550.0,6000.0,5550.0,5580.0,4100
2023-08-29,5720.0,5730.0,5720.0,5720.0,3400
2023-08-30,5320.0,5700.0,5320.0,5700.0,36000
2023-08-31,5600.0,5690.0,5420.0,5420.0,20100
2023-09-05,5910.0,5990.0,5600.0,5610.0,6800
2023-09-06,5830.0,5980.0,5830.0,5980.0,3400
2023-09-07,5770.0,5950.0,5500.0,5950.0,4400
2023-09-08,5700.0,5970.0,5540.0,5760.0,10200
2023-09-11,5510.0,5770.0,5500.0,5700.0,4300
2023-09-12,5600.0,5600.0,5530.0,5530.0,1100
2023-09-13,5600.0,5630.0,5600.0,5630.0,3900
2023-09-14,5720.0,5870.0,5300.0,5870.0,4000
2023-09-18,5650.0,5680.0,5360.0,5400.0,1300
2023-09-19,5500.0,5600.0,5500.0,5600.0,800
2023-09-20,5600.0,5600.0,5500.0,5500.0,4600
2023-09-21,5750.0,5750.0,5400.0,5400.0,200
2023-09-22,5600.0,5600.0,5370.0,5410.0,2100
2023-09-25,5600.0,5600.0,5400.0,5480.0,2100
2023-09-26,5600.0,5600.0,5300.0,5300.0,4100
2023-09-29,5710.0,5710.0,5600.0,5600.0,1100
2023-10-02,5550.0,5700.0,5350.0,5700.0,600
2023-10-03,5550.0,5550.0,5550.0,5550.0,48500
2023-10-04,5600.0,5600.0,5550.0,5550.0,1700
2023-10-05,5550.0,5600.0,5550.0,5600.0,2200
2023-10-06,5300.0,5300.0,5300.0,5300.0,100
2023-10-09,5500.0,5500.0,5500.0,5500.0,100
2023-10-10,5500.0,5500.0,5500.0,5500.0,1300
2023-10-12,5500.0,5550.0,5400.0,5550.0,1000
2023-10-13,5500.0,5500.0,5500.0,5500.0,200
2023-10-16,5480.0,5500.0,5300.0,5500.0,1200
2023-10-17,5490.0,5600.0,5480.0,5480.0,1000
2023-10-18,5490.0,5570.0,5490.0,5570.0,2700
