Price,Close,High,Low,Open,Volume
Ticker,TSC.VN,TSC.VN,TSC.VN,TSC.VN,TSC.VN
Date,,,,,
2023-07-17,5040.0,5050.0,4940.0,4990.0,2271000
2023-07-19,4900.0,4950.0,4840.0,4950.0,1656400
2023-07-20,4890.0,4900.0,4750.0,4890.0,1967700
2023-07-21,4980.0,4980.0,4880.0,4910.0,1479100
2023-07-24,5300.0,5300.0,5000.0,5060.0,4330000
2023-07-26,5150.0,5250.0,5070.0,5210.0,2789400
2023-07-28,5190.0,5200.0,5100.0,5110.0,2097600
2023-08-03,5710.0,5800.0,5590.0,5610.0,3023400
2023-08-04,5750.0,5790.0,5650.0,5740.0,2508100
2023-08-07,6140.0,6150.0,6000.0,6150.0,9312500
2023-08-08,6220.0,6300.0,6150.0,6150.0,4020900
2023-08-09,6390.0,6490.0,6040.0,6220.0,5660500
2023-08-10,6200.0,6470.0,6110.0,6470.0,3639500
2023-08-11,6040.0,6200.0,5800.0,6170.0,2987100
2023-08-14,6060.0,6150.0,6020.0,6020.0,2018600
2023-08-15,6150.0,6220.0,6050.0,6100.0,2827100
2023-08-16,6010.0,6150.0,6010.0,6130.0,1853900
2023-08-17,5890.0,6150.0,5870.0,6010.0,3132400
2023-08-18,5480.0,5840.0,5480.0,5820.0,4054200
2023-08-21,5120.0,5420.0,5100.0,5150.0,10310700
2023-08-22,5250.0,5250.0,4770.0,5150.0,4650600
2023-08-23,5290.0,5600.0,5200.0,5350.0,3702500
2023-08-24,5330.0,5360.0,5160.0,5290.0,3585200
2023-08-25,5260.0,5390.0,5250.0,5320.0,1828200
2023-08-28,5350.0,5360.0,5250.0,5300.0,3456700
2023-08-29,5470.0,5620.0,5340.0,5350.0,14167700
2023-08-30,5520.0,5660.0,5420.0,5500.0,4451600
2023-08-31,5390.0,5630.0,5280.0,5630.0,8941200
2023-09-05,5350.0,5450.0,5290.0,5450.0,4871400
2023-09-06,5390.0,5450.0,5280.0,5350.0,2966400
2023-09-07,5430.0,5590.0,5380.0,5400.0,7165100
2023-09-08,5610.0,5740.0,5490.0,5490.0,9014100
2023-09-11,5330.0,5750.0,5330.0,5700.0,6406000
2023-09-12,5390.0,5390.0,5200.0,5390.0,4320200
2023-09-13,5160.0,5400.0,5110.0,5390.0,7380600
2023-09-14,4830.0,5190.0,4830.0,5130.0,7257600
2023-09-15,4800.0,4990.0,4730.0,4900.0,3080000
2023-09-18,4650.0,4780.0,4650.0,4750.0,2604000
2023-09-19,4600.0,4710.0,4510.0,4580.0,2542600
2023-09-20,4850.0,4850.0,4580.0,4590.0,1724100
2023-09-21,4770.0,4900.0,4770.0,4900.0,1578900
2023-09-22,4550.0,4770.0,4460.0,4670.0,2803300
2023-09-25,4240.0,4640.0,4240.0,4560.0,2802300
2023-09-26,4000.0,4280.0,4000.0,4200.0,2120800
2023-09-27,3980.0,4060.0,3780.0,3890.0,2484000
2023-09-28,3970.0,4050.0,3930.0,4020.0,1068600
2023-09-29,4100.0,4140.0,4020.0,4040.0,1238200
2023-10-02,4150.0,4200.0,4090.0,4130.0,849400
2023-10-03,3860.0,4120.0,3860.0,4120.0,2209700
2023-10-04,3800.0,3880.0,3720.0,3720.0,1851600
2023-10-05,3800.0,3900.0,3790.0,3880.0,760200
2023-10-06,3780.0,3870.0,3760.0,3810.0,964700
2023-10-09,3860.0,3870.0,3780.0,3780.0,876600
2023-10-10,3960.0,3990.0,3890.0,3900.0,1210100
2023-10-11,4000.0,4030.0,3930.0,3990.0,973600
2023-10-12,4050.0,4090.0,4010.0,4010.0,1032600
2023-10-13,3980.0,4000.0,3880.0,3980.0,1979900
2023-10-16,3900.0,3990.0,3880.0,3980.0,984000
2023-10-17,3820.0,3940.0,3820.0,3940.0,892300
2023-10-18,3630.0,3840.0,3560.0,3800.0,1525000
2023-10-19,3560.0,3700.0,3520.0,3630.0,973600
2023-10-20,3640.0,3640.0,3410.0,3590.0,1007900
2023-10-23,3630.0,3690.0,3600.0,3670.0,720900
2023-10-24,3630.0,3680.0,3610.0,3680.0,568200
2023-10-25,3680.0,3730.0,3660.0,3680.0,620800
2023-10-26,3430.0,3640.0,3430.0,3580.0,2418200
2023-10-27,3470.0,3500.0,3250.0,3440.0,948700
2023-10-30,3310.0,3480.0,3270.0,3470.0,670900
2023-10-31,3250.0,3440.0,3210.0,3440.0,731900
