Price,Close,High,Low,Open,Volume
Ticker,TTE.VN,TTE.VN,TTE.VN,TTE.VN,TTE.VN
Date,,,,,
2018-12-10,14785.16015625,14785.16015625,14785.16015625,14785.16015625,3200
2018-12-11,15789.0908203125,15789.0908203125,15789.0908203125,15789.0908203125,1100
2018-12-12,15789.0908203125,15789.0908203125,15789.0908203125,15789.0908203125,0
2018-12-13,18058.181640625,18105.45436743292,18058.181640625,18105.45436743292,4860
2018-12-14,19287.2734375,19287.2734375,19287.2734375,19287.2734375,110
2018-12-17,17963.63671875,17963.63671875,17963.63671875,17963.63671875,600
2018-12-18,16734.544921875,16734.544921875,16734.544921875,16734.544921875,140
2018-12-19,16734.544921875,16734.544921875,16734.544921875,16734.544921875,0
2018-12-20,15600.0,15600.0,15600.0,15600.0,10
2018-12-21,14512.7275390625,14512.7275390625,14512.7275390625,14512.7275390625,2410
2018-12-24,13520.0,13520.0,13520.0,13520.0,10
2018-12-25,12574.544921875,12574.544921875,12574.544921875,12574.544921875,50
2018-12-26,11723.63671875,11723.63671875,11723.63671875,11723.63671875,520
2018-12-27,10920.0,12527.272727272728,10920.0,10920.0,1070
2018-12-28,10163.63671875,11676.364044331396,10163.63671875,10210.90944767442,59000
2018-12-31,10163.63671875,10163.63671875,10163.63671875,10163.63671875,0
2019-01-01,10163.63671875,10163.63671875,10163.63671875,10163.63671875,0
2019-01-02,10872.7275390625,10872.7275390625,9454.545686141304,10872.7275390625,1360
2019-01-03,11581.818359375,11581.818359375,11581.818359375,11581.818359375,70
2019-01-04,12243.63671875,12243.63671875,12243.63671875,12243.63671875,10
2019-01-07,12243.63671875,12243.63671875,12243.63671875,12243.63671875,0
2019-01-08,12243.63671875,12243.63671875,12243.63671875,12243.63671875,0
2019-01-09,12243.63671875,12243.63671875,12243.63671875,12243.63671875,0
2019-01-10,12243.63671875,12243.63671875,12243.63671875,12243.63671875,0
2019-01-11,12243.63671875,12243.63671875,12243.63671875,12243.63671875,0
2019-01-14,11392.7275390625,11392.7275390625,11392.7275390625,11392.7275390625,10
2019-01-15,11392.7275390625,11392.7275390625,11392.7275390625,11392.7275390625,0
2019-01-16,11392.7275390625,11392.7275390625,11392.7275390625,11392.7275390625,0
2019-01-17,11392.7275390625,11392.7275390625,11392.7275390625,11392.7275390625,0
2019-01-18,10636.36328125,10636.36328125,10636.36328125,10636.36328125,10
2019-01-21,9927.2724609375,9927.2724609375,9927.2724609375,9927.2724609375,130
2019-01-22,10589.0908203125,10589.0908203125,9237.0908316476,9237.0908316476,230
2019-01-23,10589.0908203125,10589.0908203125,10589.0908203125,10589.0908203125,0
2019-01-24,9880.0,9880.0,9880.0,9880.0,1000
2019-01-25,9189.818359375,9880.000190891846,9189.818359375,9189.818359375,160
2019-01-28,9738.181640625,9738.181640625,8546.908935072815,8546.908935072815,480
2019-01-29,9738.181640625,10399.999810376214,9738.181640625,10399.999810376214,100
2019-01-30,9880.0,9880.0,9880.0,9880.0,10
