Price,Close,High,Low,Open,Volume
Ticker,TV2.VN,TV2.VN,TV2.VN,TV2.VN,TV2.VN
Date,,,,,
2023-07-17,29601.849609375,30316.223053945138,29467.9045885181,30048.33301223134,294700
2023-07-19,31075.244140625,31521.72753345007,30941.29912277748,31521.72753345007,230700
2023-07-20,32682.583984375,33039.77069458675,30985.9471108692,30985.9471108692,501800
2023-07-21,32503.986328125,32950.46965680803,32236.096330915178,32771.87632533482,236700
2023-07-24,33039.76953125,33486.25290329392,32191.451124366555,32414.692810388515,440400
2023-07-26,32503.986328125,33173.71132114955,32414.68966238839,32771.87632533482,308100
2023-07-28,31744.966796875,32682.58184994725,31611.02178929325,31611.02178929325,537600
2023-08-03,33307.66015625,34245.27525448224,33173.715142216824,33396.95683227212,386700
2023-08-04,34200.625,34289.92167101827,33352.30662532637,33754.14164490862,268700
2023-08-07,34200.625,35004.29503916449,33932.73498694517,34200.625,381700
2023-08-08,34245.27734375,35048.94747698012,33977.387299339964,34602.464069630056,322800
2023-08-09,34468.51171875,34513.1600499919,33932.73174384715,34379.21505626619,323900
2023-08-10,33843.4375,34914.997526385225,33039.767480211085,34825.70085751979,446100
2023-08-11,33620.1953125,34200.62365122842,33039.766973771584,34200.62365122842,254000
2023-08-14,33843.4375,34066.67917216359,33620.19582783641,34022.03083773087,257000
2023-08-15,34423.8671875,34423.8671875,33664.84547260052,34022.032161964984,396200
2023-08-16,34066.6796875,34647.10804390564,33932.73468217562,34647.10804390564,260200
2023-08-17,34111.33203125,34111.33203125,33798.793648764724,34111.33203125,264000
2023-08-18,32459.33984375,35986.558341213895,32459.33984375,33932.734912310865,1060000
2023-08-21,33486.25,33843.43666666667,32727.228333333333,32727.228333333333,426600
2023-08-22,35807.96875,35807.96875,33530.903405548626,33932.738466334165,943900
2023-08-23,35718.671875,36790.23203125,35406.13349609375,36165.1552734375,437807
2023-08-24,35897.26171875,36120.50339610541,35495.42669951026,36120.50339610541,414306
2023-08-25,35272.19140625,36165.15827729431,35138.24637559336,35986.56490308545,429104
2023-08-28,35674.0234375,35986.56181555069,35182.8917005632,35718.67177722153,245703
2023-08-29,35986.5625,36968.82599255583,35674.02411600496,35674.02411600496,323500
2023-08-30,35807.96875,36433.04551122194,35629.37538965087,36031.21045043641,313600
2023-08-31,35986.5625,36254.45254342432,35718.67245657568,35986.5625,349201
2023-09-05,37058.125,37370.66340361446,36165.15813253012,36388.39984939759,436502
2023-09-06,37058.125,37326.01506024096,36611.64156626506,37236.718373493975,339802
2023-09-07,37415.30859375,38308.27538596361,36611.63848075776,36611.63848075776,376502
2023-09-08,38085.03515625,38754.76027623095,37236.7166709408,37326.013353604925,547904
2023-09-11,37102.76953125,38218.97800090253,36879.527837319496,38218.97800090253,440400
2023-09-12,37772.49609375,37772.49609375,36120.50749390514,37147.419326241135,266600
2023-09-13,37102.76953125,37683.19793546931,36611.63780460289,37683.19793546931,731600
2023-09-14,36611.63671875,37504.60346798781,35763.318306974084,37102.7684308308,458600
