Price,Close,High,Low,Open,Volume
Ticker,UNI,UNI,UNI,UNI,UNI
Date,,,,,
2017-01-03,908.0,908.0,908.0,908.0,0
2017-01-04,908.0,908.0,908.0,908.0,0
2017-01-05,908.0,908.0,908.0,908.0,0
2017-01-06,908.0,908.0,908.0,908.0,0
2017-01-09,900.0,900.0,900.0,900.0,85
2017-01-10,904.0,904.0,900.0,900.0,505
2017-01-11,904.0,904.0,904.0,904.0,946
2017-01-12,904.0,904.0,904.0,904.0,0
2017-01-13,994.0,994.0,994.0,994.0,80
2017-01-17,1040.0,1040.0,1040.0,1040.0,100
2017-01-18,1070.0,1070.0,1070.0,1070.0,12
2017-01-19,1070.0,1070.0,1070.0,1070.0,0
2017-01-20,1070.0,1070.0,1070.0,1070.0,0
2017-01-23,1040.0,1040.0,1040.0,1040.0,30
2017-01-24,1040.0,1040.0,1040.0,1040.0,475
2017-01-25,1040.0,1040.0,1040.0,1040.0,0
2017-01-26,1070.0,1070.0,1070.0,1070.0,100
2017-01-27,1101.0,1101.0,1097.0,1097.0,851
2017-01-30,1101.0,1101.0,1101.0,1101.0,20
2017-01-31,1201.0,1201.0,1115.0,1115.0,321
2017-02-01,1201.0,1201.0,1201.0,1201.0,0
2017-02-02,1201.0,1201.0,1201.0,1201.0,0
2017-02-03,1285.0,1285.0,1285.0,1285.0,330
2017-02-06,1285.0,1285.0,1285.0,1285.0,0
2017-02-07,1285.0,1285.0,1285.0,1285.0,0
2017-02-08,1323.0,1323.0,1323.0,1323.0,35
2017-02-09,1284.0,1284.0,1284.0,1284.0,221
2017-02-10,1284.0,1284.0,1284.0,1284.0,0
2017-02-13,1284.0,1284.0,1284.0,1284.0,0
2017-02-14,1284.0,1284.0,1284.0,1284.0,0
2017-02-15,1284.0,1284.0,1284.0,1284.0,0
2017-02-16,1246.0,1246.0,1246.0,1246.0,25
2017-02-17,1246.0,1246.0,1246.0,1246.0,0
2017-02-21,1195.0,1195.0,1195.0,1195.0,0
2017-02-22,1195.0,1195.0,1195.0,1195.0,0
2017-02-23,1195.0,1195.0,1195.0,1195.0,0
2017-02-24,1195.0,1195.0,1195.0,1195.0,0
2017-02-27,1195.0,1195.0,1195.0,1195.0,0
2017-02-28,1195.0,1195.0,1195.0,1195.0,0
2017-03-01,1311.0,1311.0,1300.0,1311.0,230
2017-03-02,1301.0,1301.0,1301.0,1301.0,196
2017-03-03,1301.0,1301.0,1301.0,1301.0,0
2017-03-06,1301.0,1301.0,1301.0,1301.0,15
2017-03-07,1301.0,1301.0,1301.0,1301.0,0
2017-03-08,1335.0,1340.0,1335.0,1340.0,70
2017-03-09,1335.0,1335.0,1335.0,1335.0,0
2017-03-10,1335.0,1335.0,1335.0,1335.0,0
2017-03-13,1335.0,1335.0,1335.0,1335.0,0
2017-03-14,1335.0,1335.0,1335.0,1335.0,0
2017-03-15,1335.0,1335.0,1335.0,1335.0,0
2017-03-16,1335.0,1335.0,1335.0,1335.0,0
2017-03-17,1220.0,1220.0,1220.0,1220.0,71
2017-03-20,1220.0,1220.0,1220.0,1220.0,0
2017-03-21,1220.0,1220.0,1220.0,1220.0,0
2017-03-22,1210.0,1210.0,1210.0,1210.0,40
2017-03-23,1200.0,1200.0,1200.0,1200.0,110
2017-03-24,1200.0,1200.0,1200.0,1200.0,0
2017-03-27,1200.0,1200.0,1200.0,1200.0,0
2017-03-28,1200.0,1200.0,1200.0,1200.0,0
2017-03-29,1200.0,1200.0,1200.0,1200.0,0
2017-03-30,1200.0,1200.0,1200.0,1200.0,0
2017-03-31,1200.0,1200.0,1200.0,1200.0,0
2017-04-03,1200.0,1200.0,1200.0,1200.0,0
2017-04-04,1200.0,1200.0,1200.0,1200.0,0
