Price,Close,High,Low,Open,Volume
Ticker,VGC.VN,VGC.VN,VGC.VN,VGC.VN,VGC.VN
Date,,,,,
2023-07-17,41841.5390625,42430.21872463474,41569.84075689935,42430.21872463474,1439100
2023-07-19,41479.27734375,42656.63674433679,41479.27734375,41841.54177469978,1263100
2023-07-20,42113.234375,42113.234375,41071.72427755377,41479.271706989246,854300
2023-07-21,42837.765625,43018.8978263742,42158.51986984672,42158.51986984672,1561400
2023-07-24,43833.9921875,43879.27523728048,42566.06679364669,43018.897291451445,1262800
2023-07-26,43018.8984375,43154.74759046052,42113.23741776316,42566.06792763158,1280600
2023-07-28,43200.03125,43200.03125,41796.25664963313,42203.80411425576,1112200
2023-08-03,42747.19921875,44015.12461930615,42656.63311871028,43924.558519266415,1341300
2023-08-04,43109.4609375,43471.72531512605,42747.19655987396,43471.72531512605,712500
2023-08-07,43335.87890625,44015.12465713166,43109.46365595611,43833.99245689655,919600
2023-08-08,42747.19921875,43743.42631918697,42656.63311871028,43335.87886900821,863000
2023-08-09,41569.8359375,42656.62903390523,41569.8359375,42611.34598822168,1864200
2023-08-10,41977.38671875,42339.65111330232,41615.12232419768,41615.12232419768,1076000
2023-08-11,42067.953125,42384.93447255113,40845.310784445646,42203.80227395049,614300
2023-08-14,42566.06640625,42792.48165309175,42203.80201130319,42203.80201130319,833300
2023-08-15,43698.14453125,44015.12589054404,42837.766556023314,43245.3140179728,1876600
2023-08-16,43245.3125,43924.5582460733,42973.61420157068,43924.5582460733,593800
2023-08-17,42158.5234375,43698.147279471,42158.5234375,43200.03368353921,1315200
2023-08-18,39215.125,42158.52352771362,39215.125,42113.24047344111,1749900
2023-08-21,38943.421875,39849.08284883721,38218.89309593023,38943.421875,798000
2023-08-22,39667.953125,39667.953125,37041.53613727169,39124.55650684932,946200
2023-08-23,39169.83984375,40075.50088059971,39079.27374006503,39849.08562138728,362600
2023-08-24,40573.6171875,40618.90024239676,39124.55943080357,39577.38997977121,652800
2023-08-25,40573.6171875,40935.881626674105,39849.08830915178,40618.90024239676,612700
2023-08-28,41388.7109375,41479.27704458425,40573.61597374179,40573.61597374179,747800
2023-08-29,41660.40625,42113.23675271739,41117.00964673913,41660.40625,832700
2023-08-30,41841.5390625,42203.80346996753,41026.44414569806,41932.10516436688,682200
2023-08-31,43471.7265625,43471.7265625,41977.385961914064,42022.66901041667,1656800
2023-09-05,44015.125,44739.65380658436,43652.86059670782,44377.38940329218,1420100
2023-09-06,45645.3125,46098.14298115079,43471.72619047619,44015.122767857145,2047100
2023-09-07,45645.3125,46460.40736607143,45645.3125,46188.70907738096,1147300
2023-09-08,46188.7109375,47818.90073529412,45283.04993872549,45283.04993872549,1033600
2023-09-11,45101.921875,46822.67793047189,45101.921875,46822.67793047189,1782700
2023-09-12,47003.8046875,47003.8046875,44377.38785525048,45192.48273422447,1197200
2023-09-13,46369.84375,47637.76916503906,45283.050537109375,47275.50476074219,1040100
2023-09-14,45283.046875,46188.7078125,45192.48078125,46007.575625,940400
2023-09-15,46369.84375,47094.37255859375,44920.7861328125,45283.050537109375,885000
2023-09-18,46188.7109375,47456.63633578432,45283.04993872549,46822.67363664216,1013700
2023-09-19,46641.54296875,46732.10907160194,44966.07006598908,46732.10907160194,1021800
2023-09-20,48000.03125,48362.295636792456,46460.40760613208,46550.97370283019,1373400
2023-09-21,47547.203125,48543.43023809524,47275.50482142857,48181.16583333333,1111300
