Price,Close,High,Low,Open,Volume
Ticker,VJC.VN,VJC.VN,VJC.VN,VJC.VN,VJC.VN
Date,,,,,
2023-07-17,97300.0,98800.0,97200.0,98000.0,785000
2023-07-19,96700.0,97000.0,96200.0,96300.0,791000
2023-07-20,97800.0,97800.0,96300.0,96800.0,942200
2023-07-21,98000.0,98000.0,96500.0,97800.0,1254200
2023-07-24,96800.0,98300.0,96700.0,98000.0,914700
2023-07-26,96500.0,97000.0,96100.0,96500.0,720900
2023-07-28,97800.0,97800.0,96200.0,96900.0,846400
2023-08-03,101000.0,102700.0,99800.0,101000.0,830800
2023-08-04,101000.0,102000.0,99900.0,101000.0,1195400
2023-08-07,101900.0,101900.0,100000.0,101200.0,841800
2023-08-08,103000.0,103400.0,100700.0,102000.0,810100
2023-08-09,101600.0,103500.0,101500.0,103300.0,649600
2023-08-10,100700.0,102800.0,100600.0,102000.0,828200
2023-08-11,101100.0,101300.0,99900.0,100600.0,1050500
2023-08-14,100200.0,101500.0,99600.0,101500.0,1232300
2023-08-15,101900.0,101900.0,99500.0,100500.0,823200
2023-08-16,100800.0,102000.0,100200.0,102000.0,744100
2023-08-17,100000.0,101300.0,99500.0,100800.0,962200
2023-08-18,97900.0,100100.0,96000.0,100000.0,1277000
2023-08-21,96000.0,98500.0,96000.0,97700.0,1241900
2023-08-22,97300.0,98900.0,96000.0,97800.0,956800
2023-08-23,96500.0,98500.0,96000.0,97300.0,878400
2023-08-24,97500.0,98200.0,96300.0,96900.0,841700
2023-08-25,97000.0,97700.0,96400.0,96500.0,907800
2023-08-28,98000.0,98500.0,96800.0,97500.0,3047010
2023-08-29,97500.0,98300.0,96500.0,98000.0,2535230
2023-08-30,96900.0,98000.0,96400.0,97500.0,1693360
2023-08-31,98000.0,98000.0,96100.0,97000.0,1567390
2023-09-05,100500.0,100600.0,97400.0,98100.0,1412400
2023-09-06,101700.0,101800.0,99500.0,100600.0,1719200
2023-09-07,101000.0,101900.0,100200.0,101100.0,904000
2023-09-08,101400.0,101800.0,100300.0,100400.0,2253100
2023-09-11,99000.0,101800.0,99000.0,101500.0,2162700
2023-09-12,101900.0,101900.0,99200.0,99500.0,1000600
2023-09-13,99000.0,101900.0,99000.0,101900.0,980200
2023-09-14,99000.0,100000.0,97000.0,99000.0,1017700
2023-09-15,99700.0,100200.0,98700.0,99500.0,936500
2023-09-18,98800.0,99600.0,98000.0,99500.0,876000
2023-09-19,99400.0,99400.0,97800.0,98900.0,1993300
