Price,Close,High,Low,Open,Volume
Ticker,VNE.VN,VNE.VN,VNE.VN,VNE.VN,VNE.VN
Date,,,,,
2023-07-17,11950.0,12000.0,11800.0,12000.0,277700
2023-07-19,11900.0,11950.0,11700.0,11950.0,395500
2023-07-20,11900.0,11900.0,11700.0,11850.0,180000
2023-07-21,11900.0,11900.0,11750.0,11850.0,311500
2023-07-24,11900.0,11950.0,11700.0,11800.0,813400
2023-07-26,11850.0,11850.0,11650.0,11750.0,296300
2023-07-28,11850.0,11950.0,11450.0,11650.0,494400
2023-08-03,11800.0,11800.0,11650.0,11700.0,151600
2023-08-04,11700.0,11850.0,11600.0,11700.0,355100
2023-08-07,11700.0,11700.0,11550.0,11700.0,255100
2023-08-08,11750.0,11800.0,11400.0,11600.0,1398800
2023-08-09,11700.0,11800.0,11400.0,11650.0,718700
2023-08-10,11650.0,11750.0,11450.0,11750.0,526100
2023-08-11,11600.0,11800.0,11300.0,11700.0,905000
2023-08-14,11600.0,11600.0,11400.0,11550.0,273400
2023-08-15,11700.0,11700.0,11350.0,11550.0,2156400
2023-08-16,11600.0,11900.0,11600.0,11750.0,619300
2023-08-17,11600.0,11750.0,11450.0,11600.0,1054700
2023-08-18,11600.0,11600.0,10900.0,11600.0,533400
2023-08-21,11500.0,11500.0,11300.0,11500.0,331600
2023-08-22,11450.0,11500.0,11100.0,11450.0,467900
2023-08-23,11550.0,11550.0,11350.0,11500.0,577400
2023-08-24,11600.0,11600.0,11400.0,11550.0,1233900
2023-08-25,11600.0,11600.0,11450.0,11550.0,173100
2023-08-28,11600.0,11600.0,11500.0,11600.0,408900
2023-08-29,11550.0,11600.0,11450.0,11500.0,571000
2023-08-30,11500.0,11500.0,11350.0,11500.0,703500
2023-08-31,11500.0,11500.0,11400.0,11500.0,941200
2023-09-05,12200.0,12200.0,11400.0,11450.0,628300
2023-09-06,11800.0,12300.0,11750.0,12300.0,431000
2023-09-07,12100.0,12100.0,11800.0,11800.0,618100
