Price,Close,High,Low,Open,Volume
Ticker,VNL.VN,VNL.VN,VNL.VN,VNL.VN,VNL.VN
Date,,,,,
2017-01-04,13720.9462890625,13720.9462890625,13720.9462890625,13720.9462890625,15
2017-01-05,14249.69140625,14249.69140625,12954.265126008067,12954.265126008067,3015
2017-01-11,13324.3876953125,14249.691880022798,13324.3876953125,14249.691880022798,255
2017-01-18,13800.2568359375,13853.130866848627,12478.392896157791,12478.392896157791,225
2017-01-19,13218.6376953125,13245.075488088884,13218.6376953125,13245.075488088884,4500
2017-01-20,13747.3837890625,13747.3837890625,12346.207928090593,12346.207928090593,30
2017-01-23,14329.0029296875,14329.0029296875,14276.128894579138,14329.0029296875,375
2017-01-24,14804.8740234375,14804.8740234375,14751.999987862722,14751.999987862722,2550
2017-02-03,13800.2568359375,13800.2568359375,13800.2568359375,13800.2568359375,150
2017-02-09,14170.3798828125,14170.379882812502,14170.379882812502,14170.379882812502,6000
2017-02-17,14011.7568359375,14011.7568359375,14011.7568359375,14011.7568359375,900
2017-02-20,14011.7568359375,14011.7568359375,13958.882796244206,13958.882796244206,7500
2017-02-21,14011.7568359375,14011.7568359375,14011.7568359375,14011.7568359375,7500
2017-02-22,14011.7568359375,14011.7568359375,14011.7568359375,14011.7568359375,13500
2017-02-24,13747.3837890625,14276.128783198288,13747.3837890625,14276.128783198288,30
2017-02-28,13747.3837890625,13773.820031880863,13747.3837890625,13747.3837890625,1515
2017-03-01,13747.3837890625,13747.3837890625,13747.3837890625,13747.3837890625,285
2017-03-02,12954.265625,12954.265625,12954.265625,12954.265625,1500
2017-03-06,12954.265625,12954.265625,12954.265625,12954.265625,4500
2017-03-07,12954.265625,12954.265625,12954.265625,12954.265625,4500
2017-03-08,12954.265625,12954.265625,12954.265625,12954.265625,4500
2017-03-09,12954.265625,12954.265625,12954.265625,12954.265625,4500
2017-03-10,12954.265625,13007.140437801749,12954.265625,13007.140437801749,4500
2017-03-13,12954.265625,13747.384718907764,12954.265625,13747.384718907764,7650
2017-03-15,12954.265625,12954.265625,12954.265625,12954.265625,1605
2017-03-16,12954.265625,12954.265625,12795.64196112437,12954.265625,8205
2017-03-17,12954.265625,12954.265625,12954.265625,12954.265625,8250
2017-03-20,12954.265625,13165.764101677378,12954.265625,13165.764101677378,6585
2017-03-21,12795.6416015625,12954.265260980752,12795.6416015625,12954.265260980752,7515
2017-03-22,12795.6416015625,12795.6416015625,12795.6416015625,12795.6416015625,150
2017-03-23,12795.6416015625,12954.265260980752,12742.76756477614,12742.76756477614,9630
2017-03-24,12795.6416015625,12795.6416015625,12214.021775205438,12214.021775205438,7515
2017-03-27,12954.265625,12954.265625,12954.265625,12954.265625,30
2017-03-28,12161.146484375,13456.572727035493,12161.146484375,12954.26475019358,6330
2017-03-29,12954.265625,12954.265625,12954.265625,12954.265625,75
2017-03-30,12954.265625,12954.265625,12954.265625,12954.265625,4140
2017-03-31,12954.265625,12954.265625,12954.265625,12954.265625,5250
2017-04-04,12954.265625,12954.265625,12954.265625,12954.265625,4500
2017-04-05,13165.763671875,13165.763671875,12161.14690861564,12161.14690861564,4515
2017-04-07,12319.7705078125,12319.7705078125,12319.7705078125,12319.7705078125,4500
2017-04-10,11632.40234375,11632.40234375,11632.40234375,11632.40234375,30
2017-04-11,12161.146484375,12161.146484375,11632.40149018232,11632.40149018232,3090
2017-04-12,12689.892578125,12689.892578125,11632.401788124444,11632.401788124444,1515
2017-04-13,12901.3916015625,12901.3916015625,12901.3916015625,12901.3916015625,300
2017-04-17,12848.5166015625,12848.5166015625,12161.14714247933,12161.14714247933,90
2017-04-18,12663.455078125,12663.455078125,12663.455078125,12663.455078125,750
2017-04-20,12584.1435546875,12584.1435546875,12584.1435546875,12584.1435546875,1500
2017-04-21,12425.5205078125,12584.144170573809,12425.5205078125,12584.144170573809,3000
2017-04-26,12425.5205078125,12425.5205078125,12161.14722019058,12161.14722019058,6690
2017-05-03,12161.146484375,12161.146484375,12161.146484375,12161.146484375,1710
2017-05-04,12425.5205078125,12425.5205078125,12161.14722019058,12161.14722019058,3750
2017-05-05,12161.146484375,12161.146484375,12161.146484375,12161.146484375,30
2017-05-08,12161.146484375,12161.146484375,12161.146484375,12161.146484375,4050
2017-05-09,12214.021484375,12214.021484375,12161.146674318066,12161.146674318066,2280
2017-05-10,12266.8974609375,12266.8974609375,12214.0226458525,12214.0226458525,1215
2017-05-11,12214.021484375,12214.021484375,12214.021484375,12214.021484375,750
2017-05-16,11632.40234375,11896.774860245583,11632.40234375,11896.774860245583,16845
2017-05-17,11368.0283203125,11368.0283203125,11368.0283203125,11368.0283203125,60
2017-05-22,11632.40234375,11632.40234375,11632.40234375,11632.40234375,900
2017-05-25,11685.2763671875,11685.2763671875,11685.2763671875,11685.2763671875,15
2017-05-26,11711.7138671875,11711.7138671875,11368.028752827344,11368.028752827344,2265
2017-05-29,11368.0283203125,11368.0283203125,11368.0283203125,11368.0283203125,300
2017-05-30,11632.40234375,11632.40234375,11632.40234375,11632.40234375,15
2017-05-31,11632.40234375,11632.40234375,11632.40234375,11632.40234375,750
2017-06-05,11368.0283203125,11368.0283203125,11368.0283203125,11368.0283203125,2640
2017-06-06,11103.65625,11156.53106174796,11103.65625,11156.53106174796,3645
2017-06-07,11209.404296875,11209.404296875,11156.530263440043,11156.530263440043,3000
2017-06-08,11209.404296875,11209.404296875,11209.404296875,11209.404296875,1500
2017-06-09,11209.404296875,11209.404296875,11209.404296875,11209.404296875,1500
2017-06-12,11632.40234375,11632.40234375,11632.40234375,11632.40234375,3015
2017-06-14,11738.150390625,11738.150390625,11738.150390625,11738.150390625,1500
2017-06-16,10997.9072265625,11738.15070664272,10997.9072265625,11738.15070664272,105
2017-06-19,10945.0322265625,11685.275693853971,10945.0322265625,11685.275693853971,1575
