Price,Close,High,Low,Open,Volume
Ticker,VNS.VN,VNS.VN,VNS.VN,VNS.VN,VNS.VN
Date,,,,,
2023-07-17,15980.474609375,15980.474609375,15980.474609375,15980.474609375,451600
2023-07-19,16277.01953125,16837.159879491395,15815.727479757084,16738.311582742914,273200
2023-07-20,16441.765625,16870.108216432865,16244.069044338676,16277.018474448898,89200
2023-07-21,16342.9169921875,16771.259574644027,16244.0687039283,16771.259574644027,246300
2023-07-24,16705.361328125,16705.361328125,16342.917591222878,16474.71531373274,432800
2023-07-26,16903.05859375,17397.300073099414,16804.210297880116,17133.704617446394,428300
2023-07-28,14638.9072265625,15536.760203125,14638.9072265625,15536.760203125,342000
2023-08-03,13545.869140625,13741.054574927955,13350.683706322046,13584.906227485591,91600
2023-08-04,13311.646484375,13662.980262554986,13194.535224981671,13662.980262554986,169000
2023-08-07,13350.6826171875,13428.756784539475,13233.57136615954,13311.645533511512,153600
2023-08-08,13702.0166015625,13858.164938902242,13272.608673878203,13428.757011217947,134300
2023-08-09,13545.869140625,13741.054574927955,13428.75788004323,13741.054574927955,94700
2023-08-10,13428.7578125,13545.869072492733,13389.720725835756,13428.7578125,65100
2023-08-11,13506.8310546875,13545.868138660586,13389.719802768244,13545.868138660586,84000
2023-08-14,13389.720703125,13506.831962919096,13350.683616526969,13506.831962919096,83500
2023-08-15,13428.7578125,13467.794899164244,13233.57237917878,13389.720725835756,105600
2023-08-16,13584.90625,13662.980423850577,13350.683728448275,13428.75790229885,118200
2023-08-17,13819.126953125,14209.497771009886,13545.867380605578,13584.904462394066,88600
2023-08-18,13038.3857421875,13858.164486456775,12882.237409945734,13858.164486456775,153000
2023-08-21,13194.5341796875,13272.608346431212,12882.237512712649,13077.42292957193,51000
2023-08-22,13272.609375,13272.609375,12921.275597426473,13272.609375,105700
2023-08-23,13077.4228515625,13272.608267257465,13038.385768423508,13038.385768423508,37900
2023-08-24,13077.4228515625,13116.459934701494,12960.311602145524,13116.459934701494,76300
