Price,Close,High,Low,Open,Volume
Ticker,VPD.VN,VPD.VN,VPD.VN,VPD.VN,VPD.VN
Date,,,,,
2023-07-17,20187.537109375,20187.537109375,19563.98383958736,19914.732553842907,3800
2023-07-19,19953.705078125,20031.649238586426,19953.705078125,19953.705078125,4200
2023-07-20,19953.705078125,19953.705078125,19953.705078125,19953.705078125,600
2023-07-21,20187.537109375,20187.537109375,19719.872157034268,19953.70463320464,12800
2023-07-24,19953.705078125,20031.649238586426,19563.98427581787,19875.76091766357,2300
2023-07-26,20265.482421875,21044.92405348557,19486.040790264426,20187.538258713943,32200
2023-07-28,19563.984375,19563.984375,19563.984375,19563.984375,1800
2023-08-03,19602.955078125,19602.955078125,19563.983000434888,19563.983000434888,3800
2023-08-04,19486.041015625,19719.8735078125,19486.041015625,19486.041015625,1200
2023-08-07,19486.041015625,19486.041015625,19096.3201953125,19486.041015625,4500
2023-08-08,19252.20703125,19563.98366333502,19252.20703125,19563.98366333502,2600
2023-08-09,19330.150390625,19486.03870022681,19330.150390625,19486.03870022681,300
2023-08-10,19486.041015625,19486.041015625,19408.0968515625,19408.0968515625,3700
2023-08-11,19252.20703125,19447.067426303136,19096.31871520749,19096.31871520749,6600
2023-08-14,18706.59765625,19369.12298990885,18316.87687174479,19096.318440755207,7600
2023-08-15,19018.375,19174.263319672133,19018.375,19174.263319672133,1800
2023-08-16,18901.4609375,19018.37719072165,18901.4609375,19018.37719072165,4200
2023-08-17,18862.48828125,18862.48828125,18511.739532218493,18511.739532218493,2300
2023-08-18,18628.654296875,18706.59845711297,18316.87765592312,18706.59845711297,1400
2023-08-21,18238.935546875,18238.935546875,17459.493856837606,17459.493856837606,3300
2023-08-22,18550.7109375,18550.7109375,17537.436810661766,18083.04595588236,3300
2023-08-23,18862.48828125,19096.32078060434,18706.59994834711,19096.32078060434,5500
2023-08-24,18706.59765625,18940.430126953124,18706.59765625,18706.59765625,14200
2023-08-25,18083.044921875,18628.65403589709,18083.044921875,18628.65403589709,2500
2023-08-28,18160.990234375,18160.990234375,18160.990234375,18160.990234375,3800
2023-08-29,18472.767578125,18472.767578125,18238.93507713608,18238.93507713608,3900
2023-08-30,18472.767578125,18472.767578125,18355.85132763054,18472.767578125,6800
2023-08-31,18628.654296875,18628.654296875,18316.87765592312,18433.79389628008,7500
2023-09-05,18589.68359375,18628.655676755767,17498.465269588574,18628.655676755767,7300
2023-09-06,18628.654296875,18706.59845711297,18628.654296875,18706.59845711297,8100
2023-09-07,18550.7109375,18550.7109375,18472.76677389706,18472.76677389706,1400
2023-09-08,18628.654296875,18706.59845711297,18628.654296875,18706.59845711297,3900
2023-09-11,18628.654296875,18628.654296875,18628.654296875,18628.654296875,1700
2023-09-12,18628.654296875,18628.654296875,18083.045175209205,18628.654296875,1300
2023-09-13,18628.654296875,18706.59845711297,17927.156854733264,17927.156854733264,6700
