Price,Close,High,Low,Open,Volume
Ticker,VPI.VN,VPI.VN,VPI.VN,VPI.VN,VPI.VN
Date,,,,,
2017-11-28,19724.517578125,19724.517578125,19724.517578125,19724.517578125,9074
2017-11-29,21652.892578125,21652.892578125,21652.892578125,21652.892578125,18259988
2017-11-30,22809.91796875,23801.65234375,22314.048828125,23801.65234375,1086276
2017-12-01,22809.91796875,24242.423828125,22038.568359375,24242.423828125,113073
2017-12-04,22038.568359375,22809.91796875,22038.568359375,22809.91796875,300564
2017-12-05,21707.98828125,22038.568359375,21487.603515625,21873.27734375,272067
2017-12-06,21267.216796875,22038.568359375,21267.216796875,22038.568359375,103454
2017-12-07,21487.603515625,21542.69921875,21322.314453125,21542.69921875,38658
2017-12-08,21046.83203125,21487.603515625,20936.638671875,21487.603515625,182043
2017-12-11,21101.927734375,21212.12109375,20661.15625,21046.83203125,165890
2017-12-12,20936.638671875,21101.927734375,20385.67578125,20936.638671875,183678
2017-12-13,20826.4453125,21046.83203125,20385.67578125,21046.83203125,139572
2017-12-14,20275.482421875,20826.4453125,20275.482421875,20826.4453125,210357
2017-12-15,19393.939453125,20385.67578125,19393.939453125,20385.67578125,211266
2017-12-18,20661.15625,20936.638671875,19283.74609375,19338.84375,1116277
2017-12-19,20220.384765625,20716.25390625,20220.384765625,20661.15625,370077
2017-12-20,20330.578125,20330.578125,20000.0,20275.482421875,200012
2017-12-21,19834.7109375,20275.482421875,19614.32421875,20275.482421875,328878
2017-12-22,19944.904296875,19944.904296875,19669.421875,19834.7109375,293121
2017-12-25,20000.0,20000.0,19449.03515625,19944.904296875,340311
2017-12-26,19834.7109375,19834.7109375,19393.939453125,19724.517578125,398210
2017-12-27,19834.7109375,19834.7109375,19504.1328125,19559.228515625,174420
2017-12-28,19889.806640625,19889.806640625,19338.84375,19834.7109375,143384
2017-12-29,20936.638671875,20936.638671875,19283.74609375,19834.7109375,393128
2018-01-02,19944.904296875,20936.638671875,19944.904296875,20936.638671875,457742
2018-01-03,19834.7109375,19944.904296875,19559.228515625,19944.904296875,350892
2018-01-04,19834.7109375,19834.7109375,19614.32421875,19834.7109375,471174
2018-01-05,19889.806640625,19889.806640625,19669.421875,19669.421875,367899
2018-01-08,19889.806640625,19889.806640625,19724.517578125,19834.7109375,431787
2018-01-09,19724.517578125,19834.7109375,19724.517578125,19724.517578125,176418
2018-01-10,19779.615234375,19834.7109375,19724.517578125,19779.615234375,240306
2018-01-11,19834.7109375,19834.7109375,19779.615234375,19779.615234375,168612
2018-01-12,19834.7109375,19834.7109375,19779.615234375,19779.615234375,223970
