Price,Close,High,Low,Open,Volume
Ticker,VPS.VN,VPS.VN,VPS.VN,VPS.VN,VPS.VN
Date,,,,,
2023-07-17,9393.3349609375,9438.065127418156,9303.87462797619,9303.87462797619,8500
2023-07-19,9124.9541015625,9214.414435891544,9124.9541015625,9214.414435891544,2100
2023-07-20,9527.525390625,9616.985722931338,9080.22372909331,9616.985722931338,1500
2023-07-21,9527.525390625,9527.525390625,9527.525390625,9527.525390625,1000
2023-07-24,9527.525390625,9616.985722931338,8946.033230633802,9527.525390625,1700
2023-07-26,9438.0654296875,9438.0654296875,9438.0654296875,9438.0654296875,100
2023-07-28,8946.033203125,9124.9538671875,8856.57287109375,8946.033203125,11500
2023-08-03,8856.5732421875,8856.5732421875,8856.5732421875,8856.5732421875,2500
2023-08-04,8767.1123046875,8856.572634327169,8731.328172831632,8856.572634327169,6100
2023-08-07,8856.5732421875,8856.5732421875,8856.5732421875,8856.5732421875,3200
2023-08-08,8811.8427734375,8901.303106162753,8436.109375991435,8436.109375991435,1400
2023-08-09,8677.65234375,8811.842843911083,8507.677710212629,8811.842843911083,17400
2023-08-10,8722.3828125,8767.11298076923,8722.3828125,8749.220913461539,15500
2023-08-11,8588.19140625,8722.381896972656,8588.19140625,8722.381896972656,200
2023-08-14,8811.8427734375,8838.680873255076,8498.731608899112,8588.191941624365,12400
2023-08-15,8811.8427734375,8811.8427734375,8498.731608899112,8498.731608899112,2100
2023-08-16,8928.1416015625,8928.1416015625,8498.731985455286,8811.843163866795,1600
2023-08-18,8382.4326171875,8722.381858866396,8364.54055183598,8364.54055183598,1700
2023-08-21,8319.8115234375,8364.541692918347,8319.8115234375,8364.541692918347,11900
2023-08-22,8319.8115234375,8319.8115234375,8319.8115234375,8319.8115234375,200
2023-08-23,8319.8115234375,8319.8115234375,8319.8115234375,8319.8115234375,1000
2023-08-24,8498.7314453125,8498.7314453125,8319.81078330592,8319.81078330592,2500
2023-08-25,8498.7314453125,8498.7314453125,8498.7314453125,8498.7314453125,2700
2023-08-28,8498.7314453125,8498.7314453125,8498.7314453125,8498.7314453125,1000
2023-08-31,8820.7890625,8820.7890625,7908.2936422413795,8811.843028968053,9300
2023-09-05,8811.8427734375,8820.788806710027,8811.8427734375,8820.788806710027,300
2023-09-06,8767.1123046875,8767.1123046875,8498.731315768495,8507.677348732463,5400
2023-09-07,8543.4619140625,8543.4619140625,8462.947613301701,8516.623813808901,6400
2023-09-08,8811.8427734375,8847.626906527601,8543.46177526174,8543.46177526174,6100
2023-09-11,8802.896484375,8802.896484375,8802.896484375,8802.896484375,1100
2023-09-12,8570.2998046875,8597.137904284642,8570.2998046875,8570.2998046875,4200
2023-09-13,8597.1376953125,8811.842486870772,8597.1376953125,8811.842486870772,200
2023-09-14,8677.65234375,9124.954010953608,8677.65234375,9124.954010953608,2700
2023-09-15,8677.65234375,9124.954010953608,8677.65234375,9124.954010953608,1600
2023-09-18,8686.5986328125,8686.5986328125,8686.5986328125,8686.5986328125,1400
2023-09-20,8856.5732421875,8856.5732421875,8462.947764756944,8507.67793264678,4300
2023-09-21,8856.5732421875,8856.5732421875,8856.5732421875,8856.5732421875,1300
2023-09-22,8418.216796875,8525.569189608794,8418.216796875,8525.569189608794,12600
2023-09-25,8373.4873046875,8928.141378288594,8373.4873046875,8928.141378288594,5200
2023-09-26,8409.271484375,8409.271484375,8391.379417386968,8391.379417386968,3100
2023-09-27,8793.951171875,8793.951171875,8409.271720816378,8418.217754561927,4200
2023-09-28,8793.951171875,9393.335432826803,8776.059104383901,9393.335432826803,8800
2023-09-29,8498.7314453125,8552.407643914474,8471.893346011513,8552.407643914474,600
2023-10-02,7970.916015625,8525.57010425435,7970.916015625,8525.57010425435,300
2023-10-03,8525.5693359375,8525.5693359375,8328.756612547548,8346.64867831027,17200
2023-10-04,8498.7314453125,8498.7314453125,8498.7314453125,8498.7314453125,500
2023-10-05,8418.216796875,8454.000927786265,8418.216796875,8454.000927786265,1200
2023-10-06,8838.6806640625,8838.6806640625,8838.6806640625,8838.6806640625,500
2023-10-09,8829.734375,8829.734375,8677.651817375887,8677.651817375887,5200
2023-10-10,8856.5732421875,8856.5732421875,8856.5732421875,8856.5732421875,1000
2023-10-11,8785.0048828125,8785.0048828125,8785.0048828125,8785.0048828125,100
2023-10-12,8937.0869140625,8946.03294700951,8874.464683433433,8874.464683433433,3800
2023-10-13,8606.083984375,8776.05861608303,8498.731585401507,8776.05861608303,5500
2023-10-16,8928.1416015625,8928.1416015625,8677.65265883329,8677.65265883329,700
2023-10-17,8937.0869140625,8937.0869140625,8767.112288069318,8767.112288069318,4300
2023-10-23,8498.7314453125,8498.7314453125,8498.7314453125,8498.7314453125,300
2023-10-24,8498.7314453125,8498.7314453125,8454.001279810855,8454.001279810855,900
2023-10-25,8695.5439453125,8695.5439453125,8498.731222270448,8498.731222270448,6000
2023-10-26,8758.1669921875,8758.1669921875,8409.271677891982,8704.49078998819,21300
2023-10-31,8498.7314453125,8498.7314453125,8373.486981907894,8373.486981907894,4200
2023-11-01,8498.7314453125,8498.7314453125,8498.7314453125,8498.7314453125,100
2023-11-03,8677.65234375,8677.65234375,8498.731676868556,8498.731676868556,1500
2023-11-06,8677.65234375,8677.65234375,8677.65234375,8677.65234375,300
2023-11-07,8677.65234375,8677.65234375,8677.65234375,8677.65234375,100
2023-11-08,8758.1669921875,8758.1669921875,8418.217711591866,8418.217711591866,1600
2023-11-09,8758.1669921875,8758.1669921875,8758.1669921875,8758.1669921875,500
2023-11-13,8328.7568359375,8328.7568359375,8194.566339117884,8212.4584053605,1100
2023-11-14,8498.7314453125,8767.112438322369,8498.7314453125,8767.112438322369,400
2023-11-23,8677.65234375,8677.65234375,8588.192010309278,8588.192010309278,1000
2023-11-28,8677.65234375,8677.65234375,8677.65234375,8677.65234375,1500
2023-11-29,8677.65234375,8677.65234375,8677.65234375,8677.65234375,200
2023-11-30,8409.271484375,8498.731819315159,8409.271484375,8498.731819315159,4900
2023-12-01,8543.4619140625,8543.4619140625,8543.4619140625,8543.4619140625,1500
2023-12-04,8856.5732421875,8856.5732421875,8588.192234848484,8588.192234848484,300
2023-12-07,8946.033203125,8946.033203125,8802.896671875,8802.896671875,2800
2023-12-08,9572.255859375,9572.255859375,8946.033513434579,8946.033513434579,8500
2023-12-11,10198.4775390625,10198.4775390625,9214.41391687226,9214.41391687226,7200
2023-12-12,9840.63671875,10198.478053977273,9840.63671875,10198.478053977273,300
2023-12-13,9840.63671875,9885.36688565341,9661.716051136364,9885.36688565341,156400
2023-12-15,9035.494140625,9214.41481667698,9035.494140625,9214.41481667698,1100
2023-12-18,9572.255859375,9661.716194509345,9393.335189106308,9482.795524240652,3900
2023-12-19,8946.033203125,9572.25552734375,8946.033203125,9572.25552734375,400
2023-12-20,8946.033203125,8946.033203125,8901.303037109376,8946.033203125,600
2023-12-21,9572.255859375,9572.255859375,9572.255859375,9572.255859375,100
2023-12-22,8990.763671875,8990.763671875,8990.763671875,8990.763671875,200
2023-12-25,9482.794921875,9482.794921875,9482.794921875,9482.794921875,800
2023-12-26,8856.5732421875,8856.5732421875,8856.5732421875,8856.5732421875,100
2023-12-27,9438.0654296875,9438.0654296875,8677.652575162914,8677.652575162914,3400
2023-12-28,9840.63671875,10019.557386363636,9438.065216619318,9438.065216619318,13000
2023-12-29,9259.14453125,9348.604864885265,9259.14453125,9348.604864885265,400
2024-01-02,9348.6044921875,9348.6044921875,9348.6044921875,9348.6044921875,100
2024-01-03,9393.3349609375,9393.3349609375,9393.3349609375,9393.3349609375,100
2024-01-04,9438.0654296875,9482.79559760071,9438.0654296875,9438.0654296875,1200
2024-01-05,9259.14453125,9438.065198520531,9259.14453125,9438.065198520531,600
2024-01-08,9259.14453125,9259.14453125,9259.14453125,9259.14453125,800
2024-01-11,9035.494140625,9303.87515470297,9035.494140625,9303.87515470297,2200
2024-01-12,9393.3349609375,9482.79529389881,9303.87462797619,9303.87462797619,5200
2024-01-15,9840.63671875,9840.63671875,9661.716051136364,9661.716051136364,1900
2024-01-16,9259.14453125,9303.874698067631,9259.14453125,9303.874698067631,300
2024-01-17,9393.3349609375,9393.3349609375,9393.3349609375,9393.3349609375,5000
2024-01-22,9348.6044921875,9348.6044921875,9348.6044921875,9348.6044921875,5000
2024-01-23,9035.494140625,9035.494140625,9035.494140625,9035.494140625,100
2024-01-24,8990.763671875,9080.224006918532,8990.763671875,9080.224006918532,19200
2024-01-26,9035.494140625,9035.494140625,8632.922619508045,8632.922619508045,7100
2024-01-29,8946.033203125,8946.033203125,8946.033203125,8946.033203125,2100
2024-01-31,8695.5439453125,9214.413851514277,8695.5439453125,9214.413851514277,1300
2024-02-01,8677.65234375,8686.598377094073,8677.65234375,8677.65234375,9100
2024-02-02,8606.083984375,8606.083984375,8606.083984375,8606.083984375,200
2024-02-06,8588.19140625,8588.19140625,8588.19140625,8588.19140625,100
2024-02-07,8758.1669921875,8767.113025887385,8758.1669921875,8767.113025887385,1900
2024-02-16,8767.1123046875,8767.1123046875,8767.1123046875,8767.1123046875,3300
2024-02-19,8946.033203125,9124.9538671875,8767.1125390625,8767.1125390625,5400
2024-02-20,8946.033203125,8946.033203125,8767.1125390625,8946.033203125,300
2024-02-21,8946.033203125,8946.033203125,8946.033203125,8946.033203125,400
2024-02-22,8946.033203125,8946.033203125,8937.087169921875,8937.087169921875,1200
2024-02-23,8498.7314453125,8937.087067228618,8498.7314453125,8498.7314453125,109200
2024-02-26,8901.302734375,9035.49322785804,8498.73125392588,9035.49322785804,6200
2024-02-27,8677.65234375,8677.65234375,8677.65234375,8677.65234375,300
2024-02-28,8767.1123046875,8767.1123046875,8507.677348732463,8507.677348732463,3800
2024-02-29,8677.65234375,8686.598377094073,8534.515810244846,8534.515810244846,600
2024-03-01,8713.4365234375,8713.4365234375,8615.030156129684,8659.760323087783,2000
2024-03-04,8677.65234375,8677.65234375,8677.65234375,8677.65234375,200
2024-03-05,8677.65234375,8677.65234375,8588.192010309278,8588.192010309278,2100
2024-03-06,8677.65234375,8677.65234375,8677.65234375,8677.65234375,1100
2024-03-07,8641.8681640625,8641.8681640625,8319.810965401784,8498.731631324405,2600
2024-03-08,8588.19140625,8641.867602539063,8588.19140625,8641.867602539063,300
2024-03-11,8579.24609375,8579.24609375,8579.24609375,8579.24609375,700
2024-03-12,8632.921875,8632.921875,8248.242454663212,8266.134520725389,1100
2024-03-13,8275.080078125,8650.813443834459,8149.835622888513,8149.835622888513,1900
2024-03-14,8409.271484375,8409.271484375,8409.271484375,8409.271484375,2100
2024-03-15,8498.7314453125,8498.7314453125,8498.7314453125,8498.7314453125,200
2024-03-18,8498.7314453125,8498.7314453125,8498.7314453125,8498.7314453125,100
2024-03-19,8588.19140625,8588.19140625,8409.270751953125,8409.270751953125,800
2024-03-20,8498.7314453125,8498.7314453125,8498.7314453125,8498.7314453125,10000
2024-03-21,8498.7314453125,8498.7314453125,8498.7314453125,8498.7314453125,1800
2024-03-22,8498.7314453125,8498.7314453125,8498.7314453125,8498.7314453125,700
2024-03-25,8498.7314453125,8498.7314453125,8498.7314453125,8498.7314453125,1200
2024-03-26,8498.7314453125,8767.112438322369,8498.7314453125,8767.112438322369,8800
2024-03-27,8498.7314453125,8498.7314453125,8498.7314453125,8498.7314453125,400
2024-03-28,8543.4619140625,8632.922248241166,8498.731746973168,8498.731746973168,2900
2024-03-29,8543.4619140625,8543.4619140625,8498.731746973168,8543.4619140625,4700
2024-04-01,8615.0302734375,8615.0302734375,8140.890497225467,8140.890497225467,1300
2024-04-02,8722.3828125,9169.684495192309,8632.922475961539,8767.11298076923,20600
2024-04-03,8874.46484375,8946.03310861895,8856.572777532761,8856.572777532761,10900
2024-04-04,8838.6806640625,8838.6806640625,8838.6806640625,8838.6806640625,1100
2024-04-05,8838.6806640625,8838.6806640625,8802.896531819331,8802.896531819331,15400
