Price,Close,High,Low,Open,Volume
Ticker,VVS.VN,VVS.VN,VVS.VN,VVS.VN,VVS.VN
Date,,,,,
2025-12-10,61100.0,65300.0,61100.0,64000.0,133100
2025-12-11,61000.0,61500.0,60300.0,61200.0,51734
2025-12-12,58000.0,61900.0,58000.0,61000.0,94725
2025-12-15,60500.0,60500.0,57900.0,58500.0,65039
2025-12-16,61100.0,61400.0,59000.0,59800.0,72241
2025-12-17,59300.0,61000.0,59300.0,61000.0,113637
2025-12-18,58000.0,59000.0,57500.0,59000.0,186726
2025-12-19,57900.0,58100.0,57300.0,58000.0,56126
2025-12-22,58500.0,58800.0,57500.0,57800.0,123102
2025-12-23,60000.0,61400.0,58500.0,58500.0,104816
2025-12-24,60100.0,61300.0,59400.0,61200.0,128694
2025-12-25,64200.0,64300.0,59300.0,59800.0,340657
2025-12-26,65000.0,66500.0,63000.0,64200.0,128339
2025-12-29,68700.0,69000.0,65000.0,65000.0,136708
2025-12-30,67000.0,72500.0,66000.0,70700.0,197771
2025-12-31,65500.0,67000.0,63100.0,66600.0,252117
2026-01-05,64100.0,68500.0,64100.0,65500.0,126552
2026-01-06,66500.0,66500.0,64000.0,64800.0,81663
2026-01-07,65400.0,69000.0,64500.0,67000.0,121146
2026-01-08,60900.0,65400.0,60900.0,64500.0,448407
2026-01-09,56700.0,59800.0,56700.0,58200.0,358586
2026-01-12,52800.0,56800.0,52800.0,54400.0,283179
2026-01-13,56400.0,56400.0,53000.0,53000.0,63020
2026-01-14,60300.0,60300.0,58000.0,60300.0,223701
2026-01-15,61000.0,61000.0,58100.0,60300.0,121568
2026-01-16,60800.0,63500.0,59700.0,59900.0,78331
2026-01-19,59300.0,60800.0,58900.0,60800.0,69847
2026-01-20,60900.0,62000.0,58700.0,59000.0,68028
2026-01-21,62000.0,62000.0,60000.0,60000.0,60226
2026-01-22,63000.0,64000.0,61200.0,62000.0,60022
2026-01-23,61000.0,65000.0,61000.0,63000.0,66510
2026-01-26,65200.0,65200.0,61000.0,61000.0,246259
2026-01-27,69700.0,69700.0,69700.0,69700.0,142669
2026-01-28,74500.0,74500.0,74500.0,74500.0,56388
2026-01-29,79700.0,79700.0,75800.0,79700.0,805442
2026-01-30,80800.0,83800.0,79000.0,83000.0,250260
2026-02-02,86200.0,86200.0,79100.0,79100.0,392273
2026-02-03,86100.0,91500.0,84500.0,89500.0,167265
2026-02-04,86100.0,86100.0,84000.0,85100.0,165625
2026-02-05,91300.0,91500.0,86100.0,86100.0,184518
2026-02-06,90600.0,92600.0,87000.0,91000.0,159673
2026-02-09,95300.0,95500.0,90000.0,90600.0,113471
2026-02-10,96600.0,98500.0,95000.0,97500.0,81359
2026-02-11,103300.0,103300.0,96100.0,96100.0,246650
2026-02-12,110500.0,110500.0,107000.0,107800.0,100854
2026-02-13,110200.0,116000.0,109000.0,116000.0,177699
2026-02-23,115100.0,117000.0,110600.0,113300.0,129863
2026-02-24,107100.0,115000.0,107100.0,115000.0,401206
2026-02-25,114500.0,114500.0,103100.0,104000.0,225241
2026-02-26,122500.0,122500.0,117900.0,118000.0,255111
2026-02-27,121900.0,129900.0,121900.0,126000.0,105244
2026-03-02,117500.0,129000.0,116900.0,121400.0,300662
2026-03-03,124300.0,125500.0,112800.0,117000.0,243334
2026-03-04,121500.0,126000.0,120500.0,124300.0,183995
2026-03-05,130000.0,130000.0,122900.0,122900.0,142884
2026-03-06,139100.0,139100.0,135800.0,135800.0,170180
2026-03-09,129400.0,135600.0,129400.0,135100.0,139447
2026-03-10,132300.0,135000.0,125000.0,131500.0,327268
2026-03-11,141500.0,141500.0,132300.0,132300.0,140484
2026-03-12,151400.0,151400.0,143100.0,147900.0,331770
2026-03-13,160500.0,161900.0,151400.0,155500.0,399951
2026-03-16,149300.0,160900.0,149300.0,160900.0,147646
2026-03-17,150700.0,153000.0,140100.0,144000.0,299029
2026-03-18,140200.0,152800.0,140200.0,152800.0,158795
2026-03-19,130400.0,130400.0,130400.0,130400.0,67291
2026-03-20,128500.0,130000.0,121300.0,121300.0,752285
2026-03-23,119600.0,127300.0,119600.0,124900.0,162767
2026-03-24,127900.0,127900.0,111300.0,111300.0,549795
2026-03-25,125400.0,127800.0,122000.0,127800.0,173653
2026-03-26,133800.0,134100.0,123400.0,125500.0,314842
2026-03-27,124500.0,133800.0,124500.0,133800.0,436702
2026-03-30,115800.0,115800.0,115800.0,115800.0,33661
2026-03-31,108000.0,115700.0,107700.0,108000.0,495069
2026-04-01,115500.0,115500.0,107700.0,110900.0,229342
2026-04-02,119000.0,123500.0,116300.0,122000.0,183363
2026-04-03,115000.0,120500.0,110700.0,119100.0,283500
2026-04-06,107000.0,114600.0,107000.0,108500.0,78775
2026-04-07,99600.0,105000.0,99600.0,99600.0,180352
2026-04-08,97100.0,102500.0,92900.0,96800.0,485969
2026-04-09,99000.0,100000.0,95400.0,97200.0,113734
2026-04-10,105900.0,105900.0,100100.0,100100.0,131925
2026-04-13,113300.0,113300.0,105900.0,106500.0,164772
2026-04-14,121200.0,121200.0,117100.0,120200.0,341172
2026-04-15,124900.0,127600.0,121700.0,121700.0,125242
2026-04-16,130000.0,133600.0,122000.0,127000.0,186388
2026-04-17,125000.0,131100.0,125000.0,131000.0,123575
2026-04-20,133700.0,133700.0,133700.0,133700.0,26314
2026-04-21,143000.0,143000.0,135000.0,143000.0,386998
2026-04-22,133000.0,149700.0,133000.0,145600.0,386911
2026-04-23,124600.0,137700.0,123700.0,137700.0,223781
2026-04-24,129000.0,129900.0,123900.0,123900.0,127100
2026-04-28,120000.0,131000.0,120000.0,131000.0,134826
2026-04-29,113000.0,118000.0,111600.0,114200.0,295663
2026-05-04,114800.0,116400.0,110900.0,112400.0,77776
2026-05-05,115200.0,119500.0,114800.0,114800.0,65281
2026-05-06,112900.0,117900.0,109500.0,115200.0,87773
2026-05-07,116200.0,117500.0,113200.0,113200.0,82076
2026-05-08,114100.0,116200.0,114000.0,116200.0,58963
2026-05-11,111400.0,116400.0,111100.0,114000.0,94462
2026-05-12,111900.0,112200.0,110700.0,110700.0,40309
2026-05-13,111000.0,115300.0,110600.0,112100.0,97228
2026-05-14,110400.0,111800.0,109700.0,111000.0,35176
2026-05-15,105000.0,112000.0,102700.0,111000.0,209942
2026-05-18,104400.0,105600.0,99900.0,105600.0,110923
2026-05-19,111700.0,111700.0,102000.0,104400.0,209550
2026-05-20,116700.0,117900.0,112100.0,117400.0,203835
2026-05-21,113900.0,117500.0,113900.0,117500.0,137860
2026-05-22,109900.0,113900.0,107100.0,113900.0,76919
2026-05-25,107700.0,110700.0,107000.0,109000.0,51767
2026-05-26,115200.0,115200.0,107900.0,107900.0,261500
2026-05-27,120500.0,123200.0,117100.0,117500.0,337300
