Price,Close,High,Low,Open,Volume
Ticker,YEG.VN,YEG.VN,YEG.VN,YEG.VN,YEG.VN
Date,,,,,
2018-06-26,162818.71875,162818.71875,162818.71875,162818.71875,11237
2018-06-27,174216.03125,174216.03125,174216.03125,174216.03125,14476577
2018-06-28,186156.0625,186373.15625,185613.34375,185613.34375,344000
2018-06-29,173130.5625,174216.03125,173130.5625,174216.03125,3313
2018-07-02,161027.71875,161027.71875,161027.71875,161027.71875,19547
2018-07-03,149793.21875,161027.71875,149793.21875,161027.71875,18515
2018-07-04,139318.546875,139318.546875,139318.546875,139318.546875,18423
2018-07-05,130797.703125,130797.703125,129603.703125,129603.703125,227404
2018-07-06,122114.0390625,124827.6796875,121679.8515625,121679.8515625,29975
2018-07-09,130634.8828125,130634.8828125,118586.296875,122114.0390625,20800
2018-07-10,139210.0,139752.734375,125370.4140625,139752.734375,69351
2018-07-11,135682.265625,139210.0,133511.34375,139210.0,116446
2018-07-12,132425.890625,135682.265625,126184.5078125,135682.265625,34655
2018-07-13,133185.71875,135627.984375,126184.5078125,135410.90625,157959
2018-07-16,132968.625,133185.71875,127541.328125,133185.71875,7017
2018-07-17,129712.2421875,134054.078125,129712.2421875,132968.625,12656
2018-07-18,132914.34375,132914.34375,122114.0390625,123199.5,15714
2018-07-19,132914.34375,132914.34375,123742.2265625,123742.2265625,8196
2018-07-20,123742.2265625,124827.6796875,123633.6796875,124827.6796875,5930
2018-07-23,119943.125,123850.7734375,118694.84375,123742.2265625,1950
2018-07-24,127541.328125,127541.328125,112344.9140625,118911.9375,10462
2018-07-25,136442.078125,136442.078125,118640.5703125,119671.7578125,11403
2018-07-26,126944.328125,134596.8125,126944.328125,126944.328125,1083
2018-07-27,118097.84375,118423.484375,118097.84375,118097.84375,47443
2018-07-30,109848.359375,109902.6328125,109848.359375,109848.359375,54777
2018-07-31,109848.359375,109848.359375,108545.8125,108600.0859375,1581
2018-08-01,109034.265625,109631.2734375,103552.703125,108545.8125,2116
2018-08-02,103715.5234375,108491.5390625,101490.3359375,105832.1640625,223977
2018-08-03,108545.8125,108545.8125,105832.1640625,108545.8125,1139
2018-08-06,103661.25,108545.8125,103661.25,108545.8125,4069
2018-08-07,105289.4375,105832.1640625,104203.9765625,104203.9765625,421
2018-08-08,106917.625,106917.625,105289.4375,106537.7109375,4087
2018-08-09,106917.625,108382.9921875,105832.1640625,106374.8984375,163301
2018-08-10,105832.1640625,107894.5390625,105832.1640625,105832.1640625,5672
2018-08-13,106754.8046875,108382.9921875,105832.1640625,108382.9921875,660
2018-08-14,106429.171875,108003.0859375,104203.9765625,107677.4453125,11457
2018-08-15,106971.8984375,107568.8984375,105018.0703125,107568.8984375,3221
2018-08-16,106374.8984375,106971.8984375,103172.796875,106971.8984375,937
2018-08-17,105832.1640625,107948.8125,105560.8046875,105832.1640625,19307
2018-08-20,107351.8046875,107731.71875,100404.875,107406.078125,110900
2018-08-21,107460.3515625,107514.625,106374.8984375,107351.8046875,193336
2018-08-22,106103.53125,107188.9921875,105832.1640625,105832.1640625,1637
2018-08-23,98722.4140625,106103.53125,98722.4140625,106103.53125,25903
2018-08-24,105615.078125,105615.078125,97691.234375,102521.515625,125769
2018-08-27,98233.9609375,106374.8984375,98233.9609375,105832.1640625,48566
2018-08-28,105072.34375,105072.34375,100404.875,100404.875,96436
2018-08-29,107460.3515625,108545.8125,106103.53125,106374.8984375,48106
2018-08-30,106917.625,108003.0859375,102033.0625,107406.078125,13300
2018-08-31,106374.8984375,108545.8125,105777.890625,108545.8125,498773
2018-09-04,113810.28125,113810.28125,113810.28125,113810.28125,263370
2018-09-05,121734.125,121734.125,121734.125,121734.125,79596
2018-09-06,127541.328125,130254.9765625,121734.125,130254.9765625,123778
2018-09-07,118640.5703125,127541.328125,118640.5703125,118640.5703125,49967
2018-09-10,117772.203125,118640.5703125,110336.8203125,118314.9375,50336
2018-09-11,117446.5703125,117772.203125,113973.1015625,116089.7421875,80407
2018-09-12,118803.390625,119943.125,116958.109375,117446.5703125,40626
2018-09-13,119020.484375,119454.6640625,117772.203125,117772.203125,38783
2018-09-14,120160.2109375,120160.2109375,119020.484375,119671.7578125,95183
2018-09-17,126998.6015625,126998.6015625,119074.7578125,120431.578125,34637
2018-09-18,127541.328125,127541.328125,122439.671875,126998.6015625,7091
2018-09-19,124284.953125,128084.0546875,124284.953125,127541.328125,11383
2018-09-20,124284.953125,126347.328125,120485.8515625,124284.953125,59641
2018-09-21,124827.6796875,126455.8671875,122114.0390625,124284.953125,9652
2018-09-24,120214.484375,120540.125,118857.6640625,120540.125,6980
2018-09-25,119400.390625,122114.0390625,117229.4765625,120214.484375,5893
2018-09-26,121408.4921875,122114.0390625,116144.015625,122114.0390625,11199
2018-09-27,120485.8515625,125370.4140625,118314.9375,125370.4140625,33384
2018-09-28,120485.8515625,120485.8515625,119943.125,120485.8515625,15732
2018-10-01,122059.765625,122059.765625,119400.390625,120485.8515625,9596
2018-10-02,122059.765625,122114.0390625,120485.8515625,122059.765625,12950
2018-10-03,123905.046875,124827.6796875,122114.0390625,122656.765625,11549
2018-10-04,123199.5,125913.140625,123199.5,125913.140625,6962
2018-10-05,124881.953125,124881.953125,123199.5,123199.5,51533
2018-10-08,129712.2421875,130146.4296875,122928.1328125,126021.6875,365411
2018-10-09,132425.890625,132968.625,130254.9765625,130363.5234375,28244
2018-10-10,129766.515625,132425.890625,129766.515625,132425.890625,38432
2018-10-11,123742.2265625,129766.515625,123308.0390625,129766.515625,27377
2018-10-12,129223.7890625,129223.7890625,123742.2265625,123742.2265625,21721
2018-10-15,136279.265625,138233.09375,129820.7890625,134596.8125,40478
2018-10-16,136279.265625,136767.71875,135682.265625,136279.265625,4806
2018-10-17,145777.03125,145777.03125,138395.90625,141109.5625,28446
2018-10-18,151964.140625,155980.328125,151421.40625,151421.40625,53154
2018-10-19,151421.40625,151964.140625,150878.671875,151909.859375,5598
2018-10-22,152995.328125,153049.59375,149250.484375,151421.40625,55347
2018-10-23,155003.421875,157391.421875,153049.59375,153049.59375,57725
2018-10-24,151964.140625,156034.609375,150878.671875,155329.0625,29054
2018-10-25,150444.5,152072.6875,141326.640625,141652.28125,43739
2018-10-26,151529.953125,151529.953125,146048.390625,151421.40625,24245
2018-10-29,151529.953125,152235.5,141109.5625,151529.953125,36719
2018-10-30,151584.21875,151964.140625,151475.6875,151964.140625,16341
2018-10-31,151475.6875,156577.328125,151475.6875,156577.328125,12729
2018-11-01,151964.140625,153212.40625,141109.5625,141109.5625,3148
2018-11-02,155220.515625,155220.515625,151964.140625,151964.140625,37530
2018-11-05,153049.59375,157391.421875,153049.59375,157391.421875,155969
2018-11-06,153538.046875,153538.046875,151964.140625,153049.59375,101834
