Price,Close,High,Low,Open,Volume
Ticker,ACB.VN,ACB.VN,ACB.VN,ACB.VN,ACB.VN
Date,,,,,
2020-12-07,13984.677734375,14356.610916680982,13786.313776573854,13935.08652737362,68091679
2020-12-14,14083.8603515625,14307.019916083811,13835.904312978388,14034.269143845677,90479518
2020-12-21,13860.7001953125,14530.179772531357,13141.63027958489,14133.450973030478,119127635
2020-12-28,13935.0859375,14034.268347304362,13687.13078319344,14034.268347304362,47152820
2021-01-04,14976.5,15174.863097347848,14034.269631268999,14158.24678466251,13029049
2021-01-11,15001.294921875,15323.636028148117,14480.588116670193,15125.271199420808,8209919
2021-01-18,14207.837890625,15125.27177775026,13042.447958109762,15050.886704542092,8228356
2021-01-25,13290.40234375,14207.837046577466,12149.80808353325,14034.268695320101,8075782
2021-02-01,14133.4501953125,14207.837004288976,13042.447144474954,13290.402304192181,5568279
2021-02-08,14158.24609375,14257.42850778831,13488.767409604534,14133.450490240422,2104176
2021-02-15,15422.818359375,15447.613962832253,14158.246063872606,14158.246063872606,7832199
2021-02-22,16389.84375,16538.617373798985,15373.227468191179,15621.183507856153,13172727
2021-03-01,16092.298828125,16588.20918508357,15670.775285771542,16563.4135802152,8460098
2021-03-08,16340.251953125,16464.22996848902,15422.81812024869,16117.093265878484,8865671
2021-03-15,16761.779296875,16984.93801196696,16166.686489281541,16365.049598206733,8589527
2021-03-22,16092.298828125,16910.550307963545,15546.797261429689,16885.754703095176,8130552
2021-03-29,17183.30078125,17356.870003406686,16067.502119631623,16315.456410875302,7985184
2021-04-05,17059.322265625,17505.641369114484,16935.344253431063,17505.641369114484,5658142
2021-04-12,16414.638671875,17604.82413199251,16216.275588794559,17158.505019550623,7980440
2021-04-19,16563.4140625,17059.32443389823,15918.730057559633,16613.005273680712,4670076
2021-04-26,17183.30078125,17183.30078125,16166.684532292586,16563.41244252771,6438849
2021-05-03,17456.05078125,17778.393624347973,16613.003749349708,17183.300885191227,8397604
2021-05-10,18075.939453125,18323.89549079586,17456.05109935662,17456.05109935662,9002755
2021-05-17,18596.64453125,18993.374173164386,17803.188728238612,18348.6902454622,8393740
2021-05-24,19290.921875,19414.89990230657,18472.67037559442,18770.215900721298,8130444
2021-05-31,22464.748046875,22960.658357742555,19340.510825878107,19588.466851516227,11671329
2021-06-07,21479.125,22266.383205139748,19836.421117837195,22266.383205139748,89657197
2021-06-14,21696.087890625,22439.95428825596,20766.25532868851,21479.126785465603,76105992
2021-06-21,22532.9375,22687.90872434294,21479.126908996208,21634.099873747986,71864074
2021-06-28,22377.962890625,22904.868147403056,21758.074557993015,22749.896934449418,59000317
2021-07-05,21820.064453125,22687.907075265484,21076.19810528407,22377.96290869916,16265887
2021-07-12,20301.33984375,21820.06583390801,19433.495426283236,21820.06583390801,16915924
2021-07-19,20456.310546875,21386.143081788698,19805.428990721557,20394.3224073776,59450398
2021-07-26,22408.95703125,22408.95703125,19867.415654143224,20208.354747070363,87405031
2021-08-02,22037.025390625,22408.957691756517,21696.086287648643,22408.957691756517,44813056
2021-08-09,21913.048828125,22842.88138294723,21262.165517626796,21944.04376874172,90569399
2021-08-16,20828.244140625,22315.976983789642,20487.306741890137,21913.04970135107,71122035
2021-08-23,19681.451171875,20828.24307691998,19092.557749218042,20828.24307691998,38761180
2021-08-30,19836.421875,20301.33900527218,19588.467580542423,19712.443857566836,32018155
2021-09-06,20022.388671875,20301.33965513121,19805.429309932893,19960.400531378513,32889855
2021-09-13,19588.46875,20022.389226308576,19309.517759019447,20022.389226308576,32657411
2021-09-20,19836.421875,20022.38803094537,19526.477701621465,19836.421875,976736112
2021-09-27,19526.478515625,20084.378747127143,19278.52421083091,19960.400724525687,31295092
2021-10-04,19340.513671875,19526.47984826456,18968.581319095883,19402.50181720187,820775268
2021-10-11,19960.400390625,20394.32259226697,19340.51202839613,19340.51202839613,14477636
2021-10-18,19588.46875,20239.35033466729,19495.485666476103,19960.401084095596,22167830
2021-10-25,20456.310546875,20456.310546875,19526.478011961302,19588.467891867484,26228912
2021-11-01,20766.25390625,21138.186209384596,20177.36051281732,20456.309740168268,40586517
2021-11-08,20673.271484375,20952.22072054929,20146.366211328834,20766.254563099763,37815016
2021-11-15,20146.3671875,20828.24371132413,20146.3671875,20704.267427289815,28675967
2021-11-22,21448.130859375,22037.026006502932,20456.310201699667,20766.254374774304,58332023
2021-11-29,20177.361328125,21386.143102564456,20177.361328125,20952.22090443477,33669986
2021-12-06,20704.267578125,20828.243863062507,19619.462031855328,20022.389308924387,27475798
2021-12-13,20580.2890625,20952.22138926981,20456.311040107124,20797.25016658533,17211185
2021-12-20,20456.310546875,20642.276705775985,19836.42219026587,20580.28856627858,25313798
2021-12-27,21386.14453125,21417.139473303796,20394.323789617538,20642.278104821205,24761655
2022-01-03,20642.275390625,21572.107866297647,20518.299119528918,21386.14171924485,28012560
2022-01-10,20487.3046875,21231.17103449019,20177.360521288145,20456.3097487562,40724805
2022-01-17,20735.259765625,21076.19888356036,20022.388330239268,20518.300407384802,30879224
2022-01-24,21417.138671875,22284.98135322653,20766.255355554727,20766.255355554727,60784398
2022-01-31,21417.138671875,21417.138671875,21417.138671875,21417.138671875,0
2022-02-07,22130.0078125,22532.935040298595,21479.124564329046,21696.085647052696,92526986
2022-02-14,20983.216796875,22068.020601031167,20890.23371311355,21944.044316288473,42383537
2022-02-21,21293.16015625,21758.075556862972,20735.25993510564,21014.210915882217,51230343
2022-02-28,21262.1640625,21293.159000995507,20394.321448304083,21262.1640625,55260086
2022-03-07,20270.345703125,20952.22224347205,20084.37953215843,20766.256072505483,30191810
2022-03-14,20332.33203125,20580.288064005665,20115.370937690976,20146.36587688762,20105735
2022-03-21,20270.345703125,20704.267928986257,20270.345703125,20394.32373057234,21415586
