Price,Close,High,Low,Open,Volume
Ticker,ADG.VN,ADG.VN,ADG.VN,ADG.VN,ADG.VN
Date,,,,,
2021-02-22,51001.234375,53593.098358255236,48660.191702771845,53425.88157623863,35923
2021-03-01,50834.01953125,51837.320261604815,50081.540121485916,51837.320261604815,33675
2021-03-08,50332.3671875,51001.23822809685,48492.97858435537,51001.23822809685,50135
2021-03-15,50081.5390625,50415.97263221326,49914.32227764337,50332.36423978495,49248
2021-03-22,49663.5,50248.758781168995,49412.674808070435,50081.54198654928,52750
2021-03-29,46569.98046875,49663.4988196899,46319.15528278158,49663.4988196899,54878
2021-04-05,48074.93359375,49161.84655305487,46486.3702818419,46569.97867394244,59099
2021-04-12,52088.14453125,52255.36131671168,48074.9339561739,48074.9339561739,74649
2021-04-19,51837.3203125,54094.75082001272,51252.061552551735,52088.145495334975,57491
2021-04-26,51419.27734375,51837.31930703303,51001.23538046697,51837.31930703303,37625
2021-05-03,46820.8046875,51419.27792125375,46820.8046875,51419.27792125375,39682
2021-05-10,46569.98046875,47656.893469944516,45733.896515521934,46820.80565471842,52783
2021-05-17,44730.58984375,46569.97831789688,44312.547886443404,46486.36992643556,41125
2021-05-24,42222.3359375,44981.41682878344,41762.48783495343,44730.59164430295,46979
2021-05-31,41637.07421875,42222.33685728538,38877.993267361824,42222.33685728538,53423
2021-06-07,40968.20703125,41720.682600820735,40968.20703125,41720.682600820735,287818
2021-06-14,39964.90234375,41219.0321529592,39546.8603613463,41010.0092307583,420614
2021-06-21,39881.29296875,40968.20595832944,39714.076179891315,40048.509757608685,458453
2021-06-28,40048.5078125,40550.16201670929,39630.465860657096,40132.11620286859,450176
2021-07-05,39296.03515625,40048.51072427691,38877.99317401283,40048.51072427691,90579
2021-07-12,38167.3203125,39296.03560853043,37791.08059315715,39296.03560853043,183169
2021-07-19,37958.296875,38459.947252678976,37205.821308481536,38459.947252678976,519824
2021-07-26,39881.29296875,39964.90136317934,37707.47085158911,37958.29603487714,692706
2021-08-02,40282.6171875,40633.773223789554,39379.64341932741,39881.29379631304,267330
2021-08-09,39162.7890625,40930.234375,38883.72265625,40837.2109375,361629
2021-08-16,38976.74609375,39534.8828125,38790.69921875,39069.765625,390331
2021-08-23,38418.60546875,39069.765625,38139.53515625,38976.74609375,412369
2021-08-30,41395.34765625,41395.34765625,38325.58203125,38418.60546875,534489
2021-09-06,40930.234375,43906.9765625,39813.953125,42232.55859375,807001
2021-09-13,40558.140625,41395.34765625,39255.8125,41023.25390625,741212
2021-09-20,39906.9765625,40837.2109375,39069.765625,40558.140625,12728967
2021-09-27,39069.765625,40186.046875,38697.67578125,39906.9765625,561042
2021-10-04,39906.9765625,40000.0,38232.55859375,39255.8125,1467636654
2021-10-11,43255.8125,43813.953125,39906.9765625,39906.9765625,485469
2021-10-18,42976.74609375,43627.90625,42418.60546875,43255.8125,506324
2021-10-25,42697.67578125,43162.7890625,42604.65234375,42976.74609375,280144
2021-11-01,43441.859375,45209.30078125,42697.67578125,42697.67578125,639517
2021-11-08,42976.74609375,43906.9765625,42511.62890625,43441.859375,618338
2021-11-15,42883.72265625,43255.8125,42790.69921875,42976.74609375,598559
2021-11-22,45767.44140625,46046.51171875,42325.58203125,42883.72265625,1185832
2021-11-29,44186.046875,47255.8125,43581.39453125,45674.41796875,963736
