Price,Close,High,Low,Open,Volume
Ticker,ADS.VN,ADS.VN,ADS.VN,ADS.VN,ADS.VN
Date,,,,,
2017-01-02,3937.14599609375,3956.074753841968,3851.967305732539,3908.753219224308,1137606
2017-01-09,3927.681396484375,3956.0745315110103,3880.360224279044,3937.1457748265866,1773563
2017-01-16,4211.60986328125,4211.60986328125,3880.359887803142,3937.1454334266655,1745986
2017-01-23,4192.681640625,4296.788718389965,4088.5742031071873,4249.467188586673,1062348
2017-01-30,3993.931396484375,4192.681528542772,3984.4670188261566,4192.681528542772,237922
2017-02-06,4069.646240234375,4069.6462402343755,3757.3246139413036,3993.9319283907753,1774887
2017-02-13,4240.00341796875,4325.1821046370205,4041.253268993742,4088.574441806898,2880403
2017-02-20,4240.00341796875,4315.717726173242,4192.681885402726,4287.324590781906,2799675
2017-02-27,4296.78955078125,4296.78955078125,4202.146832592946,4240.003991818851,2551806
2017-03-06,4495.53955078125,4495.53955078125,4287.325003308071,4287.325003308071,2562259
2017-03-13,4277.86083984375,4505.003778675241,4183.217768787517,4505.003778675241,2226560
2017-03-20,4287.32421875,4334.645747209706,4202.145899225934,4277.860200860328,2225587
2017-03-27,4221.0751953125,4325.182652085451,4192.682416080293,4306.253892762036,2355845
2017-04-03,4107.50341796875,4221.074886337262,3908.753258385631,4211.610507368331,904782
2017-04-10,3975.0029296875,4154.824679234387,3851.9670904588047,4107.503147261371,2109924
2017-04-17,4183.2177734375,4296.789242979489,3833.038985744811,3975.003232734074,2844806
2017-04-24,3937.14599609375,4230.539222920936,3880.3604423548654,4183.217688303275,2060569
2017-05-01,4272.1162109375,4396.84987127806,4157.777483252929,4324.08850356117,1095006
2017-05-08,4168.17236328125,4303.300177161942,4012.255472599185,4272.116561959882,2379920
2017-05-15,4178.56689453125,4386.45568664217,4105.80552096037,4178.56689453125,3076560
2017-05-22,4053.833251953125,4199.355604983347,4053.833251953125,4178.566923184409,2842919
2017-05-29,3897.917236328125,4147.383819339849,3835.550393020463,4053.8337519330867,2405435
2017-06-05,4033.044189453125,4053.832869289706,3866.7331703229706,3897.9163876325306,3226865
2017-06-12,4033.044189453125,4053.832869289706,3897.9163876325306,4033.044189453125,2972323
2017-06-19,4147.3837890625,4230.53931612601,4012.255958806931,4033.0450381275386,2928551
2017-06-26,4053.833251953125,4147.38330782188,4012.255493245835,4126.594626022943,1515207
2017-07-03,4012.25537109375,4105.805424114398,3877.127560631636,4053.8331285352156,1409275
2017-07-10,4064.227294921875,4209.749630210915,3793.971698717673,4001.8608620189766,1890685
2017-07-17,3710.81640625,4095.410748445551,3710.81640625,4053.8329924003397,1520131
2017-07-24,4074.622314453125,4074.622314453125,3710.8166307187385,3710.8166307187385,1477217
2017-07-31,3949.88916015625,4105.80566077136,3908.3114003182595,4064.227900933369,1150412
