Price,Close,High,Low,Open,Volume
Ticker,AFX.VN,AFX.VN,AFX.VN,AFX.VN,AFX.VN
Date,,,,,
2025-12-08,11950.0,14100.0,11700.0,13550.0,831788
2025-12-15,12250.0,12650.0,11650.0,11650.0,637007
2025-12-22,12150.0,12300.0,11900.0,12250.0,777916
2025-12-29,11800.0,12200.0,11700.0,12200.0,819742
2026-01-05,11600.0,12000.0,11350.0,11900.0,917511
2026-01-12,11050.0,11600.0,10900.0,11600.0,846367
2026-01-19,11100.0,11300.0,10600.0,11200.0,778662
2026-01-26,10650.0,11200.0,10300.0,11100.0,623022
2026-02-02,10500.0,10900.0,10350.0,10800.0,549424
2026-02-09,10450.0,10600.0,10250.0,10550.0,405565
2026-02-23,10700.0,10800.0,10400.0,10800.0,1627400
2026-03-02,10700.0,10900.0,10050.0,10600.0,613329
2026-03-09,10400.0,10700.0,10100.0,10700.0,390833
2026-03-16,10100.0,10500.0,10050.0,10300.0,380596
2026-03-23,10350.0,10400.0,10000.0,10100.0,396750
2026-03-30,10650.0,10800.0,10200.0,10200.0,320447
2026-04-06,10850.0,11000.0,10550.0,10600.0,624524
2026-04-13,10700.0,10850.0,10500.0,10850.0,2102251
2026-04-20,10650.0,11100.0,10350.0,11000.0,466005
2026-04-27,10700.0,10900.0,10650.0,10650.0,86310
2026-05-04,10600.0,11000.0,10450.0,10700.0,222936
2026-05-11,10350.0,10550.0,9540.0,10500.0,405095
2026-05-18,10150.0,10450.0,9700.0,10400.0,249108
2026-05-25,10400.0,10550.0,10150.0,10300.0,230733
