Price,Close,High,Low,Open,Volume
Ticker,ANT.VN,ANT.VN,ANT.VN,ANT.VN,ANT.VN
Date,,,,,
2026-01-19,32780.08203125,35238.58827962915,32124.48100525156,34337.13854950081,255917
2026-01-26,33271.78125,33271.78125,30731.32622888417,33107.8834043898,257849
2026-02-02,31509.853515625,35402.48893454342,31223.028435326487,35402.48893454342,232156
2026-02-09,31304.98046875,32780.08230959499,30977.17899261332,31509.854710715903,124775
2026-02-23,32452.28125,32780.080790235115,31182.05370999608,31468.878787878788,245825
2026-03-02,30772.302734375,32780.08220779537,30772.302734375,31550.83099769336,382722
2026-03-09,29502.07421875,30690.352848352304,27084.542496699778,28641.597054036458,200151
2026-03-16,29379.1484375,31182.0535843608,27453.317983369325,31018.151894195686,236208
2026-03-23,29092.32421875,29256.223993040847,27125.519244427927,27904.04557319442,178663
2026-03-30,29665.974609375,31100.103887368437,28682.572114912757,29092.324434744023,50553
2026-04-06,29625.0,30321.577403721472,29174.273218685164,30239.626556016596,24485
2026-04-13,29911.82421875,30280.600141669005,28682.571142353318,29215.2487559305,69982
2026-04-20,30250.0,30833.333984375,29583.333984375,30416.666015625,49830
2026-04-27,29916.666015625,30583.333984375,29166.666015625,29750.0,62784
2026-05-04,27916.666015625,29791.666015625,27083.333984375,28458.333984375,94992
2026-05-11,28041.666015625,29458.333984375,27291.666015625,28333.333984375,29262
2026-05-18,26950.0,28800.0,26100.0,26100.0,45361
2026-05-25,26000.0,27450.0,25800.0,26950.0,62090
