Price,Close,High,Low,Open,Volume
Ticker,APH.VN,APH.VN,APH.VN,APH.VN,APH.VN
Date,,,,,
2023-07-17,9080.0,9310.0,8850.0,9220.0,6320800
2023-07-24,9680.0,9940.0,9100.0,9120.0,13205300
2023-07-31,9550.0,9660.0,9260.0,9640.0,11951600
2023-08-07,10200.0,10850.0,9500.0,9590.0,19345900
2023-08-14,9130.0,10600.0,9130.0,10250.0,16372000
2023-08-21,8950.0,9180.0,8590.0,9050.0,6082300
2023-08-28,9140.0,9250.0,8940.0,9020.0,4052700
2023-09-04,9320.0,9530.0,9140.0,9140.0,5416000
2023-09-11,8800.0,9460.0,8690.0,9400.0,7133000
2023-09-18,8950.0,9370.0,8700.0,8800.0,5876300
2023-09-25,8000.0,9030.0,7730.0,8930.0,5124600
2023-10-02,7760.0,8140.0,7400.0,8000.0,3139000
2023-10-09,7890.0,8100.0,7770.0,7870.0,2395300
2023-10-16,7550.0,7980.0,7300.0,7890.0,2024500
2023-10-23,7110.0,7640.0,6810.0,7570.0,2190700
2023-10-30,7240.0,7390.0,6740.0,7010.0,2135900
2023-11-06,7420.0,7720.0,7150.0,7250.0,2696700
2023-11-13,7560.0,7860.0,7410.0,7500.0,2457300
2023-11-20,7450.0,7790.0,7300.0,7490.0,2587000
2023-11-27,7460.0,7600.0,7250.0,7450.0,1442600
2023-12-04,7790.0,7980.0,7500.0,7500.0,3048600
2023-12-11,7480.0,7810.0,7450.0,7790.0,1946000
2023-12-18,7500.0,7570.0,7300.0,7490.0,1529300
2023-12-25,7680.0,7770.0,7460.0,7500.0,2082500
2024-01-01,7700.0,7860.0,7650.0,7680.0,2149400
2024-01-08,7600.0,7800.0,7590.0,7700.0,2196200
2024-01-15,7580.0,7670.0,7490.0,7600.0,1613800
2024-01-22,8000.0,8080.0,7580.0,7580.0,1457000
2024-01-29,8400.0,8500.0,7930.0,8060.0,3603200
2024-02-05,8400.0,8400.0,8190.0,8250.0,1756000
2024-02-12,8530.0,8530.0,8390.0,8400.0,1220800
2024-02-19,8400.0,8900.0,8300.0,8600.0,4580200
2024-02-26,8570.0,8700.0,8350.0,8490.0,3794400
2024-03-04,8280.0,8700.0,8280.0,8700.0,4123900
2024-03-11,8070.0,8380.0,7960.0,8380.0,4568900
2024-03-18,8060.0,8210.0,7850.0,8070.0,3446900
2024-03-25,8190.0,8500.0,7930.0,8060.0,3161500
2024-04-01,8450.0,8950.0,8120.0,8170.0,8480300
2024-04-08,7990.0,8390.0,7950.0,8350.0,3598400
2024-04-15,7540.0,7870.0,6990.0,7440.0,6830300
2024-04-22,8100.0,8100.0,7470.0,7640.0,4015700
2024-04-29,8100.0,8400.0,8070.0,8100.0,1267700
2024-05-06,9070.0,9070.0,8070.0,8100.0,10681100
2024-05-13,9900.0,10150.0,9460.0,9670.0,20747100
2024-05-20,9650.0,10400.0,9500.0,10000.0,18415200
2024-05-27,10750.0,11100.0,9620.0,9660.0,25647700
2024-06-03,10550.0,11000.0,10200.0,10750.0,21591500
2024-06-10,9210.0,10800.0,9210.0,10700.0,17469400
2024-06-17,9600.0,9690.0,9100.0,9200.0,9277700
2024-06-24,9000.0,9720.0,9000.0,9560.0,7551900
2024-07-01,9610.0,9690.0,8890.0,9000.0,6614600
