Price,Close,High,Low,Open,Volume
Ticker,ASP.VN,ASP.VN,ASP.VN,ASP.VN,ASP.VN
Date,,,,,
2017-01-02,2616.108154296875,2690.2761689805493,2454.2870313506764,2589.1379671391755,11090
2017-01-09,2595.880126953125,2622.8503100903004,2494.7419401887173,2609.3652185217124,4200
2017-01-16,2467.77197265625,2562.1676218835382,2467.77197265625,2562.1676218835382,48220
2017-01-23,2595.880126953125,2636.335401658888,2299.208112444196,2636.335401658888,16150
2017-01-30,2629.593017578125,2663.3057485727163,2595.8802865835337,2595.8802865835337,2390
2017-02-06,2582.395263671875,2683.53345937704,2440.801789684644,2683.53345937704,56170
2017-02-13,2697.018798828125,2899.295208740234,2447.5445599365235,2454.287106933594,166490
2017-02-20,2697.018798828125,2757.7017218017577,2629.593328857422,2723.988986816406,46990
2017-02-27,2697.018798828125,2825.1271917724607,2629.593328857422,2697.018798828125,118320
2017-03-06,2663.3056640625,2750.9587618670885,2609.3652961827534,2750.9587618670885,54440
2017-03-13,2730.7314453125,2757.701632426698,2595.8805097415125,2636.335790412809,89200
2017-03-20,2683.533447265625,2737.473818064934,2629.593076466316,2636.3356228162297,47580
2017-03-27,2629.593017578125,2697.0184795673076,2541.9399169921876,2629.593017578125,82010
2017-04-03,2663.3056640625,2690.2758480023736,2562.1674742879745,2562.1674742879745,116150
2017-04-10,2697.018798828125,2993.6908666992185,2602.6231408691406,2670.0486108398436,396420
2017-04-17,3128.541259765625,3243.164538679452,2697.01832738416,2825.1266979349075,334030
2017-04-24,3519.609130859375,3694.915332779574,3135.283995880478,3135.283995880478,271170
2017-05-01,3168.996826171875,3533.094333859707,3101.5713617852393,3519.60924098238,204350
2017-05-08,3195.966796875,3263.3922567246836,2953.2351414161394,3101.5711530854433,28740
2017-05-15,3101.5712890625,3303.84767747962,2825.1268915591036,3168.996751868207,126390
2017-05-22,3101.5712890625,3128.5414741847826,2986.948002292799,3094.8287427819296,201520
2017-05-29,3088.08642578125,3115.056612905977,3007.1758644070687,3067.8587854377047,44610
2017-06-05,3094.828857421875,3101.571403952206,3000.4332059972426,3088.0863108915437,16320
2017-06-12,3034.146240234375,3101.571712239583,3034.146240234375,3047.6313346354164,7330
2017-06-19,3229.679443359375,3303.8474472778576,3000.4328857931564,3034.145614847012,78030
2017-06-26,3168.996826171875,3303.8477549451463,3034.1458973986037,3202.7095583651926,29110
2017-07-03,3533.09423828125,3627.489885868917,3168.996740443106,3168.996740443106,281790
2017-07-10,3344.302978515625,3431.9560807751072,3175.739320324313,3371.273163826235,79630
2017-07-17,3243.164794921875,3378.0157219456537,3236.422248570686,3344.302990189709,31000
2017-07-24,3769.083251953125,3769.083251953125,3189.2242901141826,3243.16465865734,262130
2017-07-31,4052.2705078125,4308.487278689164,3849.994109751976,4032.0428680064474,1352670
2017-08-07,3917.419677734375,4112.953534282218,3870.221850291792,3870.221850291792,327980
2017-08-14,4220.83349609375,4301.744042344748,3870.22112900609,3870.22112900609,578010
2017-08-21,4160.15087890625,4483.793086665569,4106.210510946363,4308.486890795938,15487230
2017-08-28,4382.65478515625,4450.080243389423,4133.180589693509,4146.665681340144,296650
2017-09-04,4416.36767578125,4517.505866829675,4180.3785633349235,4382.654945431775,367200
2017-09-11,4719.7822265625,4780.465140904018,4416.367654854911,4416.367654854911,713250
2017-09-18,4584.93212890625,4854.634018841912,4477.0513729319855,4719.78307387408,447850
2017-09-25,4517.50634765625,4713.040204495102,4416.36814584305,4713.040204495102,241980
2017-10-02,4483.79296875,4557.960972744361,4315.229323308271,4557.960972744361,92660
2017-10-09,4652.35693359375,4820.920590608017,4355.684897248641,4483.793276579484,230140
2017-10-16,4423.1103515625,4719.782387338033,4315.229611280488,4652.356924661775,231630
2017-10-23,4241.06201171875,4423.110778517488,3978.10268189835,4423.110778517488,117300
2017-10-30,4172.9462890625,4513.73690266927,4033.848079427083,4451.142708333333,310930
2017-11-06,4131.21630859375,4451.142150673401,4103.396670152041,4444.187241062974,90480
2017-11-13,4152.0810546875,4242.494879998953,3964.298494425251,4172.945783605527,165870
2017-11-20,4388.5478515625,4478.961674177893,4172.945659171949,4172.945659171949,168980
2017-11-27,4506.7822265625,4520.692048249421,4284.225079571759,4381.593831380208,400870
