Price,Close,High,Low,Open,Volume
Ticker,AST.VN,AST.VN,AST.VN,AST.VN,AST.VN
Date,,,,,
2018-01-01,37463.33984375,37463.33984375,35061.011292244366,35061.011292244366,25875
2018-01-08,42852.34765625,45839.02643229166,40060.45227864583,40060.45227864583,1231811
2018-01-15,42138.14453125,43501.62840668336,40125.382619895994,42852.35037076271,717811
2018-01-22,43112.0625,43501.629329819276,42138.14542545181,42138.14542545181,552700
2018-01-29,45254.68359375,45449.46702385222,40774.664701398855,40904.520321467004,1918011
2018-02-05,42592.64453125,44994.973567311354,41423.94391911204,44994.973567311354,1359749
2018-02-12,44085.9765625,45384.532573177465,43112.0595544919,43176.987355025776,322475
2018-02-19,46748.015625,46748.015625,44085.975846354166,44085.975846354166,641937
2018-02-26,49864.5546875,49994.41029866536,46098.74196370442,46748.02001953125,1380936
2018-03-05,55123.703125,55383.41432935807,50189.1902421967,50643.68484982332,1105098
2018-03-12,53240.796875,55837.90891768293,50319.04582698171,55643.12551448171,1211711
2018-03-19,49864.5546875,53825.15082804362,47397.29807535807,53825.15082804362,1014087
2018-03-26,51942.2421875,53565.437255859375,49799.62469726562,49864.5525,822362
2018-04-02,52851.234375,53175.87340678747,51357.89482877764,51942.245085995084,1010774
2018-04-09,50838.46484375,53240.793322956575,49539.90890904374,53175.86552622126,1213899
2018-04-16,53565.4375,54799.06575757576,50968.32537878788,51422.82,1164823
2018-04-23,53240.796875,54344.56949314025,51942.24085365854,53890.074885670736,721912
2018-04-30,52851.234375,53890.0792767199,52007.17289235257,53240.80121314496,359524
2018-05-07,45449.4609375,52916.15809151786,44150.904910714286,52851.230290178566,659223
2018-05-14,45449.4609375,46423.377957589284,44800.18292410714,45449.4609375,441799
2018-05-21,42332.9296875,45579.320000958585,41748.57943107745,44475.54729438267,423224
2018-05-28,44994.96875,44994.96875,38307.40485209235,41553.795093795095,588398
2018-06-04,43631.484375,45384.53508649554,43436.70096261161,45384.53508649554,584086
2018-06-11,43501.62890625,44280.76255830224,42268.000623833956,44280.76255830224,492162
2018-06-18,41423.9375,43501.62715517241,39605.95905172414,43501.62715517241,407749
2018-06-25,42096.19140625,42832.37281399046,41560.78674607512,42832.37281399046,373000
2018-07-02,41761.5625,42296.9671474359,40824.60436698718,42296.9671474359,452299
2018-07-09,40958.453125,42497.741396037585,38147.57889093138,41761.56004901961,456474
2018-07-16,40690.75,41828.48478618421,40489.97327302631,41360.00575657895,346224
2018-07-23,42163.1171875,42296.968353174605,40556.90319940476,40824.605530753965,299737
2018-07-30,41962.3359375,42296.96381578947,41426.93133223684,42163.11266447369,352586
2018-08-06,43033.14453125,45308.61407100505,41159.22843968701,41493.856313180404,813849
2018-08-13,42363.890625,43367.77428909953,41694.63484893365,43100.07197867299,500737
2018-08-20,41493.86328125,42765.4494140625,41092.309765625,42765.4494140625,444861
2018-08-27,41828.484375,42163.112250000006,41293.079775000006,41493.8565,391486
2018-09-03,41627.7109375,42163.115579782956,41159.23187550241,41828.487678356105,265249
2018-09-10,41092.30859375,41828.490018068,41025.383009721096,41761.564434039086,347623
2018-09-17,41828.484375,41895.40995,40489.972875,41092.30305,338336
2018-09-24,43501.625,43903.17846153846,41761.56,41828.48557692308,469811
2018-10-01,44505.5078125,45509.39144736842,43836.25205592105,44505.5078125,752824
2018-10-08,44505.5078125,44706.28453947369,43367.773026315794,44706.28453947369,688886
2018-10-15,46513.27734375,46780.97965939748,44438.584397482016,44505.509976393885,680299
2018-10-22,45442.46875,47450.23614690721,43970.105992268036,46647.129188144325,645561
2018-10-29,44037.03125,45442.468417553195,43166.998717705166,45442.468417553195,666699
2018-11-05,43903.1875,44973.99695121951,43367.782774390245,44037.03868140244,805411
2018-11-12,42497.7421875,44237.80722194882,42497.7421875,43903.179330708655,657786
2018-11-19,43836.2578125,43970.10898139313,42296.96937022901,42497.7461235687,1037612
2018-11-26,46647.12890625,46981.756803712335,43635.47782908895,43836.25456756636,1156774
2018-12-03,46446.35546875,46780.983389994595,45509.39728926513,46780.983389994595,646460
2018-12-10,46981.765625,47517.17036146724,46111.732928240745,46245.58411235755,582937
2018-12-17,47249.453125,47717.93212199009,46379.42070201841,46981.75084100567,968098
2018-12-24,46312.49609375,47316.37967959719,45643.24036985188,47316.37967959719,717236
2018-12-31,46178.6484375,46513.276324728264,45509.39266304348,46312.4995923913,274812
2019-01-07,47717.94140625,48052.56932634993,46178.65297379032,46178.65297379032,525148
2019-01-14,41895.41015625,47784.86078524361,41627.70785493211,47784.86078524361,539687
2019-01-21,42163.1171875,42832.37301587302,41828.48927331349,41895.41485615079,409649
2019-01-28,43501.625,43836.25288461538,41895.41115384615,42163.11346153846,403949
2019-02-04,43501.625,43501.625,43501.625,43501.625,0
2019-02-11,45241.69140625,45844.021617279956,43434.70077316013,43836.254247180106,423074
