Price,Close,High,Low,Open,Volume
Ticker,BAF.VN,BAF.VN,BAF.VN,BAF.VN,BAF.VN
Date,,,,,
2021-11-29,11907.71484375,11907.71484375,11907.71484375,11907.71484375,201
2021-12-06,16621.185546875,16621.185546875,12726.37109375,12726.37109375,83037
2021-12-13,21334.65625,23244.8515625,17762.341796875,17762.341796875,9421453
2021-12-20,21210.6171875,21830.810546875,20590.423828125,21235.42578125,12995539
2021-12-27,20391.962890625,22922.3515625,20391.962890625,21334.65625,10839356
2022-01-03,26643.513671875,26643.513671875,19846.19140625,20391.962890625,45027881
2022-01-10,29818.904296875,30364.673828125,26296.205078125,26941.205078125,20723368
2022-01-17,28925.82421875,30761.59765625,28231.208984375,29818.904296875,20037897
2022-01-24,26693.12890625,28727.36328125,25055.818359375,28727.36328125,14547474
2022-01-31,26693.12890625,26693.12890625,26693.12890625,26693.12890625,0
2022-02-07,27288.513671875,27983.130859375,26792.359375,26841.974609375,11203155
2022-02-14,28776.978515625,29769.287109375,26792.359375,26792.359375,12990903
2022-02-21,28727.36328125,28925.82421875,26990.8203125,28776.978515625,13569150
2022-02-28,31108.90625,31406.599609375,27784.66796875,28826.59375,15050342
2022-03-07,30662.3671875,31505.830078125,28231.208984375,30860.828125,17823669
2022-03-14,31605.060546875,33043.91015625,30612.751953125,31009.67578125,16520849
2022-03-21,31208.13671875,31753.90625,30315.05859375,31605.060546875,9145531
2022-03-28,31009.67578125,31208.13671875,29769.287109375,31009.67578125,9888041
2022-04-04,29670.056640625,31505.830078125,29670.056640625,30761.59765625,9206802
2022-04-11,30215.828125,31009.67578125,29025.056640625,29670.056640625,9367035
2022-04-18,28280.82421875,30463.904296875,26345.8203125,30265.443359375,10355233
2022-04-25,28826.59375,29967.75,24609.27734375,28280.82421875,10461853
2022-05-02,27387.744140625,29223.517578125,27189.283203125,28826.59375,4611664
2022-05-09,32000.0,33500.0,28000.0,30000.0,6507200
2022-05-16,34600.0,35400.0,32000.0,32000.0,7143200
2022-05-23,37650.0,38700.0,34000.0,34600.0,8905100
2022-05-30,33500.0,38100.0,33000.0,37550.0,6993400
2022-06-06,32100.0,34250.0,31200.0,33300.0,5813300
2022-06-13,30600.0,31700.0,29000.0,31150.0,7276500
2022-06-20,30600.0,31700.0,29000.0,30550.0,8716800
2022-06-27,34900.0,35300.0,30400.0,30600.0,13790600
2022-07-04,35450.0,36100.0,33700.0,35350.0,13873400
2022-07-11,36850.0,38200.0,35200.0,35600.0,10707500
2022-07-18,34350.0,38400.0,32700.0,37000.0,16211800
2022-07-25,33400.0,35000.0,32400.0,34450.0,11921900
2022-08-01,32800.0,33350.0,31100.0,33000.0,14605000
2022-08-08,31000.0,32950.0,30400.0,32800.0,19669900
2022-08-15,30100.0,32100.0,28050.0,31300.0,23448600
2022-08-22,30200.0,30500.0,28800.0,30100.0,14828900
2022-08-29,29600.0,30850.0,29100.0,29900.0,12016600
2022-09-05,26950.0,30250.0,26600.0,29700.0,20994700
2022-09-12,26950.0,28200.0,26550.0,26550.0,12414700
2022-09-19,26050.0,27100.0,25000.0,27050.0,13878700
2022-09-26,22450.0,25850.0,21550.0,25850.0,9607800
2022-10-03,20500.0,23000.0,19450.0,22800.0,8878600
2022-10-10,25000.0,25200.0,20250.0,20300.0,10556400
2022-10-17,25350.0,27800.0,24700.0,25000.0,13387700
2022-10-24,27500.0,27950.0,24800.0,25150.0,13557400
2022-10-31,24250.0,28450.0,24250.0,27400.0,15052700
2022-11-07,18200.0,22600.0,18200.0,22600.0,9502000
