Price,Close,High,Low,Open,Volume
Ticker,BIC.VN,BIC.VN,BIC.VN,BIC.VN,BIC.VN
Date,,,,,
2017-01-02,14480.5625,14777.599801233298,13478.061452150167,14109.266185833289,53566
2017-01-09,15408.8037109375,15408.8037109375,13923.61841325662,14480.56289988695,87716
2017-01-16,15297.4130859375,16337.042943782824,14480.561501023158,15408.80222240299,76016
2017-01-23,15408.8037109375,15780.100035357722,14684.776128218005,15780.100035357722,40920
2017-01-30,15297.4130859375,15780.098510954924,14851.857789575091,15408.80222240299,48416
2017-02-06,15223.1552734375,15594.451591143335,14480.562638025829,15483.062445931655,92042
2017-02-13,15483.0654296875,15594.454596365089,14591.954595266561,15223.158207106384,102154
2017-02-20,14851.859375,15483.06288301888,14480.56304681246,15483.06288301888,74949
2017-02-27,14814.7314453125,14851.86158345233,13737.972433255856,14851.86158345233,28685
2017-03-06,14480.5625,14814.728682950188,13997.877041683347,14035.005923400236,72123
2017-03-13,14424.8671875,14480.562383878161,14424.8671875,14480.562383878161,7219
2017-03-20,14721.9052734375,14851.859489101402,13737.970495981182,14406.304141753253,69952
2017-03-27,14703.33984375,14814.72899021017,13775.099039081344,14480.56280032932,53066
2017-04-03,14796.1630859375,15223.15329603573,14164.958428227786,15223.15329603573,17711
2017-04-10,14480.5625,14796.164866841562,13737.969871666575,14796.164866841562,28220
2017-04-17,15118.0888671875,15118.0888671875,13776.358790249698,14003.129264726496,41626
2017-04-24,14362.1865234375,15118.090742592643,14324.39080372056,14362.1865234375,21760
2017-05-01,14891.3193359375,14891.319335937498,14362.186878217268,14362.186878217268,27016
2017-05-08,14362.1865234375,14929.114687803858,14286.59508400362,14929.114687803858,38628
2017-05-15,14834.6259765625,14853.523835549817,13814.15431022642,13870.847887188369,112268
2017-05-22,14853.5244140625,14853.5244140625,13965.336454146733,14853.5244140625,55945
2017-05-29,15118.0888671875,15307.064898533732,14211.003153586911,14834.624820168154,46158
2017-06-05,15118.0888671875,15458.245214851597,14362.184741802575,15080.293152159134,90368
2017-06-12,14551.1611328125,15118.08924086406,13984.23302476094,15004.703364874182,100295
2017-06-19,14891.3193359375,15118.091116045021,14362.186878217268,14362.186878217268,108839
2017-06-26,14815.7294921875,14929.115384733508,14362.18719390148,14872.421802511495,144609
2017-07-03,14683.4423828125,14815.726105864045,14116.514321559122,14815.726105864045,54082
2017-07-10,14740.13671875,14740.136718749998,14022.027040672965,14437.774815975343,56597
2017-07-17,14305.4912109375,15118.08891123239,14022.027163092313,15118.08891123239,109133
2017-07-24,14286.5927734375,14664.54609378676,13077.14647277223,14324.388487041753,282155
2017-07-31,13077.1484375,14286.59491987408,13077.148437499998,14211.004753206564,352093
2017-08-07,13700.767578125,13908.641470291972,12510.219070465337,13606.279560948906,204415
2017-08-14,13700.767578125,13984.232901551104,13228.327492244527,13606.279560948906,81049
2017-08-21,13719.6650390625,13757.460753598725,13568.484724713164,13700.767181794386,1306067
2017-08-28,13719.6650390625,13833.050910773394,12963.760923520253,13719.6650390625,166991
2017-09-04,13398.4072265625,13719.665728677244,13077.147452549909,13719.665728677244,161202
2017-09-11,13303.9189453125,13530.689423768175,12963.761319782254,13303.9189453125,98604
2017-09-18,13228.3291015625,13492.896599360292,12850.376986877625,13436.203019018776,98209
2017-09-25,13190.5341796875,13228.328626660366,12510.22014329867,12963.76241025858,81737
2017-10-02,12340.140625,13190.534120600125,12340.140625,13190.534120600125,11990
2017-10-09,12850.375,12888.170714383843,11546.440660326301,12850.375,139459
2017-10-16,12472.4228515625,12472.4228515625,11773.211043914085,12453.524994510262,119351
2017-10-23,12396.83203125,12472.422183512408,11829.903981435382,12094.470150302663,45761
2017-10-30,12472.4228515625,12472.4228515625,11829.904615070798,12396.832695251318,28909
2017-11-06,11905.4970703125,12453.527399264474,11867.701348909737,12132.268854933049,27291
2017-11-13,11527.5458984375,12396.836115602158,11149.593740704875,12396.836115602158,79944
2017-11-20,11981.0859375,12396.8337400988,11338.567646854664,11565.338134901202,87388
2017-11-27,12094.4716796875,12094.4716796875,11584.235861574303,11943.290084147582,30221
2017-12-04,12359.0390625,12434.629231541123,11640.930548762357,12094.472834907077,80790
2017-12-11,12321.2421875,12415.730198168329,11527.542389126951,12359.036628628692,66903
2017-12-18,12302.3447265625,12321.242583683363,11470.849188426706,12321.242583683363,24656
2017-12-25,13946.4384765625,13984.234195689784,11678.724582578061,12302.346316790612,86958
2018-01-01,13795.255859375,14173.209207212121,13001.557263041224,13946.437452889419,13403
2018-01-08,13228.3291015625,13795.257273589812,12850.376986877625,13795.257273589812,94279
2018-01-15,13417.302734375,13417.302734375,12548.012773302402,13398.406149573782,133910
2018-01-22,13946.4384765625,13984.234195689784,12850.376612748596,13417.30476827022,58788
2018-01-29,15080.2958984375,15080.2958984375,13644.077544276317,14551.163423066659,135736
2018-02-05,16062.96875,16062.96875,14437.774653756967,14740.136553134378,83976
2018-02-12,15118.0888671875,15155.884582215867,14097.617280399612,14966.907278971836,76587
2018-02-19,15344.861328125,15344.861328125,13417.303937976114,15118.08957119034,154362
2018-02-26,14721.23828125,15344.859919629529,13833.050465329647,15344.859919629529,148055
2018-03-05,13927.5400390625,14532.263888617825,13285.021743846146,13984.233615400872,197246
2018-03-12,12396.83203125,13927.53802012901,12396.83203125,13927.53802012901,206258
2018-03-19,13228.3291015625,13228.3291015625,12491.322732306591,13114.943212777443,123244
2018-03-26,13795.255859375,13795.255859375,12529.115896219284,12585.809470748882,90644
2018-04-02,12548.0126953125,13795.254695021375,12321.24223202763,13606.27867300178,221835
2018-04-09,12396.83203125,12850.374216722155,11187.384507460652,12548.012335774818,208896
2018-04-16,11905.4970703125,12585.811152276128,11092.899235337218,11546.442804578312,82546
2018-04-23,11716.51953125,12094.471610077695,10960.615373594606,11225.181574394423,29375
2018-04-30,11640.927734375,11716.51788514095,10998.408273120232,11716.51788514095,15695
2018-05-07,11376.3623046875,11716.519950956179,10242.506027587702,11640.92978686244,48603
2018-05-14,11716.51953125,11716.51953125,10809.433778924817,11187.385857752512,88284
2018-05-21,11697.6220703125,11716.51992927544,10922.820028015118,11149.591791774608,44159
2018-05-28,11622.0322265625,11697.622392598983,10866.1280224018,11678.724533115379,9595
2018-06-04,11527.5458984375,11811.010016736967,10922.821937306053,11603.1360756044,52533
2018-06-11,11111.794921875,11527.54268836701,10620.456999265652,11338.56666212478,42142
2018-06-18,10828.33203125,11111.796100685015,10204.71095130318,11111.796100685015,51258
2018-06-25,10261.4033203125,11149.591888112998,10091.325131972264,11149.591888112998,32166
2018-07-02,10673.36328125,11118.894480039537,10111.60779940866,11118.894480039537,23138
2018-07-09,11177.005859375,11177.005859375,9782.301520341252,10673.36255340437,40798
2018-07-16,11099.5244140625,11351.345456902296,10421.54262742303,10460.284928053248,43055
2018-07-23,11738.7646484375,11738.7646484375,10518.397161704901,10518.397161704901,18193
2018-07-30,12397.373046875,12474.856335073759,11390.086389035003,11738.763141557489,42883
2018-08-06,11312.6044921875,12397.374571643471,11060.782144879533,12397.374571643471,46174
2018-08-13,11603.1669921875,11893.730315340992,11041.411494841173,11428.82925904583,58425
2018-08-20,10886.4423828125,11622.536834284538,10847.70074112344,11235.119113641982,27135
2018-08-27,11041.412109375,11409.458745103437,10499.026427049555,10847.702564615287,50981
2018-09-03,10963.927734375,11235.121232983047,10344.059394793025,11041.412336121422,38094
2018-09-10,10363.4296875,11080.152416193203,10363.4296875,10963.9268269452,72468
2018-09-17,10440.9130859375,10634.62196874929,9879.156934657673,10344.058644531606,104274
2018-09-24,10227.83203125,10440.912041784124,9879.15594668325,10440.912041784124,112268
2018-10-01,10227.83203125,10576.50811581675,9801.672662057748,10227.83203125,89662
2018-10-08,9995.3828125,10150.350053580534,9278.659403987034,9956.641165198886,73398
2018-10-15,9879.1572265625,10072.866115097913,9414.256154827945,9879.1572265625,14557
2018-10-22,9859.787109375,9917.899256677609,9239.918120636854,9879.1576078505,24947
2018-10-29,9782.302734375,9782.302734375,8755.645499791304,9569.222697279412,26169
2018-11-05,9375.513671875,10072.865917685933,9026.837548969534,9724.189794780466,46726
2018-11-12,9143.064453125,9375.5150178068,8542.566563477203,9201.17725726449,68246
2018-11-19,8871.87109375,9472.368950185644,8697.53334284991,9220.547247426306,64301
2018-11-26,9336.771484375,9666.077090853829,8600.677634637195,8755.644863825579,66867
2018-12-03,9685.4482421875,10072.86601542474,8716.903809094394,9298.030468950257,52704
2018-12-10,10072.8662109375,10072.8662109375,9046.208961556336,9046.208961556336,198661
2018-12-17,10034.1240234375,10053.495172183684,9472.3678804347,9685.44790913853,79791
2018-12-24,10072.8662109375,10072.8662109375,9491.739539802058,9530.481187502537,26808
2018-12-31,10072.8662109375,10072.8662109375,9995.382915536542,10072.8662109375,12078
2019-01-07,10072.8662109375,10072.8662109375,9588.5939849913,9588.5939849913,20123
2019-01-14,10266.576171875,10266.576171875,9685.448825164423,10072.866621720732,14265
2019-01-21,9743.560546875,10266.575035854115,9685.44775344665,10189.091093990968,47276
2019-01-28,10169.7197265625,10266.574814774776,9452.997028049449,9821.043625376791,29858
2019-02-04,10169.7197265625,10169.7197265625,10169.7197265625,10169.7197265625,0
2019-02-11,9821.0458984375,10344.06049720472,9530.482522178456,9685.449786558514,60423
2019-02-18,9782.302734375,10150.350011915007,9511.110552504322,9821.044381517086,58339
2019-02-25,10247.2041015625,10440.912982454382,9549.851869601303,9782.30239629635,34819
2019-03-04,9898.5283203125,10208.46280097074,9472.368246438404,10208.46280097074,57356
2019-03-11,9530.4814453125,9627.335893121759,9181.805302823946,9414.25649906705,66093
2019-03-18,9084.94921875,9627.334159169644,8910.611504843251,9336.770868074405,35198
2019-03-25,9491.73828125,9549.851071033327,9007.466119515611,9084.949404642713,42884
2019-04-01,9491.73828125,9530.479923813551,9026.836614859387,9298.029416556245,45934
2019-04-08,9220.5458984375,9491.738712454498,8929.982588196735,9491.738712454498,10180
2019-04-15,9220.5458984375,9414.255423807374,8716.903218479125,9220.5458984375,151157
2019-04-22,9046.2080078125,9065.579155558478,8755.644702878937,8929.982425088667,71261
2019-04-29,8871.87109375,9046.209496526215,8523.194940073696,9046.209496526215,102087
2019-05-06,8716.9033203125,8871.869899417115,8561.936089331848,8871.869899417115,26722
2019-05-13,8813.7578125,8852.499457514874,8581.306638658672,8716.903374024794,48517
2019-05-20,8620.0498046875,8813.759367694145,8329.486437991769,8813.759367694145,49673
2019-05-27,8135.77587890625,8910.61201835619,8000.179798956019,8678.160850583197,58097
2019-06-03,8174.51953125,8368.229102610647,7942.068958243882,8038.923417986113,35389
2019-06-10,8097.03369140625,8620.047480037229,7728.986468387427,8620.047480037229,142111
2019-06-17,7593.392578125,7942.0687546332665,7283.45805414517,7942.0687546332665,185496
2019-06-24,7438.4248046875,7748.359307357005,7244.71590348809,7574.020905151861,72655
2019-07-01,7709.6171875,7709.6171875,7380.311554035178,7438.424351227563,32544
2019-07-08,7864.583984375,7864.583984375,7535.278369543734,7690.245602662674,30976
2019-07-15,8368.228515625,8406.97016642914,7438.424985068812,7748.359495254208,31029
2019-07-22,8910.61328125,8910.61328125,8174.518681477475,8329.485931330843,22674
2019-07-29,9298.0302734375,9298.0302734375,8910.61250834662,8910.61250834662,185049
2019-08-05,9298.0302734375,9298.0302734375,8290.743562700362,9298.0302734375,30599
2019-08-12,9298.0302734375,9336.771919571376,8561.936389389615,8910.61250834662,47966
2019-08-19,9537.46484375,9617.275961615207,8978.785004312565,9317.983262430187,47517
2019-08-26,9577.3701171875,9577.3701171875,9098.501409890032,9198.265639977799,57219
2019-09-02,9557.4169921875,9577.370106767468,9198.265629970227,9577.370106767468,27257
2019-09-09,9337.9365234375,9557.417436724152,9018.690704071027,9557.417436724152,21346
2019-09-16,9657.181640625,9657.181640625,9298.03026284523,9557.41740632286,16470
2019-09-23,9377.8427734375,9617.276819860532,8978.785805578982,9337.937210943726,56891
2019-09-30,9537.46484375,9577.370402682604,9278.077703497584,9298.03014723372,24327
2019-10-07,9377.8427734375,9577.371257366758,9038.643813589448,9577.371257366758,20709
2019-10-14,9976.4267578125,9976.4267578125,9298.029609360874,9377.841394069455,25706
2019-10-21,9637.2275390625,10175.954177342393,9577.368874484684,10175.954177342393,14988
2019-10-28,10375.484375,10375.484375,9357.888918611756,9577.370502212463,56684
2019-11-04,10375.484375,10375.484375,9776.898970409347,10335.57881565269,28443
2019-11-11,10375.484375,10375.484375,9856.710089103966,10355.531931056514,53411
2019-11-18,10156.00390625,10375.484827972457,9577.3709203409,10335.579266882953,317563
2019-11-25,10116.0986328125,10315.627800098217,9477.607580463671,9497.56002716994,18296
2019-12-02,9816.8046875,10375.484541720605,9497.558864670982,9597.323771832855,44832
2019-12-09,9677.134765625,9976.427468826947,9258.124712558138,9677.134765625,53118
2019-12-16,9497.5576171875,9756.9447302336,9038.642058945976,9657.180507635889,35767
2019-12-23,9896.6162109375,9896.6162109375,9298.030141477691,9377.84193075382,39799
2019-12-30,10175.9560546875,10175.9560546875,9876.663348042635,9876.663348042635,30099
2020-01-06,10036.28515625,10375.483385545098,9657.180699952902,10175.954936376185,20416
2020-01-13,10295.6728515625,10295.6728515625,9717.039913662516,10016.332604192066,14127
2020-01-20,11173.599609375,11173.599609375,10295.673892208231,10295.673892208231,7374
2020-01-27,11173.599609375,11173.599609375,10395.43813246852,11173.599609375,21140
2020-02-03,10575.013671875,11173.599085364767,10375.484529251395,10455.296320592906,36940
2020-02-10,10455.294921875,10575.012257141208,9776.897807800242,10575.012257141208,43056
2020-02-17,10455.294921875,10455.294921875,10056.238032934645,10375.483141210774,34045
2020-02-24,10335.578125,10455.295466502414,9996.379886023555,10455.295466502414,25791
2020-03-02,10056.2392578125,10335.578845510983,9896.616348501793,10335.578845510983,16747
2020-03-09,10295.6728515625,10375.483967119588,9597.323240326883,9976.427046413522,26429
2020-03-16,9976.4267578125,10335.578110350387,9796.851417273705,10255.766997102097,13404
2020-03-23,9976.4267578125,10136.049655769371,9337.935837445311,9876.662530521993,30634
2020-03-30,9976.4267578125,9976.4267578125,9457.652507317745,9457.652507317745,24982
2020-04-06,9976.4267578125,10375.483666974531,9976.4267578125,9976.4267578125,8217
2020-04-13,9936.521484375,9996.38015674731,9597.323236212327,9976.427042136436,8165
2020-04-20,9896.6162109375,10575.013398213108,9497.558607477516,9936.5217698454,28461
2020-04-27,9896.6162109375,9976.4273287533,9497.558607477516,9896.6162109375,32219
2020-05-04,9657.181640625,9976.427458975983,9377.842053163145,9896.616340118406,60320
