Price,Close,High,Low,Open,Volume
Ticker,BID.VN,BID.VN,BID.VN,BID.VN,BID.VN
Date,,,,,
2017-01-02,10366.810546875,10564.272902118506,9346.584278495671,9346.584278495671,25448368
2017-01-09,10695.916015625,10926.289232541678,10399.721098708995,10399.721098708995,32429781
2017-01-16,10959.2001953125,11387.036694575658,10399.721205723064,10695.916125686941,28382892
2017-01-23,11123.7529296875,11288.305363833046,10860.468852849222,10992.111346781874,12708629
2017-01-30,11321.21484375,11551.588041443576,11123.751582282986,11123.751582282986,5750871
2017-02-06,11255.39453125,11452.856889952878,11057.931261520169,11321.215317484293,25427264
2017-02-13,11123.7529296875,11485.76864921851,11025.021286994768,11255.395423620152,22958966
2017-02-20,10959.2001953125,11090.841774611781,10761.736915336582,11057.93183530046,20478196
2017-02-27,10794.6474609375,10992.110735338947,10399.720912134604,10860.468248728992,16008450
2017-03-06,10893.3798828125,11156.663963970375,10728.827445967208,10926.289823565336,18184979
2017-03-13,10992.1103515625,11025.020288795748,10695.91545030162,10860.467869548684,15949391
2017-03-20,11781.962890625,11781.962890625,10827.557370561883,10992.11070614402,48252310
2017-03-27,11551.5888671875,11946.515418352123,11255.394864841011,11847.783780560967,31524003
2017-04-03,11255.39453125,11551.588524817795,11057.931261520169,11485.767738583501,19174905
2017-04-10,11222.484375,11354.125955590325,10827.557811175011,11321.216015956248,25318641
2017-04-17,10893.3798828125,11222.484756503085,10630.095801654625,11189.573904723211,19608036
2017-04-24,10926.2900390625,11025.021685322348,10630.096011310012,10860.46924523162,10421945
2017-05-01,10893.3798828125,11222.484756503085,10794.648238499918,10926.289823565336,11757284
2017-05-08,11156.6640625,11387.037293912534,10728.827540718412,10959.200772130946,26951332
2017-05-15,11321.21484375,11321.21484375,10959.199168069445,11123.751582282986,24944229
2017-05-22,12835.0986328125,12966.740202878815,11452.856680954577,11452.856680954577,71793143
2017-05-29,12012.3359375,13032.561320113915,11814.872666340223,12835.098959981096,38616281
2017-06-05,12407.26171875,12999.65058486485,12111.066830179123,12176.887612852572,38404574
2017-06-12,12999.65234375,13230.025569790592,12341.441694877267,12440.173337759528,36686888
2017-06-19,13098.3837890625,13559.131145221018,12900.92050627642,13164.204579648856,38939924
2017-06-26,13427.48828125,13559.130769804895,12966.740937848346,13098.383426403241,27994462
2017-07-03,13295.84765625,13789.504973886245,13262.936803996763,13427.489243208844,30360358
2017-07-10,12703.45703125,13361.667660233952,12538.904601760762,13295.846870643656,16934638
2017-07-17,12670.5478515625,13032.562671525267,12308.532120572681,12802.18943863495,17028067
