Price,Close,High,Low,Open,Volume
Ticker,BRC.VN,BRC.VN,BRC.VN,BRC.VN,BRC.VN
Date,,,,,
2023-07-17,10535.3125,10831.4859437751,10323.760040160643,10746.864959839359,26700
2023-07-24,10323.7607421875,10746.865690637807,10154.518762807376,10535.313216412655,40100
2023-07-31,10154.5185546875,10493.002506510416,10112.208060709636,10493.002506510416,33000
2023-08-07,10154.5185546875,10323.760530598958,9858.345096842448,10281.450036621094,32400
2023-08-14,9562.171875,10408.381775442478,9562.171875,10069.897815265487,13700
2023-08-21,9858.345703125,9985.277192864807,9308.309247585838,9477.55123390558,20600
2023-08-28,9985.2763671875,10535.312777244439,9477.550450211864,10535.312777244439,8200
2023-09-04,9985.2763671875,10323.760311837923,9816.034394862287,9985.2763671875,11200
2023-09-11,9816.0341796875,10069.897132610453,9773.723687533675,9985.2761483028,6500
2023-09-18,9985.2763671875,10535.312777244439,9816.034394862287,9816.034394862287,9600
2023-09-25,9816.0341796875,10154.518116918103,9604.481718918372,9985.2761483028,900
2023-10-02,9858.345703125,10069.898186024679,9477.55123390558,9519.861730485516,2600
2023-10-09,9858.345703125,10535.313648403971,9646.793220225323,9858.345703125,5600
2023-10-16,10027.5869140625,10027.5869140625,9308.30852782173,9942.965927445939,6600
2023-10-23,9816.0341796875,10027.586640456628,9392.929258149245,9392.929258149245,7400
2023-10-30,9985.2763671875,10154.518339512711,9816.034394862287,9816.034394862287,4000
2023-11-06,9689.1025390625,10154.517944868996,9646.792047625546,9985.27597912118,1400
2023-11-13,9985.2763671875,10069.897353350105,9689.10291561838,9816.034394862287,1200
2023-11-20,9900.6552734375,9985.276258680557,9900.6552734375,9985.276258680557,600
2023-11-27,9562.171875,9985.276825221239,9477.550884955752,9900.65583517699,7200
2023-12-04,10408.3818359375,10577.623817009655,9308.308958968495,9942.966387989076,4100
2023-12-11,10154.5185546875,10408.381518554688,9562.171638997395,10408.381518554688,4500
2023-12-18,10239.1396484375,10239.1396484375,9562.171737797004,10154.518659607438,29100
2023-12-25,10239.1396484375,10493.002614927685,9731.413715457127,10239.1396484375,8000
2024-01-01,10323.7607421875,10577.623711257684,9900.655793737193,10239.139752497438,8000
2024-01-08,10493.0029296875,10577.623921055949,9731.414007371472,10323.760946950606,16200
2024-01-15,10958.41796875,10958.41796875,10493.002533783783,10577.623521959458,53000
2024-01-22,10916.107421875,11000.728409641473,10577.623470809109,10831.486434108527,37000
2024-01-29,11254.5908203125,11339.211803923872,10916.106885867011,11043.038361284069,24700
2024-02-05,11296.90234375,11423.833830758427,11000.72887406367,11339.212839419475,33100
2024-02-12,11339.2119140625,11931.558805095616,11000.727976329292,11296.901421845849,19800
2024-02-19,11677.6962890625,12270.043202275816,11212.280857252039,11339.212338654892,58400
2024-02-26,11550.7646484375,12439.285006009615,11169.970209478022,11339.212182348901,13000
2024-03-04,11762.3173828125,11846.938371178057,11254.591452619155,11550.764911898606,8100
2024-03-11,12058.4912109375,12185.422697368422,11423.833778782895,11423.833778782895,21800
2024-03-18,11677.6962890625,12058.49073327106,11339.212338654892,11931.559251868206,15100
2024-03-25,11804.6279296875,11846.938424059139,11720.00694094422,11720.00694094422,22300
