Price,Close,High,Low,Open,Volume
Ticker,BVH.VN,BVH.VN,BVH.VN,BVH.VN,BVH.VN
Date,,,,,
2023-07-17,44457.75390625,44925.73026315789,43475.003556743424,43989.77754934211,4546300
2023-07-24,43662.1953125,44785.33860028135,43381.40949055466,44644.94568930868,4480000
2023-07-31,44083.375,45300.113588110406,43896.18444798301,44083.375,6395700
2023-08-07,43708.99609375,45159.72294482736,43475.00789196333,44223.77013768067,4677000
2023-08-14,41369.109375,44925.72963800905,41369.109375,43942.979302177606,4231900
2023-08-21,42024.28125,42679.448218262805,41135.12607878619,41369.114281737195,3327000
2023-08-28,42305.06640625,42539.054605399615,41790.29236812085,42024.28056727046,2881600
2023-09-04,42726.24609375,43053.829579682366,42305.06732612267,42305.06732612267,2760800
2023-09-11,42024.28125,43428.21046770601,41977.4836094098,42773.04349944321,3454100
2023-09-18,40807.5390625,42305.06343176605,40245.96742402523,42024.27761252867,3773500
2023-09-25,39450.40625,41181.918742586,39029.22753558719,40901.13293297746,3076800
2023-10-02,39216.421875,39824.79118809666,38842.04075924821,39824.79118809666,1669400
2023-10-09,39590.80078125,40058.777149822694,39169.62204953458,39310.01496010638,1053100
2023-10-16,38374.06640625,39590.80509717988,37578.506492949695,39590.80509717988,1525000
2023-10-23,36970.13671875,38467.661244066454,36314.969738924054,38374.06596123418,1592000
2023-10-30,37812.4921875,38140.07565942141,36127.777189047025,36970.134688273516,1469600
2023-11-06,37999.6796875,38842.037118996304,37438.108066502464,37906.08441733375,1347600
2023-11-13,38233.66796875,39169.62067300337,37812.489251835985,37999.67979268666,1886600
2023-11-20,37672.09765625,38514.455119371116,37250.91892468944,37812.49056677019,1407300
2023-11-27,37157.32421875,37578.502956745906,36314.96674275819,36876.538393419396,1430700
2023-12-04,37915.6015625,38634.60791324273,37675.93277891909,38299.071616229456,1735000
2023-12-11,37867.66796875,39353.61443334652,37867.66796875,37963.53548259494,2467100
2023-12-18,37292.4609375,38059.40100819409,37292.4609375,37915.59974493895,1083300
2023-12-25,37867.66796875,38347.005537974685,37292.46288568038,37340.39664260285,1139500
2024-01-01,38347.00390625,38730.4739453125,37867.66635742188,37867.66635742188,1244700
2024-01-08,40072.6171875,40456.08720843302,38155.26708283493,38394.935845918066,3452300
2024-01-15,39545.34765625,40264.35397727272,38922.208844696965,39976.75144886364,2031400
2024-01-22,39161.87890625,39785.017738295595,38922.210124694,39737.0839819844,1158600
2024-01-29,39545.34765625,39737.08267518939,38826.34133522727,39257.745127840906,1231400
2024-02-05,39497.4140625,40264.3541413835,39305.67904277913,39353.61279770934,898600
2024-02-12,40743.69140625,40983.360179227944,39497.41378676471,39497.41378676471,1341400
2024-02-19,40216.421875,41462.69954931466,40120.55436159118,40935.42822556615,2768100
2024-02-26,41031.296875,41510.63445531542,40168.48923043224,40216.42298846378,2107700
2024-03-04,42613.10546875,43667.648011283745,40983.35790301603,40983.35790301603,5253400
2024-03-11,41318.8984375,42661.04363036543,41175.09716683585,42613.10987347738,3718700
2024-03-18,40743.69140625,41606.49898897059,39785.01631433824,41318.89646139706,2309400
2024-03-25,40983.359375,41750.29943347954,40647.8230994152,40743.69060672515,2488200
2024-04-01,39976.75390625,41175.09784828388,39976.75390625,41031.29657523981,1500900
2024-04-08,40168.48828125,40264.35579504773,39545.34944156474,39976.75325365453,1165600
2024-04-15,36908.9921875,40072.620089285716,36621.38965097403,40072.620089285716,2408700
2024-04-22,37819.734375,38394.93946055133,36956.926746673,37867.66813212928,1354600
2024-04-29,38347.00390625,39018.07647460938,37819.732602539065,37819.732602539065,656600
2024-05-06,39018.078125,39832.95199247543,38347.005528255526,38394.93928516585,1655200
2024-05-13,39161.87890625,39497.4152004284,38442.87256158201,39018.077637316404,974700
2024-05-20,42756.91015625,44099.05531810538,39257.745984269895,39785.01729785594,6660100
2024-05-27,42996.578125,45393.265868868446,42469.30682134894,42756.909350613154,8156200
2024-06-03,44482.52734375,46304.0101444639,42996.58084843076,42996.58084843076,5145200
2024-06-10,42661.04296875,45153.59828827247,42661.04296875,44818.06199525983,4765300
2024-06-17,43284.1796875,44290.788517441855,42277.57085755814,42661.04088801218,3172800
2024-06-24,44099.0546875,45489.13358525815,41510.63191236413,43284.18085088315,4962700
2024-07-01,44482.52734375,46112.2751128098,43859.38849087419,43859.38849087419,3995300
2024-07-08,43619.71875,45920.53907967033,43140.38118131868,44578.39388736263,3797100
