Price,Close,High,Low,Open,Volume
Ticker,BWE.VN,BWE.VN,BWE.VN,BWE.VN,BWE.VN
Date,,,,,
2017-07-17,14706.9248046875,14706.9248046875,13745.164054517201,13745.164054517201,12010
2017-07-24,20517.560546875,20517.560546875,15708.757293701172,15708.757293701172,1445010
2017-07-31,23082.255859375,25045.850541856555,21639.614868164062,21920.128394232855,2022880
2017-08-07,21639.619140625,23963.87452980324,20036.684389467595,23963.87452980324,1284570
2017-08-14,20036.685546875,21839.987246093748,19716.098578125,21639.620390624998,806410
2017-08-21,20357.267578125,20637.781107744835,19956.533964382383,19996.607325756646,6484310
2017-08-28,20437.416015625,20838.149662990196,19796.242179840687,20116.829097732843,725070
2017-09-04,20758.005859375,21158.73956322394,20036.685192446912,20437.41889629585,1074460
2017-09-11,21519.400390625,22441.087930633148,20317.19925148394,21238.886791492085,2692960
2017-09-18,21839.986328125,21839.986328125,20196.978182339448,21519.39937284977,4796080
2017-09-25,21559.47265625,22761.67373373606,21158.738963754648,22441.086779739777,1374030
2017-10-02,20798.076171875,21719.763555214355,20677.85607839595,21719.763555214355,731840
2017-10-09,21839.986328125,22040.35317517202,20597.711876433485,21238.885786983945,945860
2017-10-16,21078.591796875,21880.05916557747,20878.22495469938,21639.61895496673,928770
2017-10-23,20517.560546875,21399.174476623535,19635.946617126465,20838.147430419922,3163550
2017-10-30,20036.685546875,20597.7127421875,19074.924640625,20517.566,1091870
2017-11-06,20076.759765625,20517.566866267465,20036.68639283932,20036.68639283932,793740
2017-11-13,20076.759765625,20517.566866267465,19315.365682697106,19996.613020053643,1646610
2017-11-20,19796.244140625,20277.124565093625,19595.87729709641,19876.39087803644,815810
2017-11-27,19243.390625,20132.791032037814,18313.562926733193,19971.081867121848,1400010
2017-12-04,18596.546875,19526.37421875,18475.26504755435,19243.38328804348,1164610
2017-12-11,18151.853515625,18596.553713112473,16979.4620858853,18596.553713112473,1455750
2017-12-18,18434.841796875,18596.55093544408,18070.996235094575,18596.55093544408,680690
2017-12-25,18353.98828125,18717.83386391795,17949.71541161894,18434.84285517621,741390
2018-01-01,20375.349609375,20698.76785714286,18273.130998883928,18353.985560825895,1327250
2018-01-08,21507.31640625,21749.88012511748,19849.797660655546,20375.35238486842,2243880
2018-01-15,22073.294921875,22073.294921875,21103.040200034342,21830.731241414836,1949970
2018-01-22,22639.279296875,22639.279296875,20779.624211774553,22073.297314453128,2006110
2018-01-29,22396.716796875,23366.971676162004,22073.29850377933,23366.971676162004,1456690
2018-02-05,21669.025390625,22396.716541802703,19768.94294032766,22396.716541802703,1644200
2018-02-12,22220.404296875,22749.46154203869,21813.437185210623,21976.22402987637,449370
2018-02-19,22342.49609375,22383.192807946267,21569.25852402095,22220.405951161203,319160
2018-02-26,22098.314453125,23156.428957326196,21976.224318024862,22383.19143502532,905690
2018-03-05,22790.15625,23197.123325892855,21162.287946428572,22139.008928571428,2959930
2018-03-12,21976.224609375,23034.339127604166,21894.831184895833,22790.158854166668,2184830
2018-03-19,22016.921875,22627.372573937155,21487.8646025878,22545.9791474122,1855950
2018-03-26,20429.74609375,21976.22089765936,20429.74609375,21976.22089765936,707230
2018-04-02,20592.53515625,20918.108834609684,20185.568058300396,20592.53515625,1771010
2018-04-09,19669.482421875,21021.759338378906,18767.964477539062,20734.912719726562,1819880
2018-04-16,19259.69921875,19669.48005319149,18849.918384308512,19382.633469082448,1603560
2018-04-23,18767.962890625,19259.69990959334,17948.401192344434,19259.69990959334,443970
2018-04-30,18112.314453125,18767.963845093327,17784.489757140836,18767.963845093327,335220
2018-05-07,17784.490234375,18604.051996327766,17415.687441496255,18030.35876296083,1140460
2018-05-14,17907.421875,18276.224613844395,17210.794479405035,17333.7287256865,367190
2018-05-21,16227.3203125,18112.312065972223,15325.802517361111,18112.312065972223,1050950
2018-05-28,16145.365234375,16391.233740482236,15407.7597160533,15981.452896970179,815510
2018-06-04,15120.9140625,16186.344321646342,15079.935975609756,15653.629192073171,875620
2018-06-11,13932.5498046875,15161.892434512867,13932.5498046875,14997.980083869485,1603620
2018-06-18,14014.50390625,14014.50390625,12949.073784722223,13932.547743055555,1767240
2018-06-25,13522.767578125,14752.110085227272,13072.008658854167,14178.416915246213,1351470
2018-07-02,12949.0751953125,13522.768400168115,12949.0751953125,13399.83414198477,912050
2018-07-09,13481.791015625,13686.681456591945,12703.207339950608,13112.988221884498,542470
2018-07-16,14997.98046875,15489.71753329918,13276.90074282787,13440.813097677596,1090620
2018-07-23,14424.2861328125,14997.979331276634,13932.549105557528,14506.242304021662,502550
2018-07-30,14178.4169921875,14424.285494942196,13932.548489432804,14424.285494942196,586040
2018-08-06,14178.4169921875,14260.373159772398,13768.636154263006,14096.4608246026,782610
2018-08-13,15325.8046875,15448.738949699198,14096.462065508022,14096.462065508022,1072030
2018-08-20,15161.890625,15489.715287162162,14588.197466216216,15325.802956081081,611390
2018-08-27,15079.9375,15325.806046195652,14875.047044836956,15161.893682065216,587120
2018-09-03,14752.111328125,15079.936024305554,14629.177067057291,15079.936024305554,633390
2018-09-10,15366.7822265625,15489.716484375,14588.19859375,14916.02328125,808490
2018-09-17,15161.890625,15407.75912162162,14916.022128378378,15161.890625,687290
2018-09-24,16391.232421875,16719.057070312498,15038.955747070311,15161.889990234375,1832870
2018-10-01,16145.365234375,16678.080330940673,15817.540559565356,16391.233740482236,1267980
2018-10-08,15817.541015625,16555.14655521373,15038.957390503561,16063.409528821243,1314380
2018-10-15,16145.365234375,16227.321403077412,15571.672053458122,15817.540559565356,505390
2018-10-22,16063.4091796875,16801.01470324458,15571.67216398278,16145.36534897162,764110
2018-10-29,16309.2802734375,16391.23645571608,15735.586997487437,15817.543179766019,519680
2018-11-05,16882.970703125,17784.48855620449,16104.387102738168,16309.277523892599,1705790
2018-11-12,18440.138671875,18849.919531249998,16596.124804687497,16637.102890625,1453700
2018-11-19,18686.0078125,19300.67912212171,18358.183114035088,18522.095463267546,1297550
2018-11-26,18931.875,19464.590097402597,18604.050324675325,18686.006493506495,1095710
2018-12-03,20079.26171875,20202.195974170918,18890.897249681122,18931.875334821427,1131110
2018-12-10,20243.173828125,20816.867013537452,19956.327235418776,19997.305320091094,727310
2018-12-17,20407.087890625,20898.82494823042,19751.438480484438,20079.26318555472,1028270
2018-12-24,20161.220703125,20734.913975165142,19341.658885924797,20489.04543000508,961300
2018-12-31,19576.619140625,20668.876860917382,18820.44071888412,20668.876860917382,501190
2019-01-07,19828.677734375,20500.83630164195,18820.439883474577,18820.439883474577,443640
2019-01-14,20752.89453125,21004.953978997975,19534.607200468115,20248.77563575405,469810
