Price,Close,High,Low,Open,Volume
Ticker,C32.VN,C32.VN,C32.VN,C32.VN,C32.VN
Date,,,,,
2017-01-02,11354.0673828125,11489.502826859523,10631.739970974619,10654.312738966575,3494963
2017-01-09,11444.357421875,11692.65787262872,11060.621525523975,11354.067512778372,2916644
2017-01-16,10767.1767578125,11444.357481012452,10654.312915977596,11444.357481012452,2417420
2017-01-23,10767.1767578125,10767.1767578125,10360.868091111583,10755.89037362901,1130473
2017-01-30,10293.150390625,10767.177390270963,10293.150390625,10767.177390270963,499276
2017-02-06,10575.3115234375,10744.606156428636,9931.988659137276,10485.020431759578,3715349
2017-02-13,11602.3671875,11828.093713644803,10270.577307921854,10564.02330498629,7999726
2017-02-20,11286.349609375,12189.256879782139,11286.349609374998,11760.375431679222,7359631
2017-02-27,11489.50390625,11828.094294033766,11150.913518466232,11218.63182880395,2989165
2017-03-06,12302.1240234375,12414.987898963236,11489.506447462367,11489.506447462367,5391354
2017-03-13,12189.2568359375,12505.274437638525,12076.394154983054,12234.402373881185,3726305
2017-03-20,11624.94140625,12211.831145760292,11534.650318969983,12189.258373940287,4919005
2017-03-27,11150.912109375,11782.947264849916,11150.912109375,11624.939057933523,2962184
2017-04-03,10925.1865234375,11331.49520453307,10676.886062603957,11150.913051199585,1431143
2017-04-10,10902.6142578125,11421.78564481487,10722.032096138753,10925.187028021719,1807448
2017-04-17,10586.59765625,10970.333622782164,10248.006070570205,10857.469760888898,2270687
2017-04-24,10880.0400390625,10925.185573470377,10496.30416050023,10609.16799651992,1455721
2017-05-01,10609.1708984375,10880.043015071502,10338.297617898506,10880.043015071502,996467
2017-05-08,11184.771484375,11263.776171368554,10383.440558392638,10699.458142462156,2027940
2017-05-15,10699.458984375,11184.772364475904,10530.164377115012,11184.772364475904,1375385
2017-05-22,11670.0849609375,11670.0849609375,10564.022821980077,10834.894873750034,2967965
2017-05-29,11782.9482421875,12031.248702644476,11196.058572553278,11963.530395247119,3277188
2017-06-05,11828.0947265625,12098.96797781864,11737.803642810453,11850.667497500512,3371146
2017-06-12,11850.6669921875,11895.812532138516,11579.794916386221,11828.094222211992,1286813
2017-06-19,12162.1708984375,12460.130528867987,11471.445771573734,11850.666907775296,2676783
2017-06-26,11756.2880859375,12477.19267891276,11645.379595372182,12477.19267891276,1647250
2017-07-03,11700.8359375,12116.742532628567,11534.473776008088,11756.289594197706,1079496
2017-07-10,11534.4697265625,11922.648761363484,11423.56126070531,11700.831829649102,561418
2017-07-17,10480.841796875,11617.652884474955,10148.116338977763,11617.652884474955,1780790
2017-07-24,10619.4775390625,10952.201800450375,10231.297248445695,10480.841635885172,846472
2017-07-31,10425.38671875,10785.839587709697,10259.024589321562,10785.839587709697,870408
2017-08-07,10092.6630859375,10536.295855731243,9981.754595639406,10536.295855731243,1056726
2017-08-14,10078.798828125,10342.2063449152,9898.572977304995,10120.389363260438,967428
2017-08-21,9829.2548828125,10064.93496143479,9690.618981788304,10064.93496143479,34852026
2017-08-28,10175.8427734375,10259.023832011382,9427.21145917485,9593.573576322615,1352934
2017-09-04,9746.07421875,10259.025556126246,9746.07421875,10175.84448357309,997194
