Price,Close,High,Low,Open,Volume
Ticker,CCL.VN,CCL.VN,CCL.VN,CCL.VN,CCL.VN
Date,,,,,
2017-01-02,1615.089111328125,1701.6117580644866,1540.1027939365617,1620.857276000524,84382
2017-01-09,1580.4801025390625,1615.0890901189766,1545.8709383087767,1615.0890901189766,91481
2017-01-16,1568.94384765625,1638.1618260944756,1545.871011526461,1638.1618260944756,58904
2017-01-23,1615.089111328125,1643.9299346901207,1540.1027939365617,1563.1756292765326,132025
2017-01-30,1615.089111328125,1638.1617700177217,1586.2482879661293,1615.089111328125,6409
2017-02-06,1609.3209228515625,1643.929910374041,1557.407441567845,1615.0890874386423,254502
2017-02-13,1649.6981201171875,1724.6842537722216,1568.9436456844855,1568.9436456844855,843670
2017-02-20,1667.0028076171875,1765.0617859093527,1643.929971756977,1667.0028076171875,1463418
2017-02-27,1632.3934326171875,1724.684234260399,1597.7844482448663,1690.0752498880781,942717
2017-03-06,1701.6116943359375,1724.6843521614198,1615.0890508400112,1638.1617086654935,541862
2017-03-13,1638.1617431640625,1695.8435655928758,1615.0890848526858,1615.0890848526858,360336
2017-03-20,1592.0164794921875,1672.7709629182923,1592.0164794921875,1638.161797649746,240654
2017-03-27,1638.1617431640625,1667.0027427036548,1597.7845911191532,1615.0890848526858,291043
2017-04-03,1615.089111328125,1667.0027700300916,1580.48012329373,1580.48012329373,44040
2017-04-10,1580.4801025390625,1638.1617485055858,1505.4937861322103,1638.1617485055858,539277
2017-04-17,1568.94384765625,1615.0891666150671,1517.0301871772,1551.6391763963131,89362
2017-04-24,1615.089111328125,1638.1617700177217,1534.3346292641627,1563.1756292765326,320986
2017-05-01,1586.248291015625,1626.6254438000426,1557.407467598184,1615.089114433066,134118
2017-05-08,1874.6568603515625,1886.193188519836,1568.943633941247,1586.248126193657,2245512
2017-05-15,1811.2069091796875,1909.2658769064437,1672.7707921861795,1903.497712725479,2306175
2017-05-22,1759.29345703125,1845.816097649204,1672.770816413296,1840.047933384698,1238454
2017-05-29,1793.9024658203125,1886.193271896446,1730.4524814397319,1759.293479785649,1795972
2017-06-05,1966.94775390625,1966.94775390625,1782.3661413211953,1816.9751274370062,2535553
2017-06-12,2151.529296875,2249.588264347302,1909.2658719520646,2076.542986066685,3279376
2017-06-19,2884.088134765625,2987.915287125742,2243.8205480029096,2249.5887133201168,6530955
2017-06-26,4031.954345703125,4031.954345703125,2866.782888380056,2941.7691991457086,6040736
2017-07-03,4268.44970703125,5254.807391979907,4031.9544408292195,4037.7224284776603,6255515
2017-07-10,3207.10546875,3974.2729372558056,3207.10546875,3974.2729372558056,4941606
2017-07-17,2964.84228515625,3085.9739195483166,2509.1563942094417,3057.1329196261113,6628511
2017-07-24,2497.619873046875,3114.8146802070755,2434.169890072361,3114.8146802070755,6569994
2017-07-31,2976.37841796875,2976.37841796875,2301.501784759287,2451.4744091725815,5929648
2017-08-07,2999.451416015625,3639.7189597136407,2947.537755002107,3184.033047051983,5111277
2017-08-14,2999.451416015625,3230.1783664858813,2711.0426396026137,2999.451416015625,3210257
2017-08-21,2780.260498046875,3057.132738338736,2641.824201250581,2889.855796631229,80996342
2017-08-28,2855.246826171875,2930.2331439264685,2711.0425320133877,2774.492343716957,2521581
2017-09-04,3039.828857421875,3218.6421533639723,2855.247043040558,2855.247043040558,8599036
2017-09-11,2774.492431640625,3103.2783599294726,2768.7242667575074,3039.8287228655595,3050624
2017-09-18,3028.29248046875,3166.7284416575967,2826.406173783858,2855.2469990315344,2747208
2017-09-25,2607.215087890625,3057.1325888528713,2561.069598998134,3057.1325888528713,4842496
2017-10-02,2376.488037109375,2711.0422631509155,2111.1519572575257,2607.215132191558,4483236
2017-10-09,2145.760986328125,2376.4878905288347,2018.8610300324226,2364.951562983834,3789264
2017-10-16,2163.065673828125,2451.4744185618506,2163.065673828125,2295.7336292785008,7385904
2017-10-23,2238.052001953125,2324.574643642576,2163.065688935552,2163.065688935552,4079595
2017-10-30,1903.497802734375,2243.8202121052223,1903.497802734375,2243.8202121052223,1411826
2017-11-06,2076.543212890625,2174.6021910740565,1903.49791570801,1978.4842347071935,1107696
2017-11-13,2191.90673828125,2209.2112330864275,1863.1208070317346,2076.5432629296856,2298547
2017-11-20,2145.760986328125,2232.283619565978,2134.224658783124,2226.5154557934775,1204410
2017-11-27,2197.6748046875,2295.7337808375887,2145.761322599416,2145.761322599416,1702081
2017-12-04,2601.447021484375,2601.447021484375,2105.3838363636123,2191.9064767148916,3602836
2017-12-11,2480.315185546875,2884.087560623386,2376.488053855875,2705.274118086008,3656322
2017-12-18,2399.560791015625,2549.533417738636,2255.356505305374,2463.01077565234,1964437
2017-12-25,2313.03857421875,2451.4747104477365,2226.5159228317393,2451.4747104477365,744258
2018-01-01,2307.269775390625,2416.8652416409795,2266.8926285144353,2313.0381158804294,1035128
2018-01-08,2491.8515625,2497.619903431822,2278.4291307852673,2313.038293124388,1597739
2018-01-15,2307.269775390625,2607.215001643713,2261.1244646749797,2497.6197120437073,1682274
2018-01-22,2509.15625,2636.0560417530855,2307.2699687491245,2307.2699687491245,1643802
2018-01-29,2336.111083984375,2595.6790214604994,2307.2700842756685,2595.6790214604994,1006628
2018-02-05,2382.256103515625,2388.024267407288,2070.7747234147655,2307.2697962736543,1051059
2018-02-12,2307.269775390625,2388.0242457933527,2243.819973156613,2388.0242457933527,89475
2018-02-19,2445.706298828125,2480.3152852326334,2307.2699999093584,2307.2699999093584,311629
2018-02-26,2434.169921875,2520.6925628250865,2364.951773784858,2445.7062504482965,666875
2018-03-05,2682.201416015625,2682.201416015625,2364.951841248838,2457.2426491183137,2586332
