Price,Close,High,Low,Open,Volume
Ticker,CLG,CLG,CLG,CLG,CLG
Date,,,,,
2017-01-01,4320.0,4500.0,4100.0,4280.0,62550
2017-01-08,4270.0,4380.0,4000.0,4300.0,9790
2017-01-15,4200.0,4230.0,3810.0,4000.0,21430
2017-01-22,3910.0,4250.0,3910.0,4250.0,9250
2017-01-29,4300.0,4300.0,3910.0,3910.0,28640
2017-02-05,4200.0,4600.0,4100.0,4310.0,93890
2017-02-12,4200.0,4200.0,3910.0,4160.0,19830
2017-02-19,4230.0,4330.0,4060.0,4200.0,41490
2017-02-26,4190.0,4200.0,3950.0,4010.0,47900
2017-03-05,4190.0,4200.0,3900.0,4190.0,77480
2017-03-12,4090.0,4200.0,3900.0,3910.0,36490
2017-03-19,3900.0,4100.0,3820.0,4090.0,39790
2017-03-26,4200.0,4280.0,3800.0,4030.0,69480
2017-04-02,4190.0,4440.0,3900.0,4200.0,30590
2017-04-09,4000.0,4380.0,3980.0,4050.0,39670
2017-04-16,4000.0,4190.0,3820.0,4000.0,27780
2017-04-23,4050.0,4190.0,3900.0,3900.0,39670
2017-04-30,4140.0,4180.0,3770.0,4050.0,50190
2017-05-07,4530.0,4580.0,4150.0,4290.0,315840
2017-05-14,6320.0,6320.0,4840.0,4840.0,396270
2017-05-21,6140.0,7290.0,6140.0,6760.0,845650
2017-05-28,5890.0,6160.0,5360.0,6150.0,393890
2017-06-04,5740.0,5890.0,5300.0,5500.0,108320
2017-06-11,5640.0,5800.0,5400.0,5800.0,44610
2017-06-18,5670.0,5750.0,5350.0,5690.0,84140
2017-06-25,5600.0,5800.0,5300.0,5660.0,77570
2017-07-02,6420.0,6630.0,5650.0,5890.0,244600
2017-07-09,6470.0,6800.0,5900.0,6800.0,362900
2017-07-16,6500.0,6500.0,5990.0,6470.0,376350
2017-07-23,7100.0,7100.0,6200.0,6500.0,566940
2017-07-30,6100.0,7590.0,5850.0,7550.0,515880
2017-08-06,6100.0,6490.0,5560.0,6000.0,147630
2017-08-13,5910.0,6200.0,5610.0,6100.0,204610
2017-08-20,5840.0,6100.0,5580.0,5910.0,3364320
2017-08-27,5880.0,6000.0,5500.0,6000.0,39210
2017-09-03,5880.0,6000.0,5510.0,5880.0,19300
2017-09-10,5780.0,6000.0,5460.0,5500.0,37890
2017-09-17,5880.0,6180.0,5700.0,5780.0,133030
2017-09-24,5800.0,6000.0,5500.0,6000.0,24120
2017-10-01,5800.0,6050.0,5500.0,6050.0,30210
2017-10-08,5700.0,6240.0,5470.0,5870.0,16760
2017-10-15,5920.0,6100.0,5370.0,5850.0,58020
2017-10-22,5890.0,5920.0,5480.0,5920.0,5610
2017-10-29,6000.0,6000.0,5400.0,5510.0,94380
2017-11-05,5970.0,6100.0,5580.0,6000.0,25660
2017-11-12,5900.0,6100.0,5410.0,5970.0,31680
2017-11-19,5820.0,5990.0,5430.0,5990.0,25420
2017-11-26,5480.0,6000.0,5420.0,6000.0,129260
2017-12-03,5550.0,5800.0,5480.0,5480.0,89710
2017-12-10,5600.0,5770.0,5390.0,5480.0,27070
2017-12-17,5380.0,5680.0,5210.0,5680.0,96840
2017-12-24,5010.0,5450.0,4870.0,5220.0,8730
2017-12-31,5250.0,5400.0,4670.0,5010.0,14690
2018-01-07,5090.0,5300.0,4800.0,5300.0,57500
2018-01-14,4950.0,5090.0,4800.0,5090.0,71590
2018-01-21,4790.0,5000.0,4600.0,4950.0,6080
2018-01-28,4300.0,4750.0,4300.0,4630.0,66200
