Price,Close,High,Low,Open,Volume
Ticker,CLL.VN,CLL.VN,CLL.VN,CLL.VN,CLL.VN
Date,,,,,
2017-01-02,12592.5615234375,12592.5615234375,12450.004223172169,12497.523323260613,11670
2017-01-09,12972.7138671875,12972.7138671875,12354.965587797618,12592.56107987065,35020
2017-01-16,12901.435546875,12901.435546875,12592.561399343922,12735.11869820442,3290
2017-01-23,12925.193359375,13067.750639073989,12830.155172909008,12830.155172909008,3020
2017-01-30,12925.193359375,12925.193359375,12925.193359375,12925.193359375,0
2017-02-06,12545.0419921875,12925.194779829546,12450.003795276989,12925.194779829546,20180
2017-02-13,12545.0419921875,12830.156582919035,12283.686950683594,12830.156582919035,43170
2017-02-20,12830.154296875,12830.154296875,12545.039756944445,12592.55884693287,17310
2017-02-27,12735.1171875,12830.155375466418,12592.559905550374,12830.155375466418,29270
2017-03-06,12830.154296875,12830.154296875,11903.532042100695,12711.356571903936,48240
2017-03-13,13210.306640625,13281.585273578014,12402.48213382419,12830.153931542267,54080
2017-03-20,12687.5986328125,13305.34688085206,12450.003152797284,13305.34688085206,70010
2017-03-27,13413.544921875,13565.971568714489,13210.309392755682,13464.35380415483,21860
2017-04-03,13464.3505859375,13464.3505859375,13210.306235259433,13413.541715801886,2220
2017-04-10,13464.3505859375,13464.3505859375,12702.217533903302,13464.3505859375,14200
2017-04-17,13261.1181640625,13362.735927771791,12498.984936242816,12981.669313861948,6670
2017-04-24,13210.306640625,13692.99092172476,13210.306640625002,13210.306640625002,9050
2017-05-01,13210.306640625,13337.328819861781,13210.306640625002,13210.306640625002,57150
2017-05-08,14302.0693359375,14577.109130859377,14302.069335937502,14302.069335937502,69470
2017-05-15,14412.083984375,14412.083984375,14192.052167819656,14302.068076097328,26360
2017-05-22,14577.109375,14632.117334905659,14192.053655660377,14577.109375,50280
2017-05-29,14577.109375,14577.109375,14302.069575471698,14302.069575471698,28530
2017-06-05,14412.083984375,14797.139663346852,14302.068076097328,14577.107846791509,14340
2017-06-12,14522.1025390625,14577.110503225616,14302.070682410038,14577.110503225616,22490
2017-06-19,14577.109375,14577.109375,13476.950176886792,14522.10141509434,7880
2017-06-26,14577.109375,14577.109375,14302.069575471698,14577.109375,6910
2017-07-03,15017.1728515625,15127.188769888966,14302.069382440475,14302.069382440475,6280
