Price,Close,High,Low,Open,Volume
Ticker,CLW.VN,CLW.VN,CLW.VN,CLW.VN,CLW.VN
Date,,,,,
2017-01-02,10599.7626953125,10868.111117978639,10599.7626953125,10868.111117978639,21320
2017-01-09,10733.9384765625,10868.11270751953,10599.76424560547,10599.76424560547,670
2017-01-16,10801.0234375,10868.110539596273,10801.0234375,10868.110539596273,180
2017-01-23,10733.9384765625,10801.025592041016,10599.76424560547,10801.025592041016,100
2017-01-30,10801.0234375,10801.0234375,10733.936335403727,10733.936335403727,110
2017-02-06,11337.72265625,12075.680935650887,10733.938609467456,10733.938609467456,92960
2017-02-13,12176.3125,13081.988636363636,11471.897727272728,11471.897727272728,15150
2017-02-20,12075.6806640625,12075.6806640625,11404.809516059027,11404.809516059027,60320
2017-02-27,12075.6806640625,12679.464697265625,11438.353073459202,12276.942008463542,21130
2017-03-06,12075.6806640625,12947.813156467015,11975.049991861979,12075.6806640625,2850
2017-03-13,12411.115234375,12411.115234375,11606.069921875,12377.5716796875,8790
2017-03-20,12746.5517578125,13417.422902960527,11572.527253803455,12411.116185238488,10780
2017-03-27,12411.115234375,12411.115234375,12411.115234375,12411.115234375,40
2017-04-03,12411.115234375,12478.20234375,12411.115234375,12411.115234375,2100
2017-04-10,12545.2900390625,13081.986939129345,12411.11581404579,12411.11581404579,20190
2017-04-17,12075.6806640625,12545.29046766493,12075.6806640625,12545.29046766493,20
2017-04-24,11471.8955078125,12075.679481907895,11471.8955078125,12075.679481907895,5070
2017-05-01,11404.80859375,12243.3974609375,11404.80859375,11471.895703125,5190
2017-05-08,12411.115234375,12411.115234375,11404.80859375,11404.80859375,6460
2017-05-15,14725.62109375,14725.621093750002,12411.11572821754,12411.11572821754,4050
2017-05-22,12478.2001953125,14725.617972425236,12478.2001953125,13752.855053973455,400
2017-05-29,12813.638671875,13752.8582603894,11606.070629499347,11606.070629499347,250
2017-06-05,13249.703125,13249.703125000002,11941.504588607595,12813.636946202532,7200
2017-06-12,13417.423828125,14088.29501953125,13249.706030273437,13249.706030273437,3360
2017-06-19,13048.4423828125,14490.815191195374,12243.397094412758,12478.201970196016,190
2017-06-26,13223.6953125,14093.675267269735,13223.695312499998,13536.888096217104,2500
2017-07-03,13919.6796875,14093.67568359375,13432.4908984375,14093.67568359375,7140
2017-07-10,15102.8525390625,15207.250137258785,12945.302176339286,13919.679759504608,7670
2017-07-17,14093.6767578125,15659.64084201389,12318.91746238426,14058.877555941359,2470
2017-07-24,14093.6767578125,14615.66478587963,12875.704692322532,14615.66478587963,8360
2017-07-31,13223.6953125,14476.46644736842,13223.695312499998,14476.46644736842,2250
2017-08-07,13223.6953125,13223.695312499998,13014.900123355263,13223.695312499998,6600
2017-08-14,13710.8837890625,13710.8837890625,12527.711076300762,12875.703050642449,2800
2017-08-21,13154.0966796875,13710.883840732473,12318.915938120039,13710.883840732473,360240
2017-08-28,12875.7021484375,14058.874778293919,12875.7021484375,13432.489268369933,9550
2017-09-04,14789.65625,14789.65625,12527.708823529412,12875.700735294118,4270
2017-09-11,12632.109375,15276.848527892564,11553.334194214876,13919.679752066117,7880
2017-09-18,12144.919921875,12875.703069036534,11379.337577229584,12875.703069036534,2130
2017-09-25,13571.685546875,15520.44039463141,11379.33634314904,11379.33634314904,13020
2017-10-02,13223.6953125,14511.26564555921,12875.703330592105,13919.679276315788,20100
2017-10-09,12875.7021484375,13223.69409839527,12875.7021484375,13223.69409839527,18710
2017-10-16,13223.6953125,13919.679276315788,13154.09691611842,13154.09691611842,5990
2017-10-23,12875.7021484375,13223.69409839527,12318.915028505067,13223.69409839527,23000
2017-10-30,13223.6953125,13223.695312499998,12875.703330592105,12945.301726973683,6900
2017-11-06,13328.0927734375,13919.679136749348,13223.69517991188,13223.69517991188,3010
2017-11-13,12945.298828125,13919.676159274193,12458.110162550402,12527.708543346773,2200
2017-11-20,12562.5078125,13223.692434210527,12353.712668801938,12875.700528047091,2080
2017-11-27,12423.314453125,14128.475260416666,12353.71605282738,12353.71605282738,269570
2017-12-04,12736.5048828125,13223.693594176913,12527.709720799181,12527.709720799181,1380
2017-12-11,13432.490234375,13502.088629371761,12527.711099417098,12736.506284407384,1800
2017-12-18,12423.314453125,13362.892857142857,12423.314453125,12562.511253720239,820
2017-12-25,12632.109375,14128.474948347108,11692.530991735537,12423.314178719009,13710
2018-01-01,13502.087890625,13502.087890625,12632.108000765142,12632.108000765142,1600
2018-01-08,13641.2841796875,13641.2841796875,12040.521240234375,12666.90673828125,330
2018-01-15,12875.7021484375,12875.7021484375,12040.521468538851,12736.505368454393,160
2018-01-22,13223.6953125,13223.695312499998,12005.723375822368,12875.703330592105,1730
2018-01-29,12249.3173828125,12945.301325017757,11622.93183482777,12492.911762584341,12200
2018-02-05,12249.3173828125,12249.3173828125,12249.3173828125,12249.3173828125,30
2018-02-12,12284.1171875,13014.900362960341,12284.1171875,13014.900362960341,30
2018-02-19,13014.8994140625,13989.276910302475,12284.116291882521,12284.116291882521,4060
2018-02-26,13571.685546875,13919.67748397436,12736.50489783654,13223.693609775642,10190
2018-03-05,13571.685546875,14511.26377704327,12945.300060096155,14511.26377704327,1730
2018-03-12,13641.2841796875,13780.48095703125,12875.701904296875,12875.701904296875,5900
2018-03-19,13223.6953125,13641.285690789473,13223.695312499998,13641.285690789473,2010
2018-03-26,12875.7021484375,13362.890878378379,12458.111808488176,13258.493293391048,1330
2018-04-02,13432.490234375,13432.490234375,12040.522334439767,12040.522334439767,3800
2018-04-09,12527.7099609375,13223.69384765625,12527.7099609375,12666.90673828125,30
2018-04-16,11483.7353515625,12527.711292613638,11483.735351562502,12527.711292613638,20
2018-04-23,11483.7353515625,12284.116906368372,11483.735351562502,12284.116906368372,40
2018-04-30,11031.3447265625,11831.7262051459,10718.151974073344,11483.734257935726,40
2018-05-07,10578.9560546875,11031.345622815583,10578.9560546875,11031.345622815583,30
2018-05-14,11309.740234375,11309.740234375,10578.95701923077,10578.95701923077,10
2018-05-21,11831.7255859375,12423.311865234376,10544.155448644302,10544.155448644302,80
2018-05-28,12837.1005859375,12837.1005859375,11273.374452239732,11564.300244555596,3610
2018-06-04,11891.5908203125,14655.385628703174,11891.5908203125,13709.87687846426,3080
2018-06-11,11673.3955078125,12364.344151577103,11164.275454512266,11164.275454512266,100
2018-06-18,10946.08203125,11673.396451931063,10946.08203125,11673.396451931063,10
2018-06-25,13309.8544921875,13309.8544921875,10946.08251953125,10946.08251953125,70
2018-07-02,13746.244140625,13746.244140625,11564.30062624008,12437.078031994048,70
2018-07-09,13746.244140625,14473.558645419973,12800.735284391534,12837.101009631282,1340
2018-07-16,13746.244140625,14037.169942542989,12509.809482473544,13018.929635830025,1050
2018-07-23,13528.046875,14473.555527553763,12909.829679099463,13091.658266129032,660
2018-07-30,13818.9736328125,14909.945235402962,12800.733470394736,12800.733470394736,16540
2018-08-06,13746.244140625,13818.975591104496,12946.198185350528,12946.198185350528,90
2018-08-13,13673.51171875,13673.51171875,12546.17431640625,13091.66015625,120
2018-08-20,13128.025390625,13746.242652787398,12946.196784106649,13091.65966932133,70
2018-08-27,12255.2490234375,13128.02640196124,12255.2490234375,13128.02640196124,20
2018-09-03,13200.7568359375,13746.24265560434,12182.516639226067,12255.248081848313,5130
2018-09-10,12837.1005859375,12837.1005859375,11346.105900318698,12509.809069582154,140
2018-09-17,13164.3896484375,13818.972559133288,12000.686696089435,12364.343868698204,1110
2018-09-24,13673.51171875,13746.2431640625,12655.271484375,13164.3916015625,40
2018-10-01,12218.8818359375,13818.973504929316,12218.8818359375,12800.733351934525,1630
2018-10-08,13055.2939453125,13055.2939453125,12218.882355501391,12218.882355501391,20
2018-10-15,12509.80859375,12509.80859375,12509.80859375,12509.80859375,20
2018-10-22,12509.80859375,12509.80859375,11709.7626953125,12509.80859375,20
2018-10-29,12437.0771484375,12509.80859375,10982.4482421875,11709.7626953125,430
2018-11-05,13782.609375,14218.998062335091,11709.76311015831,11709.76311015831,5470
2018-11-12,14182.6298828125,15419.064282852563,12837.098329827724,12837.098329827724,4120
2018-11-19,13018.927734375,14909.945170652933,13018.927734375,13200.75633401711,9850
2018-11-26,10582.4228515625,12327.977136356314,10582.4228515625,12291.611422089776,80
2018-12-03,10982.4462890625,11418.834883329884,10291.497681472476,11309.737734763039,310
2018-12-10,10727.8857421875,11746.125744835805,10582.422884666314,10982.445742849577,30
2018-12-17,9709.6484375,11055.180243445693,9709.6484375,10255.13430477528,240
2018-12-24,12618.904296875,12618.904296875,9964.206851134726,9964.206851134726,740
2018-12-31,11709.76171875,14218.996372767859,11709.76171875,12618.90470933618,990
2019-01-07,11600.6650390625,11855.225086941615,10218.767636290164,11709.762202439264,170
2019-01-14,9673.28125,10982.447133458647,9673.28125,10909.715695488723,40
2019-01-21,11018.8125,11018.8125,9673.280940594059,9673.280940594059,20
2019-01-28,12764.3681640625,13455.31686810007,11782.493689903846,11782.493689903846,210
2019-02-04,12764.3681640625,12764.3681640625,12764.3681640625,12764.3681640625,0
2019-02-11,13455.3154296875,13455.3154296875,11709.760995565879,12073.418169341217,180
2019-02-18,12873.4658203125,13964.4375,12327.97998046875,13455.3173828125,25150
2019-02-25,13382.5849609375,14400.825121008831,12946.196320906929,13746.242160962975,210950
2019-03-04,14546.2861328125,14546.2861328125,13528.046103515626,14255.36041015625,208810
2019-03-11,14400.8232421875,14909.943255800188,13528.046075994318,14909.943255800188,10360
2019-03-18,13818.9736328125,14837.213795230264,13491.682152035362,13491.682152035362,75200
2019-03-25,14691.7529296875,14837.215829981436,12946.198126160272,12946.198126160272,16450
2019-04-01,17455.544921875,17455.544921875,14619.018872070312,14691.750309244791,97900
2019-04-08,15564.529296875,17455.546875,15128.140625,16255.47802734375,240
2019-04-15,16291.83984375,16291.83984375,13528.04558454241,15564.52556501116,1950
2019-04-22,14546.2861328125,16328.206184082032,14000.800402832032,15164.503293457032,11610
2019-04-29,14473.556640625,14909.945283055904,14473.556640624998,14546.28808103015,5010
2019-05-06,12946.1962890625,13928.070726716116,12946.1962890625,13818.973566976827,3090
2019-05-13,14691.7529296875,14691.7529296875,12873.466676013304,12946.198126160272,1230
2019-05-20,12764.3681640625,13673.511195690882,12728.002442797364,13673.511195690882,70
2019-05-27,13252.8681640625,13290.733501674107,11965.446685267856,13290.733501674107,2130
2019-06-03,12154.7724609375,13025.67516063084,11662.523108936915,12495.56047386098,620
2019-06-10,13442.1943359375,13442.1943359375,11624.65820037412,12874.214293573943,670
2019-06-17,13404.3310546875,14350.964603747352,12533.428189552436,12571.29353151483,70
