Price,Close,High,Low,Open,Volume
Ticker,CRE.VN,CRE.VN,CRE.VN,CRE.VN,CRE.VN
Date,,,,,
2023-07-17,9480.0,9590.0,8780.0,9020.0,8686300
2023-07-24,10600.0,10700.0,9490.0,9680.0,16085600
2023-07-31,10700.0,10750.0,9950.0,10600.0,12490200
2023-08-07,10100.0,11100.0,9700.0,10800.0,12261700
2023-08-14,9580.0,10800.0,9580.0,10350.0,13002700
2023-08-21,9790.0,9860.0,8900.0,9410.0,6663800
2023-08-28,10150.0,10250.0,9550.0,9790.0,5684700
2023-09-04,10400.0,10950.0,10150.0,10150.0,10517700
2023-09-11,9400.0,10600.0,9360.0,10500.0,11128700
2023-09-18,9330.0,9960.0,9100.0,9400.0,5895700
2023-09-25,8550.0,9400.0,8200.0,9100.0,5140600
2023-10-02,7810.0,8680.0,7340.0,8680.0,4688400
2023-10-09,7950.0,8190.0,7770.0,7810.0,2686600
2023-10-16,7630.0,8050.0,7280.0,7940.0,2556700
2023-10-23,7300.0,7890.0,6900.0,7530.0,2493600
2023-10-30,7380.0,7500.0,6700.0,7300.0,2115800
2023-11-06,7930.0,8160.0,7310.0,7490.0,12932400
2023-11-13,8000.0,8170.0,7800.0,7930.0,5363100
2023-11-20,7780.0,8200.0,7550.0,7900.0,5612300
2023-11-27,7520.0,7890.0,7370.0,7780.0,2857400
2023-12-04,8480.0,8790.0,7540.0,7540.0,12152100
2023-12-11,8160.0,8550.0,8010.0,8550.0,3694100
2023-12-18,8100.0,8200.0,7810.0,8200.0,2352700
2023-12-25,8600.0,8600.0,8090.0,8090.0,2953100
2024-01-01,8650.0,8780.0,8450.0,8600.0,2909900
2024-01-08,8260.0,8940.0,8100.0,8660.0,3582700
2024-01-15,8380.0,8490.0,8000.0,8260.0,1380900
2024-01-22,8560.0,8620.0,8300.0,8390.0,1563500
2024-01-29,8370.0,8740.0,8270.0,8560.0,2233500
2024-02-05,8300.0,8500.0,7830.0,8400.0,1184000
2024-02-12,8840.0,8950.0,8310.0,8380.0,1869500
2024-02-19,8500.0,9100.0,8500.0,8830.0,4650400
2024-02-26,8650.0,8920.0,8430.0,8500.0,2530400
2024-03-04,8490.0,8870.0,8470.0,8650.0,3605000
2024-03-11,8700.0,8800.0,8300.0,8480.0,3502300
2024-03-18,8910.0,9100.0,8400.0,8720.0,3649400
2024-03-25,8980.0,9300.0,8700.0,8910.0,2919900
2024-04-01,8770.0,9490.0,8370.0,8900.0,7548300
2024-04-08,8970.0,9010.0,8410.0,8410.0,4454700
2024-04-15,7890.0,9060.0,7810.0,8970.0,3268500
2024-04-22,8090.0,8210.0,7830.0,7830.0,948300
2024-04-29,8100.0,8230.0,7980.0,8090.0,398900
2024-05-06,8190.0,8400.0,8000.0,8010.0,822800
2024-05-13,8440.0,8760.0,8180.0,8180.0,929200
2024-05-20,8200.0,8650.0,8200.0,8460.0,1732400
2024-05-27,8080.0,8430.0,8040.0,8150.0,2054700
2024-06-03,8140.0,8260.0,8080.0,8080.0,812000
2024-06-10,8140.0,8300.0,8080.0,8140.0,1131300
2024-06-17,7900.0,8160.0,7900.0,8140.0,882700
2024-06-24,8000.0,8000.0,7760.0,7860.0,572300
2024-07-01,7900.0,8080.0,7830.0,8080.0,427900
2024-07-08,7650.0,7900.0,7550.0,7820.0,639700
2024-07-15,7270.0,7790.0,7260.0,7670.0,736200
2024-07-22,6850.0,7180.0,6500.0,6950.0,652000
2024-07-29,7080.0,7240.0,6750.0,6850.0,891600
2024-08-05,7010.0,7180.0,6710.0,7180.0,552000
2024-08-12,7100.0,7190.0,6800.0,6980.0,605900
2024-08-19,7180.0,7380.0,7010.0,7200.0,630800
2024-08-26,7060.0,7320.0,7060.0,7180.0,676600
2024-09-02,6990.0,7160.0,6910.0,7030.0,358000
2024-09-09,6940.0,7170.0,6850.0,7010.0,412000
