Price,Close,High,Low,Open,Volume
Ticker,D2D.VN,D2D.VN,D2D.VN,D2D.VN,D2D.VN
Date,,,,,
2023-07-17,18329.595703125,21223.742393092107,18269.300980417353,21163.44767038446,680900
2023-07-24,19629.9140625,20586.66617647059,19332.99099264706,20454.70036764706,378000
2023-07-31,19596.921875,19794.87058080808,19365.981718223906,19365.981718223906,216500
2023-08-07,19135.04296875,20124.7865705819,19003.077155172414,19662.906223060345,240200
2023-08-14,18343.24609375,19662.904086106115,18343.24609375,19069.057989545865,210800
2023-08-21,19003.076171875,19135.041978624133,18211.281331380207,18343.24713812934,284900
2023-08-28,18937.09375,19135.042465156796,18805.12793989547,19135.042465156796,79100
2023-09-04,19959.828125,19992.81957644628,18805.127324380162,18937.09313016529,275000
2023-09-11,18937.09375,20652.649281358885,18904.102297473866,20388.717661149825,279400
2023-09-18,18475.212890625,19036.06756766183,18211.281277901788,18871.110309709824,244900
2023-09-25,17947.349609375,18607.178639131434,17485.469288545497,18475.212833180147,115800
2023-10-02,17650.42578125,18541.194932827104,17287.519830607478,17980.340281834113,88200
2023-10-09,17584.443359375,18376.238182311212,17518.46045746365,17551.451908419323,159400
2023-10-16,17287.51953125,17617.434026121184,16759.656339456105,17584.442576634065,202800
2023-10-23,16693.673828125,17122.562681416748,16033.84482306077,17023.588330657116,121200
2023-10-30,16363.7607421875,16627.692367061492,15505.982961347027,16627.692367061492,134800
2023-11-06,16297.77734375,16396.751700088564,15670.93975360577,16165.811535298584,301700
2023-11-13,16297.77734375,16495.726056427127,16066.83717896002,16297.77734375,110200
2023-11-20,16627.69140625,17353.503332713295,16264.785443018354,16264.785443018354,265400
2023-11-27,16462.734375,16891.623246492985,16264.78566508016,16627.691633266535,64900
2023-12-04,16429.744140625,16726.667227503764,16429.744140625,16462.73559472264,118000
2023-12-11,16429.744140625,16825.641589796687,15835.89796686747,16429.744140625,161300
2023-12-18,16693.673828125,16825.639629137848,16396.750775846096,16429.742226099308,82000
2023-12-25,16627.69140625,16693.674308655754,16495.725601438495,16561.70850384425,81100
2024-01-01,16660.68359375,16759.657951732675,16495.726330445545,16627.69214108911,77800
2024-01-08,17155.5546875,17419.48629807692,16825.640174278844,16825.640174278844,150900
2024-01-15,17122.564453125,17419.48753612717,16726.66700912211,17155.55590679191,86200
2024-01-22,19728.88671875,19728.88671875,17089.570769753343,17155.55366847826,640700
2024-01-29,20949.572265625,20949.572265625,19596.922717765745,19827.862884473423,583800
2024-02-05,23094.015625,23192.98997767857,21048.54566964286,21114.52857142857,744200
2024-02-12,23159.998046875,23192.989497084225,22599.1433933182,23094.015146456553,325400
2024-02-19,23225.982421875,23621.8798495206,22698.119185014206,23127.008064963604,362400
2024-02-26,23456.921875,23489.913326300986,22896.067202883263,23094.015910689173,407600
2024-03-04,23555.896484375,23819.82809764531,23094.01616115196,23555.896484375,285200
2024-03-11,23753.84375,25073.50173611111,23555.89505208333,23555.89505208333,342500
2024-03-18,27910.767578125,29461.365776909723,23094.01572658097,23621.878943188534,518600
2024-03-25,29098.458984375,31275.894690688776,26789.057477678572,27118.971978635203,779600
2024-04-01,28702.564453125,29164.444800646554,28042.73538523707,29098.46189385776,230600
2024-04-08,28636.580078125,28834.528788342453,28174.699754284273,28702.562981530817,261300
2024-04-15,28108.71484375,30352.13339935446,27613.843103543135,28636.57803330399,231900
2024-04-22,28240.681640625,28570.596145772488,27844.784234448016,27844.784234448016,136000
2024-04-29,28966.4921875,29230.423779185647,28240.680310364463,28240.680310364463,72100
2024-05-06,30022.220703125,30286.15231370192,29032.47716346154,29560.340384615385,285000
2024-05-13,29989.228515625,31011.9634815044,29428.37385691694,30385.125921771865,400800
2024-05-20,29197.43359375,30022.219853460454,29197.43359375,29989.228403072037,183800
2024-05-27,31341.87890625,32067.690838815786,29065.46875411184,29197.434560032892,569400
2024-06-03,31407.861328125,31671.792935924368,30814.015210576417,31341.878426175153,209800
2024-06-10,31275.89453125,31638.80048045227,30879.997132120254,30879.997132120254,164600
2024-06-17,32199.65625,32628.545113985656,31077.946913422133,31308.887070952867,292900
2024-06-24,32067.69140625,32562.563187210646,31737.776885609568,32463.58883101852,196100
2024-07-01,31935.724609375,32265.63911980243,31869.741707289515,32001.707511460485,141600
2024-07-08,32001.70703125,32331.621536726805,31803.75832796392,31803.75832796392,196400
2024-07-15,30945.982421875,32331.623425839553,30088.20465751599,31935.725996135396,287800
2024-07-22,29626.322265625,30879.99737263363,29164.44196304287,30814.014472264753,102600
2024-07-29,26393.162109375,29362.392846679686,25667.350151367187,29362.392846679686,223300
2024-08-05,27118.97265625,27448.887165450124,24776.579640929136,25073.502699209246,109300
2024-08-12,26393.162109375,27514.871499023437,25370.42707763672,27184.956972656248,102100
2024-08-19,26492.134765625,27052.989424424035,25799.314304755604,26954.015072871265,307000
2024-08-26,26459.14453125,26987.007763793645,26030.255654808294,26459.144531250004,108900
2024-09-02,26459.14453125,26690.084695487843,26327.17872311409,26327.17872311409,149000
2024-09-09,26393.162109375,27184.956972656248,26294.187751464844,26426.153562011717,162400
2024-09-16,27910.767578125,28372.64789265662,26591.109536606087,26657.092438682033,366500
2024-09-23,30682.05078125,31011.96530577957,27910.76877520161,28009.74313256048,299700
2024-09-30,31869.740234375,32925.46661895057,30022.219061367756,30022.219061367756,1333900
2024-10-07,24248.716796875,32133.673687287417,23852.819379783163,32133.673687287417,2048100
2024-10-14,26894.2734375,29828.194176136363,26812.775639204545,29746.69637784091,695400
2024-10-21,26201.54296875,27301.763280034993,25671.807263316485,26894.274275855365,366300
2024-10-28,26079.296875,26894.27490234375,25875.552368164062,26894.27490234375,432900
2024-11-04,26446.037109375,27709.253057588598,25671.80797982473,26079.296995377503,627000
2024-11-11,25549.560546875,26568.2830567185,25264.318244118822,26364.5385547498,287100
2024-11-18,26405.287109375,26935.022807556907,24856.828914689428,25671.80691189236,226600
2024-11-25,26079.296875,26486.785888671875,25834.803466796875,26242.29248046875,210100
2024-12-02,26038.546875,26446.035871478874,25834.802376760566,26079.29577464789,157200
2024-12-09,25631.05859375,26446.036609449526,25508.811891395075,26079.29650238474,299800
2024-12-16,26283.041015625,26894.27452761628,25549.560801235464,25590.309702034883,119200
2024-12-23,25753.3046875,26323.78928500791,25671.806887856015,26242.291485363927,123100
2024-12-30,25834.802734375,26486.785137766165,25631.05823331526,25753.3049339511,90500
2025-01-06,25590.30859375,25997.797584096337,25019.824007265128,25834.801987957802,103800
2025-01-13,26160.79296875,26242.290766160437,25590.308386876946,25590.308386876946,156500
2025-01-20,28198.23828125,29909.692049765174,26242.291117232657,26242.291117232657,1027600
2025-01-27,28198.23828125,28198.23828125,28198.23828125,28198.23828125,0
2025-02-03,28972.46875,30154.18688466948,28035.244022503517,28524.23083684951,422400
2025-02-10,29298.458984375,29746.69688260605,28605.727687108832,28972.46778566151,436100
2025-02-17,30480.177734375,30969.16454294786,29339.208514371658,29339.208514371658,548100
2025-02-24,30317.181640625,30561.67504095262,30154.186040406585,30480.17724084341,319900
2025-03-03,31417.40234375,31784.14244892996,30276.433127634566,30317.182028210118,369600
2025-03-10,32232.380859375,33006.6099824194,31417.40283511773,31458.151736330594,438900
2025-03-17,33088.10546875,33088.10546875,32110.13190809729,32599.118688423645,373800
2025-03-24,34555.06640625,36674.00915757666,33414.09723245873,34636.56420437795,723800
2025-03-31,32273.12890625,34636.565114030935,29665.19929766414,34555.06731376263,924900
2025-04-07,33006.609375,33332.6005787037,29909.692939814813,31865.640162037034,488500
2025-04-14,32517.623046875,34229.07689144737,31376.653817160088,33006.60985960996,445900
2025-04-21,32762.115234375,33006.60863164646,30887.665855293846,32517.621837103547,262800
2025-04-28,32762.115234375,33006.60863164646,32599.11963619403,33006.60863164646,86100
2025-05-05,35655.2890625,37162.99842857143,32762.117035714287,32762.117035714287,685800
2025-05-12,36266.51953125,36837.00410814607,35655.28605600422,35655.28605600422,1684000
2025-05-19,27709.251953125,37896.476935891544,27627.754153262867,37081.49893727022,4693900
2025-05-26,33700.0,34250.0,32700.0,33700.0,1081800
2025-06-02,33750.0,34100.0,33600.0,33650.0,533600
2025-06-09,33650.0,33800.0,33600.0,33600.0,335800
2025-06-16,33750.0,34000.0,33350.0,33350.0,309600
2025-06-23,33700.0,34500.0,33500.0,33900.0,363700
2025-06-30,34300.0,34700.0,34100.0,34600.0,439100
2025-07-07,35450.0,35750.0,34450.0,34650.0,661300
2025-07-14,35900.0,36200.0,35000.0,35400.0,455800
2025-07-21,37400.0,39350.0,37100.0,39350.0,1762200
2025-07-28,37750.0,39000.0,37200.0,38300.0,1500100
2025-08-04,38300.0,38500.0,37400.0,37900.0,1064200
2025-08-11,38650.0,40000.0,38500.0,40000.0,1254400
2025-08-18,36800.0,38550.0,36800.0,38100.0,700200
2025-08-25,37600.0,38300.0,35700.0,36300.0,510800
2025-09-01,37200.0,37600.0,36800.0,37600.0,153300
2025-09-08,37400.0,37850.0,36450.0,37050.0,512500
2025-09-15,36550.0,37500.0,36550.0,37400.0,279900
2025-09-22,36550.0,36700.0,36200.0,36600.0,335100
2025-09-29,36300.0,36900.0,36300.0,36400.0,378500
2025-10-06,36600.0,36650.0,36100.0,36200.0,302700
2025-10-13,36350.0,36850.0,36200.0,36800.0,177600
2025-10-20,35000.0,36200.0,33700.0,36050.0,395400
2025-10-27,36350.0,36700.0,35150.0,35400.0,158400
2025-11-03,34600.0,36300.0,34600.0,36300.0,366100
2025-11-10,36000.0,36350.0,34650.0,34650.0,154400
2025-11-17,35800.0,36200.0,35550.0,36000.0,97900
2025-11-24,35450.0,36000.0,35300.0,35700.0,206500
2025-12-01,35400.0,35700.0,35200.0,35500.0,102100
2025-12-08,35000.0,35650.0,35000.0,35300.0,153700
2025-12-15,34600.0,35100.0,34550.0,35000.0,183800
2025-12-22,34600.0,34800.0,34200.0,34600.0,201300
2025-12-29,35200.0,35750.0,34350.0,34600.0,189300
2026-01-05,34800.0,35400.0,34450.0,35200.0,228900
2026-01-12,36500.0,37000.0,34800.0,34800.0,428400
2026-01-19,35800.0,37000.0,35800.0,36900.0,387000
