Price,Close,High,Low,Open,Volume
Ticker,DAH.VN,DAH.VN,DAH.VN,DAH.VN,DAH.VN
Date,,,,,
2023-07-17,4800.0,5070.0,4700.0,4910.0,9825700
2023-07-24,4950.0,5020.0,4770.0,4790.0,9986800
2023-07-31,5350.0,5450.0,4890.0,5120.0,14046000
2023-08-07,5300.0,5700.0,5070.0,5400.0,15007700
2023-08-14,4760.0,5460.0,4760.0,5310.0,11965400
2023-08-21,4610.0,4770.0,4460.0,4680.0,5220400
2023-08-28,4770.0,4900.0,4570.0,4650.0,2996600
2023-09-04,4900.0,4990.0,4750.0,4770.0,3830400
2023-09-11,5010.0,5060.0,4800.0,4880.0,5717400
2023-09-18,5150.0,5250.0,4900.0,5020.0,5697000
2023-09-25,4780.0,5210.0,4640.0,5190.0,4405900
2023-10-02,4680.0,4890.0,4330.0,4780.0,1697100
2023-10-09,4680.0,4790.0,4630.0,4700.0,1585500
2023-10-16,4130.0,4700.0,4040.0,4650.0,2765800
2023-10-23,3800.0,4190.0,3690.0,4140.0,2049300
2023-10-30,3970.0,4190.0,3630.0,3810.0,1062900
2023-11-06,4050.0,4200.0,3910.0,3970.0,1699000
2023-11-13,4060.0,4160.0,4000.0,4050.0,1882500
2023-11-20,4060.0,4290.0,4000.0,4000.0,1806200
2023-11-27,4170.0,4250.0,4030.0,4110.0,1317400
2023-12-04,4400.0,4660.0,4170.0,4170.0,2108700
2023-12-11,4320.0,4500.0,4270.0,4410.0,1115100
2023-12-18,4350.0,4400.0,4220.0,4260.0,683100
2023-12-25,4400.0,4600.0,4310.0,4390.0,692200
2024-01-01,4490.0,4660.0,4200.0,4400.0,1710400
2024-01-08,4340.0,4560.0,4340.0,4500.0,958800
2024-01-15,4360.0,4440.0,4260.0,4340.0,428000
2024-01-22,4240.0,4390.0,4190.0,4360.0,455700
2024-01-29,4170.0,4300.0,4130.0,4210.0,430300
2024-02-05,4170.0,4200.0,4140.0,4170.0,358200
2024-02-12,4330.0,4360.0,4190.0,4190.0,226800
2024-02-19,4270.0,4500.0,4250.0,4360.0,1061300
2024-02-26,4370.0,4400.0,4210.0,4210.0,1332500
2024-03-04,4230.0,4400.0,4160.0,4400.0,1276000
2024-03-11,4230.0,4250.0,4180.0,4250.0,1024500
2024-03-18,4150.0,4220.0,4110.0,4150.0,1161400
2024-03-25,4130.0,4190.0,4100.0,4160.0,935600
2024-04-01,4130.0,4200.0,4110.0,4130.0,1146400
2024-04-08,4060.0,4150.0,4030.0,4140.0,676300
2024-04-15,3840.0,4080.0,3640.0,4060.0,844100
2024-04-22,3890.0,4100.0,3830.0,3840.0,478800
2024-04-29,3950.0,4000.0,3890.0,3890.0,142800
2024-05-06,3950.0,4030.0,3890.0,3980.0,764300
2024-05-13,3960.0,4000.0,3920.0,3980.0,671300
2024-05-20,4000.0,4110.0,3910.0,3980.0,1047400
2024-05-27,3950.0,4020.0,3920.0,4000.0,926500
2024-06-03,3940.0,3980.0,3910.0,3950.0,630200
2024-06-10,3980.0,4100.0,3930.0,3930.0,1277300
2024-06-17,3930.0,4010.0,3900.0,3980.0,772000
2024-06-24,3940.0,4030.0,3830.0,3930.0,1027500
2024-07-01,3890.0,3970.0,3850.0,3940.0,352600
2024-07-08,3870.0,3900.0,3840.0,3870.0,384200
2024-07-15,3720.0,3880.0,3610.0,3870.0,680800
2024-07-22,3600.0,3720.0,3550.0,3700.0,498100
2024-07-29,3490.0,3650.0,3400.0,3610.0,482800
2024-08-05,3370.0,3480.0,3290.0,3480.0,425900
2024-08-12,3400.0,3450.0,3300.0,3310.0,344800
2024-08-19,3280.0,3410.0,3120.0,3410.0,606400
2024-08-26,3300.0,3300.0,3240.0,3280.0,289000
2024-09-02,3270.0,3340.0,3230.0,3340.0,157700
2024-09-09,3130.0,3270.0,3090.0,3270.0,316000
2024-09-16,3150.0,3180.0,3110.0,3130.0,382100
2024-09-23,3230.0,3340.0,3110.0,3150.0,587300
2024-09-30,3180.0,3420.0,3100.0,3230.0,471400
2024-10-07,3150.0,3280.0,3060.0,3190.0,288400
2024-10-14,3130.0,3170.0,3050.0,3150.0,251100
2024-10-21,3100.0,3180.0,3050.0,3130.0,158000
2024-10-28,3080.0,3120.0,3050.0,3080.0,144900
2024-11-04,3100.0,3130.0,3030.0,3050.0,204700
2024-11-11,3070.0,3140.0,3050.0,3110.0,252000
2024-11-18,3060.0,3100.0,3020.0,3070.0,181000
2024-11-25,3050.0,3090.0,3040.0,3060.0,197100
2024-12-02,3030.0,3070.0,3020.0,3050.0,297600
2024-12-09,3070.0,3220.0,3020.0,3030.0,520400
2024-12-16,3050.0,3090.0,3020.0,3080.0,314400
2024-12-23,3540.0,3780.0,3050.0,3050.0,4667000
2024-12-30,3610.0,3800.0,3270.0,3460.0,1516700
2025-01-06,3490.0,3700.0,3360.0,3620.0,967000
2025-01-13,3290.0,3500.0,3170.0,3480.0,673000
2025-01-20,3310.0,3380.0,3240.0,3380.0,346100
2025-01-27,3310.0,3310.0,3310.0,3310.0,0
2025-02-03,3520.0,3650.0,3330.0,3380.0,980700
2025-02-10,3580.0,3760.0,3500.0,3520.0,1194200
2025-02-17,3590.0,3670.0,3550.0,3580.0,775800
2025-02-24,3700.0,3850.0,3530.0,3590.0,1260400
2025-03-03,3600.0,3720.0,3500.0,3700.0,886100
2025-03-10,3510.0,3600.0,3500.0,3600.0,796300
2025-03-17,3520.0,3550.0,3480.0,3510.0,623700
2025-03-24,3430.0,3540.0,3370.0,3520.0,622700
2025-03-31,3060.0,3650.0,2980.0,3430.0,1802900
2025-04-07,3080.0,3180.0,2660.0,3180.0,1432400
2025-04-14,3110.0,3180.0,3000.0,3050.0,1609800
2025-04-21,3040.0,3130.0,2890.0,3110.0,2027100
2025-04-28,3000.0,3050.0,2980.0,3040.0,149200
2025-05-05,3040.0,3090.0,2950.0,3000.0,557200
2025-05-12,3120.0,3200.0,3010.0,3040.0,900500
2025-05-19,3230.0,3300.0,3100.0,3140.0,926100
2025-05-26,3310.0,3370.0,3120.0,3260.0,1541200
2025-06-02,3330.0,3400.0,3290.0,3370.0,918200
2025-06-09,3290.0,3370.0,3100.0,3210.0,597700
2025-06-16,3290.0,3320.0,3220.0,3290.0,386600
2025-06-23,3280.0,3310.0,3240.0,3270.0,409400
2025-06-30,3290.0,3340.0,3250.0,3280.0,878300
2025-07-07,3410.0,3490.0,3310.0,3320.0,1251100
2025-07-14,3540.0,3610.0,3360.0,3400.0,1814600
2025-07-21,3480.0,3560.0,3430.0,3510.0,1667400
2025-07-28,3400.0,3530.0,3260.0,3500.0,2766800
2025-08-04,3500.0,3540.0,3380.0,3410.0,1503000
2025-08-11,4020.0,4150.0,3530.0,3530.0,4787800
2025-08-18,3820.0,4000.0,3760.0,3760.0,2213400
2025-08-25,3800.0,3810.0,3640.0,3730.0,1294400
2025-09-01,3800.0,3840.0,3760.0,3800.0,918800
2025-09-08,3910.0,3990.0,3790.0,3800.0,6181600
2025-09-15,4070.0,4460.0,3910.0,3910.0,8244700
2025-09-22,3950.0,4080.0,3750.0,3970.0,1455000
2025-09-29,4010.0,4070.0,3920.0,4000.0,835900
2025-10-06,4020.0,4030.0,3940.0,4000.0,870200
2025-10-13,3910.0,3990.0,3880.0,3990.0,1513600
2025-10-20,3720.0,3900.0,3690.0,3900.0,1692000
2025-10-27,3740.0,3750.0,3660.0,3710.0,691900
2025-11-03,3720.0,3790.0,3490.0,3750.0,651800
2025-11-10,3710.0,3730.0,3640.0,3680.0,446800
2025-11-17,3800.0,3950.0,3710.0,3710.0,748000
2025-11-24,3800.0,3850.0,3760.0,3810.0,549700
2025-12-01,3790.0,3810.0,3760.0,3800.0,327200
2025-12-08,3770.0,3810.0,3700.0,3770.0,458100
2025-12-15,3730.0,3850.0,3730.0,3770.0,1075900
2025-12-22,3710.0,3770.0,3670.0,3740.0,454900
2025-12-29,3700.0,3710.0,3580.0,3710.0,251700
2026-01-05,3620.0,3700.0,3580.0,3670.0,820500
2026-01-12,3600.0,3670.0,3580.0,3620.0,523300
2026-01-19,3530.0,3650.0,3500.0,3600.0,363100
2026-01-26,3340.0,3530.0,3240.0,3530.0,676400
2026-02-02,3610.0,3730.0,3280.0,3280.0,203700
2026-02-09,3430.0,3700.0,3420.0,3610.0,202100
2026-02-16,3430.0,3430.0,3430.0,3430.0,0
2026-02-23,3490.0,3650.0,3440.0,3450.0,160200
2026-03-02,3290.0,3480.0,3130.0,3440.0,224600
2026-03-09,3060.0,3290.0,3000.0,3290.0,288900
2026-03-16,3000.0,3060.0,2820.0,3030.0,191400
2026-03-23,3000.0,3060.0,2940.0,2950.0,158800
