Price,Close,High,Low,Open,Volume
Ticker,DBD.VN,DBD.VN,DBD.VN,DBD.VN,DBD.VN
Date,,,,,
2018-06-11,28744.40234375,30540.927699302647,28684.518499740818,30540.927699302647,81095
2018-06-18,25750.193359375,28744.402278499114,25091.467731676934,28744.402278499114,235018
2018-06-25,25151.3515625,27486.834852714244,24552.509778985896,25750.193346014104,219159
2018-07-02,25271.12109375,25750.19352027564,24073.437518616603,24312.97289560632,270026
2018-07-09,25151.3515625,25271.120922730537,23953.66799547179,24851.93067074295,112653
2018-07-16,25390.888671875,25570.54187638257,24792.046886911365,24881.87265289205,168466
2018-07-23,25480.712890625,25570.540323697413,25151.350096149068,25151.350096149068,198711
2018-07-30,24911.81640625,25630.42760456198,24552.511643367172,25450.774386847406,150133
2018-08-06,24043.49609375,24851.931352902404,23774.017116517116,24582.452375669523,90231
2018-08-13,23684.189453125,24372.85868737873,22755.984839179077,24013.553945294214,240996
2018-08-20,22755.984375,23714.13256440926,22336.79579654309,23714.13256440926,240524
2018-08-27,22755.984375,23354.826157107695,20959.460701223106,22755.984375,337620
2018-09-03,22576.33203125,22755.983555887957,21947.5483499249,22755.983555887957,82138
2018-09-10,22516.44921875,22755.98459588118,22157.142807960823,22276.912169072617,112653
2018-09-17,22636.216796875,22755.984484856253,21618.186431395778,22696.100640865625,190489
2018-09-24,22276.91015625,22696.09870090013,22157.140805959923,22576.331023156108,273943
2018-10-01,22157.140625,22336.79381269484,22157.140625,22157.140625,167509
2018-10-08,22097.2578125,22276.911008535382,21558.29989693997,22157.14165366309,257241
2018-10-15,22097.2578125,22157.14165366309,21498.416055776885,22097.2578125,161859
2018-10-22,21558.302734375,22097.26072087096,20959.46257138057,21767.897878578173,124922
2018-10-29,21857.72265625,22037.375867745293,21139.113155361352,21438.534059489335,169310
2018-11-05,23953.669921875,26738.283937396092,21977.492880877966,21977.492880877966,982235
2018-11-12,24432.744140625,25151.35367209762,23235.06047313975,23953.670004612366,328184
2018-11-19,23654.248046875,25151.35256535396,23294.943296949303,23294.943296949303,162846
2018-11-26,24073.439453125,24792.04898693303,23354.828246770634,24792.04898693303,315928
2018-12-03,24851.9296875,25061.524805201363,23893.783206294826,24073.436403259726,235819
2018-12-10,24881.87109375,25241.177480250364,23354.824805034772,24133.319745724104,132087
2018-12-17,24821.98828125,24911.814045321207,24073.43690223093,24372.85778834779,153709
2018-12-24,24133.322265625,24582.452786827656,23654.24814863232,24582.452786827656,71169
2018-12-31,24013.5546875,24432.743287463756,23714.133781084096,24133.322381047852,53424
2019-01-07,23953.669921875,24552.51175354919,23654.249006037906,23953.669921875,171741
2019-01-14,23953.669921875,24342.918283245654,23833.902224558693,23833.902224558693,206848
2019-01-21,23534.48046875,23953.6690669421,23414.712775708333,23953.6690669421,96895
2019-01-28,23774.017578125,24193.206177211854,23414.7128256868,23654.24821228142,125423
2019-02-04,23774.017578125,23774.017578125,23774.017578125,23774.017578125,0
2019-02-11,24133.322265625,25151.352673551613,23474.596609169763,25151.352673551613,90303
2019-02-18,24073.439453125,24522.569993618432,23953.670082459437,24133.323302184614,25795
2019-02-25,24821.98828125,24911.814045321207,24013.553059516787,24013.553059516787,109779
2019-03-04,26289.15234375,27426.952112729257,24552.510767154952,24552.510767154952,329055
2019-03-11,27067.646484375,27486.835067085674,25929.8467523152,26319.093412871265,474357
2019-03-18,25690.310546875,26947.878008884683,24672.28014252103,26438.86197043457,88486
2019-03-25,26309.96484375,27017.717837680757,23878.985225841774,26340.736563581908,79692
2019-04-01,26217.650390625,26463.82589095122,25848.387999584975,26463.82589095122,118058
2019-04-08,26833.087890625,26833.087890625,25848.387622580794,26094.563119316488,371082
2019-04-15,26771.544921875,27140.807314090758,26463.8259752121,26833.08836742786,199512
2019-04-22,26463.82421875,26586.91282058466,25909.92980774025,26463.82421875,146887
2019-04-29,26156.10546875,26463.82439706232,25909.929982320446,26463.82439706232,39495
2019-05-06,26033.01953125,26156.106419489573,25356.038208135233,25571.440262554483,240696
2019-05-13,26033.01953125,26156.106419489573,25263.721323056994,26156.106419489573,139465
2019-05-20,26217.650390625,26463.82589095122,25294.493553575638,25294.493553575638,261359
2019-05-27,26956.17578125,27386.98159990158,25848.38693486233,26156.10586787018,511552
2019-06-03,26894.6328125,27079.263144220076,26340.738379542665,26956.176256406692,304102
2019-06-10,25848.388671875,26894.63414574854,25540.669718188426,26894.63414574854,237678
2019-06-17,26094.5625,26402.281433891716,25725.30012310965,25848.387009106922,118216
2019-06-24,26463.82421875,26586.91282058466,25848.386366272163,26094.561851042996,272041
2019-07-01,27079.26171875,27694.699563216975,26494.595594616527,26771.54279651651,546271
