Price,Close,High,Low,Open,Volume
Ticker,DBT.VN,DBT.VN,DBT.VN,DBT.VN,DBT.VN
Date,,,,,
2020-10-26,9219.8984375,11440.749210090611,9085.301224570841,11440.749210090611,86983
2020-11-02,9388.1455078125,9758.287179898029,8917.055686100946,9758.287179898029,16214
2020-11-09,9118.951171875,10027.481751934716,8580.563194391067,9388.145623579941,67298
2020-11-16,8950.7041015625,8950.7041015625,8681.509672999793,8950.7041015625,12959
2020-11-23,8614.2119140625,9085.301722152144,8412.316546574342,8883.406354663986,17186
2020-11-30,8479.6142578125,8748.80868457431,8277.718900704074,8614.211471193405,58254
2020-12-07,9758.287109375,10229.376927681993,8176.771356910519,8479.61487767401,161904
2020-12-14,9018.0029296875,9758.287201416968,8950.704780405704,9758.287201416968,100731
2020-12-21,9219.8984375,9421.793793930809,8748.808655210873,9152.59936807249,153649
2020-12-28,9152.599609375,9421.79404233046,8849.75610378158,9219.898680576809,43757
2021-01-04,9680.8935546875,9892.884296220263,9152.600034195213,9152.600034195213,8093
2021-01-11,9822.2197265625,9963.546569150933,9468.90308305435,9680.892883974067,12865
2021-01-18,9292.244140625,9892.883935801281,8903.595079258204,9822.22004922282,7471
2021-01-25,9186.25,9539.566666666668,8126.297222222222,9539.566666666668,5513
2021-02-01,9468.9033203125,9468.9033203125,8832.932049766365,8832.932049766365,5244
2021-02-08,9539.56640625,9892.883989197522,9468.903445216036,9468.903445216036,2871
2021-02-15,9504.2353515625,9680.893687988342,9327.577015136658,9539.56683366248,5044
2021-02-22,9688.623046875,9912.2060546875,9315.9833984375,9837.6787109375,84168
2021-03-01,9241.455078125,10023.998046875,9055.1357421875,9688.623046875,4466
2021-03-08,9465.0390625,9800.4140625,9241.455078125,9241.455078125,5312
2021-03-15,9465.0390625,9688.623046875,9204.19140625,9465.0390625,9041
2021-03-22,9166.927734375,9465.0390625,8980.607421875,9390.5107421875,6815
2021-03-29,9204.19140625,9427.775390625,8980.607421875,9166.927734375,13281
2021-04-05,9241.455078125,9353.2470703125,9017.8720703125,9166.927734375,6840
2021-04-12,9017.8720703125,9315.9833984375,9017.8720703125,9241.455078125,9080
