Price,Close,High,Low,Open,Volume
Ticker,DC4.VN,DC4.VN,DC4.VN,DC4.VN,DC4.VN
Date,,,,,
2021-03-15,10901.1240234375,11598.796404119303,10377.869972662273,10552.288302568848,16547
2021-03-22,13255.7666015625,13342.975765325711,10726.70648609629,10813.9156498595,49246
2021-03-29,15610.4111328125,16177.26885081027,13255.767336445298,13255.767336445298,38617
2021-04-05,14215.06640625,15610.411235068772,14215.06640625,15610.411235068772,43094
2021-04-12,14084.2529296875,14433.088651029762,13953.439182079965,14215.065738350537,53326
2021-04-19,14215.06640625,14651.112252096205,13953.439837686821,14215.06640625,10119
2021-04-26,14563.90234375,14651.111508493022,13779.020800007287,14389.484014263953,15809
2021-05-03,14040.6484375,14563.902492352661,13866.230106234278,14563.902492352661,9876
2021-05-10,13779.021484375,14389.48472895177,13604.604085170597,14215.066390802824,7869
2021-05-17,14215.06640625,14389.484744588482,13691.81326912364,14040.649006856062,10338
2021-05-24,13822.6259765625,14563.902969798464,13342.976488802005,14215.06629583117,7792
2021-05-31,13037.7451171875,13822.625742430271,12645.304804566114,13779.02115892295,6767
2021-06-07,12819.72265625,13168.559336733073,12209.260343293729,13081.350166612305,59313
2021-06-14,12645.3046875,13081.349579591948,12383.677188878126,12819.722080970072,88088
2021-06-21,12863.3271484375,12994.14090267418,12383.677655180883,12732.514333145366,77173
2021-06-28,12558.095703125,12994.140601530567,11947.632469779397,12994.140601530567,84119
2021-07-05,12819.72265625,13277.56986043948,12558.096084832248,12558.096084832248,12810
2021-07-12,12270.3056640625,12819.72248974276,11720.889777326782,12819.72248974276,18690
2021-07-19,12361.875,12636.58387583461,11904.0278125535,12361.875,53235
2021-07-26,12545.0146484375,12636.584276619951,12178.737074652245,12361.875392072598,64155
2021-08-02,12407.66015625,12636.584225785205,12361.875342342959,12545.014597971123,38220
2021-08-09,12361.875,12545.014250556407,11446.180625107001,12545.014250556407,103110
2021-08-16,12819.72265625,13735.41706462896,12453.445080687326,12453.445080687326,84525
2021-08-23,13231.7841796875,13231.7841796875,12270.305019954343,12819.721816793932,61215
2021-08-30,12819.72265625,13460.709117693094,12728.153966567746,13277.56986043948,197610
2021-09-06,13140.2158203125,13826.986129103665,12728.153447248898,12865.506945640422,835275
2021-09-13,13323.3544921875,13918.556131161346,12636.584164786136,13140.216176387921,1069320
2021-09-20,13277.5693359375,14239.048520648686,13002.861399853384,13369.138960947046,20243580
2021-09-27,12316.08984375,13506.493061266136,11812.457857715404,13094.43069795501,949200
2021-10-04,12819.72265625,12819.72265625,11858.243433557636,12316.090637747116,20661690
2021-10-11,13552.2783203125,13552.2783203125,12178.736750920481,12819.722253270042,1091370
2021-10-18,17031.916015625,17031.916015625,13552.277865515263,13552.277865515263,1838970
2021-10-25,19046.4453125,19229.584570868097,17031.91722622914,17031.91722622914,982905
2021-11-01,23487.564453125,23487.564453125,19046.445017938815,19046.445017938815,1573425
2021-11-08,24082.763671875,25090.027637370407,22709.221217876177,25090.027637370407,1427055
2021-11-15,22800.791015625,24128.548668787942,21060.971937610793,24082.76385737236,877590
2021-11-22,21427.251953125,23533.3496722774,19595.86312200703,23533.3496722774,913185
2021-11-29,20832.048828125,21976.667287691125,20328.417757533785,20969.403268619626,580545
2021-12-06,20511.556640625,21060.972514779573,19046.44451306441,19412.723014426818,634725
2021-12-13,22114.021484375,22114.021484375,20419.98715939646,21060.972663415327,698250
2021-12-20,22434.515625,23808.05628655544,21793.528230244312,23624.917030910954,857535
2021-12-27,21381.466796875,22892.361901148968,20877.83384352428,22434.515639628316,618870
2022-01-03,26188.861328125,26188.861328125,21381.46553703077,21381.46553703077,737415
2022-01-10,29851.638671875,34201.188221992656,27837.110735930462,28020.249980632507,1996155
2022-01-17,25547.875,31911.95275187288,22709.222222222223,29851.639918699017,1459710
2022-01-24,23624.916015625,25639.443985361344,22892.36090241788,25502.089549530818,726285
2022-01-31,23624.916015625,23624.916015625,23624.916015625,23624.916015625,0
2022-02-07,23350.208984375,24632.1799609576,21701.95763494322,23991.1944726663,671580
2022-02-14,22800.791015625,23624.91574321652,21610.389674597798,22892.360638456168,743925
2022-02-21,24082.763671875,25639.44349223655,22800.79084000203,22800.79084000203,4430370
2022-02-28,24540.611328125,25181.59872018727,23716.48655907688,24082.76506882675,3037860
2022-03-07,23441.779296875,24494.828122936888,22434.51528402837,24265.904056860596,1756545
2022-03-14,23029.71484375,23991.1939960296,22434.514179153666,23441.778142393672,890610
2022-03-21,22892.361328125,23716.48608054459,21976.666950115563,22892.361328125,1504755
2022-03-28,21473.03515625,22892.36054879621,21335.680722541212,22434.514314322554,994875
2022-04-04,20053.708984375,22388.730729561066,19870.56972939741,21473.036332562213,729015
2022-04-11,17031.916015625,20053.70793024666,16940.34639294959,20053.70793024666,690375
2022-04-18,13643.84765625,17031.916225417164,11995.59724462358,16757.209231896184,951615
2022-04-25,14513.7578125,14513.7578125,12453.444946392894,14010.125799428142,681030
2022-05-02,14147.4794921875,15566.80582865147,13826.985812410656,14513.757044416543,386610
2022-05-09,12041.3818359375,14010.12495586539,12041.3818359375,14010.12495586539,662025
2022-05-16,12545.0146484375,13277.569796008009,11675.105058593314,12087.167446469794,579705
2022-05-23,12728.1533203125,13002.861253300433,11904.02764345969,12819.722005345475,581175
2022-05-30,12819.72265625,13140.216356443823,12682.369152254343,12819.72265625,674730
2022-06-06,12595.376953125,12819.72177671316,11858.242619986062,12819.72177671316,609884
2022-06-13,9134.052734375,12306.934210526317,8941.756887335527,12306.934210526317,722200
2022-06-20,8287.9501953125,9326.347667579032,7499.537299702726,9326.347667579032,708400
2022-06-27,8076.42529296875,8605.238853817895,7691.83361235119,8287.950717308408,429400
2022-07-04,7961.0478515625,8307.180366847826,7307.241989356884,8307.180366847826,464900
2022-07-11,8759.0751953125,8835.99352853149,7807.210821727497,7961.047488165477,417900
2022-07-18,8768.6904296875,9134.052530924479,8220.647277832031,9134.052530924479,551400
2022-07-25,8595.6240234375,8759.075486970427,8278.335888344169,8441.787351877098,428600
2022-08-01,10191.6796875,10191.6796875,8470.631891214622,8595.624189268869,1023800
2022-08-08,10191.6796875,10864.71513856132,9710.940079599057,10528.19741303066,1199700
2022-08-15,9662.8662109375,10576.27147465796,9422.496404695274,9710.940172185945,653400
2022-08-22,9807.087890625,10143.605612362131,9230.200367647058,9480.1849609375,772800
2022-08-29,9393.6513671875,9614.791573375127,9153.281577853122,9230.199910440122,429400
2022-09-05,8941.7568359375,9480.18520455309,8778.30536689348,9259.04498172883,553100
2022-09-12,8941.7568359375,9124.437889574932,8759.075782300068,9124.437889574932,453600
2022-09-19,9085.978515625,9134.052476025132,8586.009327463624,8941.756634424604,333600
2022-09-26,8643.6982421875,9085.978686170398,8412.943227935553,9037.904724867909,281200
2022-10-03,6749.583984375,8653.31280048077,6749.583984375,8643.698008480234,349800
2022-10-10,7470.693359375,7470.693359375,5951.5562283824,6749.5839617519305,324400
2022-10-17,7614.9150390625,8653.312544389204,7470.6931633226795,7470.6931633226795,674200
2022-10-24,7239.9384765625,7864.899965243194,6595.747403614708,7614.915369770916,263100
2022-10-31,6595.7470703125,7163.019777525966,6586.132278664814,6922.649986333819,126900
2022-11-07,5816.94921875,6634.2065470041325,5768.875258264463,6595.7473786157025,224100
2022-11-14,6240.0,6432.295839753467,5076.610169491525,5826.563944530046,249600
2022-11-21,6672.66552734375,6884.190947518911,5951.55614038297,6153.466768731988,276900
2022-11-28,7201.47900390625,7547.61150609667,6720.739417530666,6720.739417530666,359400
2022-12-05,6778.42822265625,7586.070734291889,6364.992175033245,7211.093853889628,207600
2022-12-12,6855.3466796875,7066.872103184169,6566.902920373861,6566.902920373861,178400
2022-12-19,6538.05859375,7326.471541819853,6441.910673253677,6730.354434742647,165600
2022-12-26,6480.36962890625,6922.650048683234,6249.614627283476,6826.502131340411,66600
2023-01-02,6922.650390625,7211.094156901042,6249.614935980903,6480.369949001736,185100
2023-01-09,6903.42041015625,7095.716243308235,6509.213952194682,6903.42041015625,34700
2023-01-16,6903.42041015625,7384.159993036212,6605.361868770674,6951.494368444246,65700
2023-01-23,6778.42822265625,7201.4790620844415,6739.969055435506,6903.4205161236705,10600
2023-01-30,6653.43603515625,7239.938344613665,6538.058531656431,6739.969162781114,97100
2023-02-06,6528.44384765625,6903.420740231499,6115.007786611745,6499.599471304308,86300
2023-02-13,6547.67333984375,6970.724187058324,6163.081660557773,6528.443755879451,118800
2023-02-20,6826.50244140625,7018.7982848261445,6163.081781607614,6711.1249353543135,123500
2023-02-27,6413.06640625,6797.658094780735,6153.467016491754,6461.140367316342,95900
2023-03-06,6489.984375,6489.984375,6288.07375,6422.680833333333,43100
2023-03-13,6336.14794921875,6470.755037669528,6115.007732478187,6278.45919702556,61700
2023-03-20,6240.0,6422.681047765794,6201.540832049306,6297.68875192604,114500
2023-03-27,6528.44384765625,6605.362184594763,6201.540915667571,6249.6148762541425,85800
2023-04-03,6336.14794921875,6922.650263182853,6249.614820928965,6470.755037669528,201500
2023-04-10,6624.591796875,7114.946196933962,6605.362212558962,6720.739718455188,239000
2023-04-17,6663.05078125,6797.657867739899,6345.762648809524,6393.836608270202,64400
2023-04-24,6730.3544921875,6730.3544921875,6441.910728236608,6653.436155133929,98200
2023-05-01,6624.591796875,6730.354510613208,6489.984706662735,6730.354510613208,23800
2023-05-08,6826.50244140625,6903.420778774208,6566.903052789393,6730.354519696302,161300
2023-05-15,7691.83349609375,7893.744125366211,6826.502227783203,6874.576187133789,702700
2023-05-22,8086.0400390625,8557.16484514343,7855.285032002453,7980.2773274933115,436900
2023-05-29,8345.6396484375,8749.460921748992,8057.195881786434,8057.195881786434,327800
2023-06-05,8634.0830078125,8797.534467871312,7980.277167577255,8461.016755985524,408600
2023-06-12,8749.4609375,8999.445535714285,8268.72132554945,8845.60885989011,380600
2023-06-19,8470.6318359375,8749.460806700483,8268.72120193672,8537.935380604427,136200
2023-06-26,8278.3359375,8701.386786803136,7903.359048344947,8701.386786803136,178500
2023-07-03,8153.34375,8595.624189268869,7711.063310731132,7711.063310731132,169900
2023-07-10,10383.9755859375,11297.380845811633,8316.795260959201,8557.165066189236,1000400
2023-07-17,10624.3447265625,10624.3447265625,9662.865565787613,10528.196810485011,939100
2023-07-24,10287.8271484375,10912.78861072576,9999.38339661215,10768.566734813085,423900
2023-07-31,10287.8271484375,10335.901107075058,9335.962767413843,10287.8271484375,695900
2023-08-07,10095.53125,10768.566666666668,9480.184583333334,10768.566666666668,618200
2023-08-14,10912.7890625,12210.78599944934,10095.531731828194,10143.605692455947,2458700
2023-08-21,11345.4541015625,11537.749933792373,9710.93952760858,10768.566604872882,1417400
2023-08-28,11633.8984375,11922.342200413224,11201.232793130166,11441.602595557852,1050200
2023-09-04,13028.04296875,14133.74403251845,11633.898149215867,11633.898149215867,1957200
2023-09-11,12691.525390625,13893.374385949337,12691.525390625,13076.117069128788,1623700
2023-09-18,13604.9306640625,14133.744223443022,12066.56394586462,12643.451465188826,1971400
2023-09-25,11441.6025390625,13604.930750229778,11008.936896829044,13604.930750229778,1933500
2023-10-02,10095.53125,11537.75,9710.939583333333,11441.602083333333,1003100
2023-10-09,11153.158203125,11345.454034213362,9807.087385506466,9903.235301050647,682300
2023-10-16,9710.939453125,11441.601929919554,9134.051960860148,11201.232141475866,522300
2023-10-23,8941.7568359375,10191.679834509408,8701.387028519825,9518.644373739919,387800
2023-10-30,9518.6435546875,9518.6435546875,8124.498791627209,8941.756066524622,249200
2023-11-06,9614.7919921875,9999.383671875,9134.052392578125,9518.644072265624,418300
2023-11-13,9460.955078125,9903.235498443852,9143.666950504954,9807.08758098323,510100
2023-11-20,9403.2666015625,9903.23578692165,9134.052424830648,9268.659513196575,349500
2023-11-27,9057.1337890625,9403.266290555335,8989.830247105561,9403.266290555335,122900
2023-12-04,9210.970703125,9422.49612637004,9028.28965577701,9057.13403167406,447000
2023-12-11,8134.11376953125,9182.126063714353,8018.736269254211,9124.437313575834,1015700
2023-12-18,7893.744140625,8172.573105397381,7595.685592075213,8172.573105397381,2269800
2023-12-25,9999.3837890625,9999.3837890625,7797.596397047777,7797.596397047777,1884300
2024-01-01,10480.123046875,10480.123046875,9595.562202551606,9999.383457568807,2092200
