Price,Close,High,Low,Open,Volume
Ticker,DMC.VN,DMC.VN,DMC.VN,DMC.VN,DMC.VN
Date,,,,,
2017-01-02,52019.78515625,52310.8049333479,47290.71377840909,49109.58738527098,128890
2017-01-09,50928.46875,53111.11741071429,50928.46875,52383.56785714286,141660
2017-01-16,49982.65234375,50928.46672580058,48018.2686271834,50928.46672580058,118670
2017-01-23,50346.42578125,50491.935682351876,49109.59162188403,50200.91588014812,42850
2017-01-30,50200.91796875,50346.4278759058,49546.12338654891,50346.4278759058,9740
2017-02-06,53256.625,54202.43937841531,48745.81796448088,50200.917008196724,252320
2017-02-13,60386.61328125,61114.16283885542,53256.62761671687,53256.62761671687,649040
2017-02-20,57112.63671875,61477.93379279459,57112.63671875,61114.15903662421,349840
2017-02-27,53474.890625,57112.63828656463,52092.54651360544,57112.63828656463,175670
2017-03-06,57840.1875,59659.061320754714,54493.459669811324,54566.214622641506,246690
2017-03-13,60750.3828125,62569.256549401194,56748.86059131737,58131.20463136228,389210
2017-03-20,65624.9609375,66934.54995842572,58931.50594165743,60750.379581832036,499190
2017-03-27,66716.296875,71299.8592557252,64751.91299754635,65115.6877896674,630220
2017-04-03,64024.359375,67298.33229758524,64024.359375,66716.2926669034,70670
2017-04-10,66134.25,67662.10396039604,62642.012376237624,64024.35643564357,92210
2017-04-17,65115.68359375,66861.80248341481,64024.3592877095,64024.3592877095,38650
2017-04-24,67443.84375,68025.88339401294,63369.566241909386,65479.45995145631,64460
2017-05-01,66352.5234375,67662.11271587171,65843.23871813323,67443.84783614309,38610
2017-05-08,66934.5625,71299.86005434782,65552.21827445652,66352.52282608696,82410
2017-05-15,75665.1484375,76465.4528921274,65843.23013070914,67080.06428786059,231150
2017-05-22,84395.734375,85123.28380926725,75301.36644665948,76392.69059806035,197710
2017-05-29,81485.5390625,84395.73688616072,78575.34123883929,84395.73688616072,73740
2017-06-05,83304.4375,83304.4375,80030.46397379912,80030.46397379912,65930
2017-06-12,89488.5859375,90216.13541666667,80030.44270833333,82576.86588541667,135080
2017-06-19,94581.4296875,98873.97149639424,89124.80874399039,90216.13293269232,160170
2017-06-26,94581.4296875,95090.71430889424,92398.78131009616,94581.4296875,99200
2017-07-03,95163.4765625,96691.33054400801,92980.82801748853,93126.33792048928,30020
2017-07-10,99674.2734375,101856.92176094891,93126.32846715329,93199.08341126825,74780
2017-07-17,90066.3515625,101140.0833119877,90066.3515625,101140.0833119877,20130
2017-07-24,89328.1015625,91542.8478822314,81207.36505681818,88589.8527892562,123610
2017-07-31,88958.9765625,91542.84725103735,86965.70488848549,88589.85217842324,27410
2017-08-07,88589.859375,91099.905390625,87482.4861328125,88958.9837890625,30060
2017-08-14,85932.1640625,89328.10869039949,84898.61569748711,89254.28380718427,20240
2017-08-21,84824.78125,86005.97924825935,81945.61112924282,82462.38525348129,2103670
2017-08-28,86227.453125,86375.10287350172,84824.78051423373,84898.60538848459,35040
2017-09-04,80469.109375,86227.44931192661,74636.94456708715,86227.44931192661,65690
