Price,Close,High,Low,Open,Volume
Ticker,DPG.VN,DPG.VN,DPG.VN,DPG.VN,DPG.VN
Date,,,,,
2018-05-21,22902.83203125,24463.4297672351,18157.770342258398,18157.770342258398,631785
2018-05-28,21764.017578125,22565.407414792433,20709.56072666162,22565.407414792433,902874
2018-06-04,22354.515625,22649.762785821586,21300.05703071282,21932.73149529689,688653
2018-06-11,21890.552734375,22481.050506573356,21510.94875364662,22143.623208174296,489615
2018-06-18,21806.193359375,21932.728581475392,20372.130968844627,21721.836544641406,439887
2018-06-25,21342.234375,21932.73039704548,20667.38153123795,21806.195164470628,512169
2018-07-02,19781.63671875,21089.164001071535,18769.35658374305,21089.164001071535,592158
2018-07-09,16786.974609375,20245.597371057796,15774.694481326535,18980.248508475088,694050
2018-07-16,14741.3271484375,16786.97590250439,14720.237076452251,16786.97590250439,651084
2018-07-23,16576.0859375,17293.1173365828,14720.238945773428,14720.238945773428,477687
2018-07-30,17883.61328125,18895.89350678858,16512.81739478723,16576.084152021223,1442532
2018-08-06,17082.22265625,17925.78910038763,16829.152204017584,17883.610691682225,634473
2018-08-13,18052.32421875,18136.681035657282,16449.54642748207,17630.540134213596,1016295
2018-08-20,19528.568359375,19528.568359375,18052.327273624036,18136.684104806456,775152
2018-08-27,21932.73046875,22354.514578711784,19528.566231879362,19528.566231879362,1524348
2018-09-03,21510.947265625,22902.831315296302,20013.61632751301,21932.729629476435,1137822
2018-09-10,21932.73046875,22059.265701738535,20793.916831794202,21510.948088758727,596253
2018-09-17,22354.515625,22945.01167661376,21510.949095564374,22101.445147178136,843087
2018-09-24,22354.515625,22565.407689851556,21679.662747445618,21890.55308232658,1001973
2018-10-01,21426.591796875,22354.515131777876,20372.13322585302,21890.55259934116,500430
2018-10-08,21384.412109375,21932.729703216493,20245.59678219757,21637.482566518975,529158
2018-10-15,21468.76953125,21721.838265529506,20920.45019204166,21384.412709833334,591381
2018-10-22,18094.50390625,21300.05625543596,18094.50390625,21215.699432565747,1656228
2018-10-29,19317.67578125,20034.70709776466,17293.11534523277,18094.505220716357,761565
2018-11-05,18769.357421875,19402.03188576702,17925.79089336211,19359.853472842846,253113
2018-11-12,18685.0,19191.13920897433,17925.79032155324,18136.68237944693,317436
2018-11-19,20414.310546875,21089.163373472988,18642.82079582374,18642.82079582374,504063
2018-11-26,19823.814453125,21004.80646201239,19106.781489907822,21004.80646201239,431655
2018-12-03,21595.3046875,21932.73024201063,19612.922851114392,19823.814903915096,838383
2018-12-10,22101.447265625,22481.05301874341,21215.702238319474,21595.307991437883,1074129
2018-12-17,21342.763671875,22196.474148719055,21001.280531601544,22196.474148719055,509964
2018-12-24,21726.935546875,21983.04748056624,20915.910630176342,21556.193090565026,472311
2018-12-31,21641.560546875,22153.7860757569,21129.33326721969,21726.93176015089,685797
2019-01-07,24202.689453125,24330.74626118851,21342.75932535977,21684.244146862457,1245615
2019-01-14,21428.134765625,24330.751069728532,21428.134765625,24330.751069728532,1521240
2019-01-21,18077.3203125,20659.79539318868,18077.3203125,20275.624895360517,2873766
2019-01-28,19208.484375,19421.910636907178,16818.09413452574,16818.09413452574,806379
2019-02-04,19208.484375,19208.484375,19208.484375,19208.484375,0
2019-02-11,19165.80078125,19635.34070758662,18568.202283109935,19635.34070758662,914319
2019-02-18,18995.05859375,19208.486631502725,18610.888125795096,19165.80102395218,361032
2019-02-25,20275.623046875,20915.907151548596,18995.05833907467,18995.05833907467,1490454
2019-03-04,20382.337890625,20574.42224617781,19720.71185944225,19720.71185944225,584052
2019-03-11,22196.474609375,22324.531446175286,20531.73923251858,21193.365347266565,924609
2019-03-18,25824.740234375,26891.87860784967,22111.09960508528,22196.47081502512,2949093
2019-03-25,25184.4609375,27318.737940966414,24885.661666798107,24885.661666798107,1601397
2019-04-01,26550.39453125,26891.879380824943,24501.490686120527,25184.45863449702,1393959
2019-04-08,25184.4609375,26465.025738961,24458.80731656896,25739.37211802996,466956
2019-04-15,24757.603515625,25611.313921309535,24586.862835106862,25184.459593854,366324
2019-04-22,25952.798828125,26208.912475498902,24117.32119015896,24117.32119015896,723828
2019-04-29,25910.111328125,26166.22495679602,25824.740118567992,25952.796932903504,147189
2019-05-06,25611.31640625,26699.79863595731,25291.175191903247,25782.0588541079,836689
2019-05-13,24520.10546875,25810.63631403215,24520.10546875,25358.95016530359,480074
2019-05-20,25875.16015625,26262.3186478355,24520.101906903234,24842.7345713574,621530
2019-05-27,25488.0,26649.47900809887,25036.313915116967,25875.160257499214,681506
2019-06-03,24971.7890625,25423.47516501447,24649.156384189497,24971.7890625,501942
2019-06-10,24520.10546875,25939.689751440168,24520.10546875,25036.317453983054,1005802
2019-06-17,23745.78515625,24520.10396893658,22971.46634356342,24520.10396893658,854854
2019-06-24,23616.728515625,24713.67987074786,23294.09586790643,23390.885485782135,581546
2019-07-01,24068.416015625,24520.102102340752,23616.729928909244,23616.729928909244,575554
2019-07-08,23874.837890625,24165.206775278504,23423.15178267587,23939.363721303936,524496
2019-07-15,24326.525390625,25036.31662630553,24068.418524341738,24068.418524341738,1367884
2019-07-22,25746.107421875,26649.47961211623,23552.202775118243,24132.94229233029,1332226
2019-07-29,29682.23046875,30004.86137573345,25746.107290449698,25746.107290449698,1518160
2019-08-05,30972.765625,32779.51025705168,29682.234753191115,29682.234753191115,2754122
2019-08-12,31037.287109375,31940.659247334388,29714.489168393826,31230.866349109525,3676806
2019-08-19,34134.55859375,35037.93064149084,31037.284009723415,31037.284009723415,3344866
2019-08-26,28875.6484375,35037.938772932735,28875.6484375,34328.145780868464,4312784
2019-09-02,28714.33203125,29940.33518112129,26907.58757560998,28875.64749227564,1730358
2019-09-09,28488.48828125,28778.857162671622,26455.900818102127,28423.960686890416,1075872
2019-09-16,27423.798828125,29359.59666231247,27133.429946976357,28649.80371141734,1146278
2019-09-23,28649.8046875,28907.911544691575,27165.692905246797,27423.79976243837,618870
2019-09-30,30779.181640625,31295.391793135343,28198.116762883004,28520.74943150106,1225084
2019-10-07,28811.123046875,30972.76409092842,28198.11967804831,30972.76409092842,1363684
2019-10-14,29391.86328125,29843.549427111586,28585.28062586874,28811.123698799533,611968
2019-10-21,28875.6484375,29133.755300868634,27165.693555380953,28069.065812772227,1409380
2019-10-28,29585.44140625,30198.443000768766,28875.648414745072,28875.648414745072,967988
2019-11-04,30650.130859375,31037.292940377934,29166.02072339099,29391.86380031017,1085350
2019-11-11,31747.078125,32005.18496762892,30424.283644224703,30811.445672566875,1218798
2019-11-18,30327.49609375,31747.07844952385,29811.282403215348,31747.07844952385,952742
2019-11-25,29456.38671875,31198.605324234828,29295.071259448858,30327.496903691845,743372
2019-12-02,28520.75,29811.282464594948,27552.851974852907,29424.12219589682,384202
