Price,Close,High,Low,Open,Volume
Ticker,DRL.VN,DRL.VN,DRL.VN,DRL.VN,DRL.VN
Date,,,,,
2017-01-02,15100.20703125,15100.20703125,14112.343019859813,14797.799680824432,1270
2017-01-09,14717.154296875,15946.94390250428,14313.944590111301,15100.203518300514,100
2017-01-16,15321.97265625,15745.342953330592,14676.836965460527,14717.157946134868,1300
2017-01-23,15725.1796875,15886.46358173077,15321.969951923076,15523.574819711539,310
2017-01-30,15725.1796875,15725.1796875,15725.1796875,15725.1796875,0
2017-02-06,14938.9208984375,15725.179893092105,14938.9208984375,15725.179893092105,1570
2017-02-13,15201.0107421875,16128.393360411139,14515.554024370025,15725.18352640086,17880
2017-02-20,15725.1796875,15725.1796875,15160.686057692308,15725.1796875,4070
2017-02-27,15846.14453125,16813.84801407443,15160.687897582698,15725.181595896947,3290
2017-03-06,15321.97265625,15725.182462993422,15321.97265625,15725.182462993422,5140
2017-03-13,15846.14453125,16128.391380407125,15160.687897582698,15402.613768288806,4960
2017-03-20,15725.1796875,16995.290354567307,15563.89579326923,15805.821634615384,7230
2017-03-27,16491.279296875,16491.279296875,15725.180747631417,15886.464652735329,9550
2017-04-03,15725.1796875,15725.1796875,15725.1796875,15725.1796875,200
2017-04-10,16596.49609375,16596.49609375,15559.215087890625,15766.6712890625,7890
2017-04-17,15600.7099609375,16160.84183453499,15600.7099609375,15621.455585885555,4950
2017-04-24,16181.5830078125,16181.5830078125,15642.196907552083,15974.126815404648,9900
2017-05-01,15600.7099609375,16181.587459483046,15600.7099609375,16181.587459483046,5320
2017-05-08,16181.5830078125,16181.5830078125,15766.670622996795,15766.670622996795,5200
2017-05-15,16368.2998046875,16389.04543181638,15725.185363692173,16181.589160527565,15850
2017-05-22,15870.3994140625,16368.29429764093,15559.21511182598,16368.29429764093,2700
2017-05-29,16306.0595703125,16555.007044668415,15891.147113052639,15891.147113052639,13290
2017-06-05,16160.83984375,16389.041690067395,15808.164263077664,16181.585466142491,71660
2017-06-12,16534.259765625,16555.005386409975,16036.364866785601,16181.584212280426,28520
2017-06-19,16534.259765625,16534.259765625,16119.347349925501,16119.347349925501,7950
2017-06-26,16555.0078125,16555.0078125,16160.84095982143,16160.84095982143,15030
2017-07-03,16720.97265625,16803.95515082196,16243.823312461229,16243.823312461229,1750
2017-07-10,17011.412109375,17011.412109375,16430.534622713414,16430.534622713414,3950
2017-07-17,17011.412109375,17841.237090320123,16389.043373666158,17011.412109375,28060
2017-07-24,17592.283203125,18193.9060956847,17218.86209739829,18193.9060956847,25390
2017-07-31,18588.076171875,18671.058654785156,17633.777618408203,17633.777618408203,41900
2017-08-07,18588.076171875,18671.058654785156,18505.093688964844,18505.093688964844,17410
2017-08-14,18463.6015625,18837.02271769663,18463.6015625,18629.56652036517,8210
2017-08-21,17301.84765625,18463.602414943045,17301.84765625,18463.602414943045,724770
2017-08-28,18116.05078125,18637.37598358813,17594.72557891187,18116.05078125,2060
2017-09-04,18094.33203125,18767.710534213686,17833.669384941477,18116.053918442376,2770
2017-09-11,18507.046875,18659.100077024646,18202.940470950703,18246.384242957745,5090
2017-09-18,18680.822265625,18680.822265625,18246.384538517443,18463.60340207122,2680
2017-09-25,18854.59765625,18854.59765625,18507.047469038018,18680.82256264401,15820
2017-10-02,19115.259765625,20005.857095614345,18637.378271484373,18898.04090465199,2550
2017-10-09,19897.24609375,19984.133631277295,19115.258256004367,19202.14579353166,5830
2017-10-16,19071.81640625,20201.35450775911,18680.822448035306,20157.910734624144,19880
2017-10-23,19115.259765625,19549.697487571022,18898.04090465199,19549.697487571022,14920
2017-10-30,19028.373046875,19158.70436911387,18767.71040239726,18941.485498715752,52580
2017-11-06,19940.69140625,20201.354039011436,18898.040875204246,19028.372191584967,13690
2017-11-13,19658.306640625,20722.679044371547,19332.478353763814,19375.922125345303,3900
2017-11-20,20853.0078125,21135.39229329427,19636.582356770832,19658.304239908855,8220
2017-11-27,21287.44921875,21678.443183992345,20440.29562739158,20440.29562739158,4070
2017-12-04,21504.669921875,21721.88880997475,20766.12570233586,21678.4450323548,17780
2017-12-11,21461.224609375,21504.668383887903,21135.396300528213,21504.668383887903,4560
2017-12-18,21721.8828125,21765.326578125,21461.22021875,21461.22021875,23600
2017-12-25,22025.990234375,22156.32153753698,21504.66502172707,21939.10269893368,2460
2018-01-01,22590.763671875,24980.171367938703,21939.107027493992,22025.994580078124,6010
2018-01-08,23459.63671875,23459.63671875,21287.448133680555,21721.885850694445,6750
2018-01-15,23855.84765625,23946.210715553978,23042.580122514206,23720.303067294037,5660
2018-01-22,23720.294921875,23946.20249255952,22590.75706845238,23855.839464285713,5790
2018-01-29,23494.39453125,23494.39453125,23042.579251802883,23268.48689152644,10090
2018-02-05,23268.482421875,23494.39001820388,23042.574825546115,23494.39001820388,8130
2018-02-12,23404.033203125,23404.033203125,23268.488609284508,23268.488609284508,1200
2018-02-19,23946.2109375,23946.2109375,23404.03257665094,23404.03257665094,2700
2018-02-26,24623.931640625,24623.931640625,23946.20875143349,23946.20875143349,2690
2018-03-05,24578.75390625,25075.75076832491,24307.664708754597,24623.9354391659,6860
2018-03-12,24578.75390625,24578.75390625,24578.75390625,24578.75390625,60
2018-03-19,24669.111328125,24849.837418440937,24398.0221926511,24398.0221926511,3810
2018-03-26,25211.2890625,25753.467321908603,24669.110803091397,24669.110803091397,1520
2018-04-02,25572.744140625,25572.744140625,24398.024445119256,24398.024445119256,520
2018-04-09,24623.931640625,25301.654529816515,24398.024010894496,24533.5685887328,5190
2018-04-16,23042.5703125,24623.923177083332,23042.5703125,24623.923177083332,1100
2018-04-23,24262.4765625,24398.02112430168,23042.575506284917,23584.753753491623,3810
2018-04-30,24623.931640625,24623.931640625,24262.479433056193,24262.479433056193,4130
2018-05-07,23946.2109375,24623.93388856132,23946.2109375,24623.93388856132,4790
2018-05-14,23946.2109375,24172.118587853773,23946.2109375,23946.2109375,170
2018-05-21,24712.484375,25382.978137112405,24425.129905523256,25382.978137112405,670
2018-05-28,24904.056640625,25143.51872370793,24712.48697415865,24712.48697415865,2760
2018-06-04,25861.90625,25861.90625,25143.519965277777,25143.519965277777,260
2018-06-11,25861.90625,26340.830439814814,25382.982060185186,25382.982060185186,3040
2018-06-18,26005.583984375,26819.75512200737,24137.779609806632,26005.583984375,5150
2018-06-25,26819.7578125,26819.7578125,26005.586593191965,26005.586593191965,2160
2018-07-02,25861.90625,26819.75462962963,25861.90625,26819.75462962963,1070
2018-07-09,24904.056640625,25861.90497295673,23946.20830829327,25861.90497295673,3590
2018-07-16,24568.806640625,26340.825833028754,24185.667355780948,25287.1927997076,1900
2018-07-23,25287.197265625,25287.197265625,24473.026141542377,24568.810979669743,1780
2018-07-30,25143.51953125,25287.196785714288,25143.51953125,25287.196785714288,370
2018-08-06,26819.7578125,26819.7578125,24664.598702566964,24664.598702566964,1540
2018-08-13,25861.90625,27777.60300925926,25526.65931712963,27059.216724537036,1710
2018-08-20,25670.33203125,27298.673988456158,25095.623105177237,25095.623105177237,100
