Price,Close,High,Low,Open,Volume
Ticker,DSN.VN,DSN.VN,DSN.VN,DSN.VN,DSN.VN
Date,,,,,
2023-07-17,44007.13671875,45026.90994039661,42752.031215184936,43693.36034285873,52100
2023-07-24,42359.80859375,44164.022663483796,41575.36769386574,43144.249493634255,449400
2023-07-31,42752.03515625,42987.367459862384,42281.370549025225,42359.81465022935,168900
2023-08-07,42673.5859375,43144.25048828125,42516.69775390625,42752.030029296875,127500
2023-08-14,41889.14453125,42830.47362183989,40947.81544066011,42673.58544007491,187100
2023-08-21,41496.92578125,42046.03443998109,41183.14940483223,41889.14625177221,71100
2023-08-28,41653.8125,42281.3652306968,41496.9243173258,41496.9243173258,58800
2023-09-04,42202.921875,42595.1423385223,41653.81322606877,41653.81322606877,77100
2023-09-11,42438.25390625,42438.25390625,41810.701168264786,42359.80981400185,69500
2023-09-18,42281.36328125,42752.027807571896,41575.36649176716,42438.25145669063,100000
2023-09-25,41889.14453125,42359.809076544945,41418.479985955055,42281.364985662454,48600
2023-10-02,41810.69921875,42124.475573112104,40790.926067073175,41889.14330734053,93400
2023-10-09,42359.80859375,42359.80859375,41183.14724392361,41810.699963831015,86100
2023-10-16,41575.37109375,42595.14434699292,40712.48603331368,42359.81205778302,90700
2023-10-23,41261.59375,41889.14650665399,40398.70870960076,41575.37012832699,70700
2023-10-30,41418.484375,41732.260771780304,40241.82288707386,41418.484375,85500
2023-11-06,42359.80859375,42595.14086371528,41653.811783854166,41889.144053819444,92500
2023-11-13,42202.921875,42673.586431226766,41889.145504182154,42281.36596770446,96300
2023-11-20,42830.48046875,43222.7009858631,42281.371744791664,42281.371744791664,93500
2023-11-27,42752.03515625,43065.81156106651,41810.70594180046,42830.47925745413,102300
2023-12-04,43301.140625,43536.47291100543,42595.143766983696,42752.031957653984,117200
2023-12-11,43928.69140625,44007.135498046875,42987.3623046875,43301.138671875,104100
2023-12-18,44320.9140625,44320.9140625,43536.47310564159,44164.02587112832,85800
2023-12-25,42987.359375,44948.461536268245,42673.58302919708,44399.352931113135,124000
2024-01-01,44962.28125,45289.87528460838,44307.09318078324,44880.3827413479,41200
2024-01-08,44798.48828125,45453.676409677784,44552.792733089576,45044.183829410424,43100
2024-01-15,44716.58984375,45289.87945713141,44307.09726276327,44798.48835994734,101100
2024-01-22,45044.1875,45289.883068181814,44225.20227272727,44716.59340909091,66900
2024-01-29,45044.1875,45289.883068181814,44388.99931818182,45207.98454545454,31700
2024-02-05,44962.28125,45044.17975865209,44552.78870673953,44880.3827413479,74100
2024-02-12,44798.48828125,45371.77789362431,44388.99570098263,44962.285313356944,66900
2024-02-19,44880.3828125,45207.97684762774,44307.09325102646,44716.58579493613,73500
2024-02-26,45044.1875,45126.08602272727,44716.59340909091,44716.59340909091,106900
2024-03-04,46927.84765625,48156.32534358639,45126.08038148997,45371.775918957246,191300
2024-03-11,45945.06640625,47419.23965992647,45535.573835784315,47091.64560355392,112200
2024-03-18,47676.61328125,47929.31617850044,46581.567393164754,47760.84758033348,99300
2024-03-25,47592.37890625,48434.72189574115,47255.441710453546,47760.84750414823,54200
2024-04-01,47423.90625,48013.54629218473,47086.9690830373,48013.54629218473,43200
2024-04-08,47929.3125,48603.186840949034,47423.90674428822,47592.37532952548,37100
