Price,Close,High,Low,Open,Volume
Ticker,DTA.VN,DTA.VN,DTA.VN,DTA.VN,DTA.VN
Date,,,,,
2017-01-02,2447.619140625,2647.619140625,2333.333251953125,2504.761962890625,14793
2017-01-09,2428.571533203125,2571.428466796875,2238.09521484375,2466.666748046875,128120
2017-01-16,2542.857177734375,2600.0,2428.571533203125,2476.1904296875,20485
2017-01-23,2428.571533203125,2590.47607421875,2428.571533203125,2514.28564453125,15203
2017-01-30,2438.09521484375,2733.333251953125,2428.571533203125,2428.571533203125,9702
2017-02-06,2657.142822265625,2952.380859375,2523.8095703125,2571.428466796875,37620
2017-02-13,2638.09521484375,2838.09521484375,2514.28564453125,2838.09521484375,36581
2017-02-20,2638.09521484375,2819.047607421875,2571.428466796875,2666.666748046875,49286
2017-02-27,2514.28564453125,2685.71435546875,2476.1904296875,2638.09521484375,88314
2017-03-06,2190.47607421875,2561.90478515625,2095.238037109375,2514.28564453125,353544
2017-03-13,1761.90478515625,2161.90478515625,1761.90478515625,2047.6190185546875,1735313
2017-03-20,2428.571533203125,2428.571533203125,1771.4285888671875,1771.4285888671875,848388
2017-03-27,2476.1904296875,2628.571533203125,2123.8095703125,2580.952392578125,1092052
2017-04-03,2190.47607421875,2476.1904296875,2171.428466796875,2476.1904296875,231660
2017-04-10,2257.142822265625,2457.142822265625,2161.90478515625,2342.857177734375,554682
2017-04-17,2142.857177734375,2285.71435546875,2142.857177734375,2285.71435546875,140225
2017-04-24,2238.09521484375,2266.666748046875,2142.857177734375,2257.142822265625,105766
2017-05-01,2238.09521484375,2276.1904296875,2095.238037109375,2238.09521484375,101230
2017-05-08,2476.1904296875,2514.28564453125,2133.333251953125,2238.09521484375,181807
2017-05-15,3161.90478515625,3161.90478515625,2295.238037109375,2457.142822265625,322128
2017-05-22,3714.28564453125,3857.142822265625,3361.90478515625,3380.952392578125,538575
2017-05-29,3809.52392578125,4323.8095703125,3695.238037109375,3971.428466796875,747096
2017-06-05,4266.66650390625,4266.66650390625,3761.90478515625,3809.52392578125,573656
2017-06-12,5952.380859375,5952.380859375,4561.90478515625,4561.90478515625,300414
2017-06-19,7714.28564453125,7742.85693359375,6333.33349609375,6361.90478515625,961988
2017-06-26,7142.85693359375,7714.28564453125,6247.619140625,7714.28564453125,850656
2017-07-03,8476.1904296875,8761.904296875,7142.85693359375,7638.09521484375,755453
2017-07-10,7247.619140625,8476.1904296875,7076.1904296875,8476.1904296875,281357
2017-07-17,7619.0478515625,7809.52392578125,6790.47607421875,7247.619140625,149623
2017-07-24,6876.1904296875,7714.28564453125,6133.33349609375,7714.28564453125,131879
2017-07-31,7257.14306640625,7257.14306640625,6200.0,6447.619140625,452317
2017-08-07,6476.1904296875,7609.52392578125,6476.1904296875,7257.14306640625,411073
2017-08-14,6428.5712890625,7038.09521484375,6047.619140625,6476.1904296875,21409
2017-08-21,6761.90478515625,6952.380859375,6000.0,6000.0,1415053
2017-08-28,6600.0,7095.23828125,6295.23828125,6761.90478515625,133107
2017-09-04,6666.66650390625,6714.28564453125,6190.47607421875,6600.0,66558
2017-09-11,6952.380859375,7047.619140625,6380.9521484375,6380.9521484375,137014
2017-09-18,7619.0478515625,7904.76171875,6952.380859375,7019.0478515625,64132
2017-09-25,7476.1904296875,7619.0478515625,7047.619140625,7095.23828125,37379
2017-10-02,7619.0478515625,7904.76171875,6485.71435546875,7476.1904296875,14783
2017-10-09,7352.380859375,7590.47607421875,7095.23828125,7095.23828125,30649
2017-10-16,6857.14306640625,7523.8095703125,6200.0,7371.4287109375,177416
2017-10-23,7714.28564453125,7714.28564453125,6761.90478515625,6952.380859375,133065
2017-10-30,8466.6669921875,8552.380859375,7333.33349609375,7619.0478515625,214020
2017-11-06,9571.4287109375,9571.4287109375,8104.76171875,8476.1904296875,253375
2017-11-13,10380.9521484375,10857.142578125,9666.6669921875,10142.857421875,293191
2017-11-20,10000.0,10190.4765625,8990.4765625,9666.6669921875,162823
2017-11-27,10666.6669921875,11142.857421875,10000.0,10380.9521484375,150265
2017-12-04,10571.4287109375,10857.142578125,10000.0,10666.6669921875,63723
2017-12-11,10428.5712890625,10571.4287109375,9238.095703125,10476.1904296875,178824
2017-12-18,9219.0478515625,10380.9521484375,9219.0478515625,9904.76171875,156344
2017-12-25,9619.0478515625,9809.5234375,8580.9521484375,8580.9521484375,65025
