Price,Close,High,Low,Open,Volume
Ticker,DTL.VN,DTL.VN,DTL.VN,DTL.VN,DTL.VN
Date,,,,,
2023-07-17,28700.0,30700.0,28700.0,30700.0,3900
2023-07-24,25200.0,26800.0,25200.0,26800.0,1800
2023-07-31,25400.0,25400.0,25000.0,25200.0,4400
2023-08-07,26000.0,26000.0,25200.0,25200.0,1000
2023-08-14,24550.0,26700.0,24550.0,26200.0,1500
2023-08-21,22200.0,24550.0,22200.0,24550.0,2300
2023-08-28,23700.0,23700.0,22000.0,22200.0,2400
2023-09-04,23800.0,24000.0,23500.0,23700.0,1700
2023-09-11,23800.0,24100.0,23600.0,24000.0,1500
2023-09-18,23000.0,23800.0,23000.0,23800.0,2000
2023-09-25,21800.0,22800.0,21500.0,22800.0,1600
2023-10-02,19600.0,21900.0,19500.0,21900.0,1700
2023-10-09,19200.0,19800.0,19000.0,19700.0,1100
2023-10-16,16200.0,19200.0,16200.0,19200.0,1200
2023-10-23,14500.0,16000.0,14500.0,16000.0,600
2023-10-30,15500.0,15500.0,13300.0,13600.0,6700
2023-11-06,15700.0,15800.0,15200.0,15700.0,7700
2023-11-13,16000.0,16300.0,15900.0,15900.0,3300
2023-11-20,15500.0,16750.0,14950.0,14950.0,5800
2023-11-27,15300.0,16300.0,15100.0,15200.0,18400
2023-12-04,15800.0,15900.0,15500.0,15600.0,7300
2023-12-11,16200.0,16200.0,15900.0,16000.0,2000
2023-12-18,15600.0,15900.0,15400.0,15900.0,3100
2023-12-25,16750.0,16750.0,15600.0,15700.0,72100
2024-01-01,15900.0,19000.0,15600.0,16750.0,88000
2024-01-08,15400.0,16200.0,15100.0,16200.0,32500
2024-01-15,14600.0,15400.0,14000.0,15400.0,17900
2024-01-22,14500.0,14500.0,13700.0,13700.0,7100
2024-01-29,14100.0,14500.0,13600.0,14500.0,10600
2024-02-05,14000.0,14550.0,14000.0,14200.0,3800
2024-02-12,14000.0,14500.0,14000.0,14200.0,1100
2024-02-19,14350.0,14350.0,14200.0,14200.0,5900
2024-02-26,14800.0,14800.0,14350.0,14350.0,6100
2024-03-04,14600.0,15100.0,14600.0,14800.0,7700
2024-03-11,14650.0,14900.0,14500.0,14700.0,3900
2024-03-18,14300.0,14650.0,14300.0,14650.0,3300
2024-03-25,14400.0,14800.0,14200.0,14300.0,4000
2024-04-01,14000.0,14300.0,14000.0,14200.0,3900
2024-04-08,14000.0,14000.0,13900.0,14000.0,4100
2024-04-15,13200.0,14000.0,13200.0,14000.0,1100
2024-04-22,13500.0,13500.0,13300.0,13300.0,1000
2024-04-29,13300.0,13500.0,13300.0,13500.0,300
2024-05-06,13500.0,14100.0,13500.0,14100.0,400
2024-05-13,13500.0,13500.0,13100.0,13200.0,2300
2024-05-20,13400.0,13600.0,13400.0,13600.0,1900
2024-05-27,13500.0,13700.0,13400.0,13500.0,1400
2024-06-03,13300.0,14250.0,13300.0,13500.0,1300
2024-06-10,13800.0,14300.0,13200.0,13400.0,8100
2024-06-17,14700.0,16850.0,13700.0,14750.0,47500
2024-06-24,13500.0,14700.0,13500.0,14700.0,16700
2024-07-01,13800.0,13900.0,13500.0,13500.0,3300
2024-07-08,14000.0,14300.0,14000.0,14000.0,3500
2024-07-15,14200.0,14200.0,14000.0,14000.0,3500
2024-07-22,13400.0,14000.0,13300.0,14000.0,4400
2024-07-29,13400.0,13650.0,13400.0,13600.0,3400
2024-08-05,13000.0,13300.0,13000.0,13000.0,800
2024-08-12,12700.0,13000.0,12650.0,13000.0,1300
2024-08-19,12750.0,12900.0,12700.0,12700.0,2000
2024-08-26,13000.0,13000.0,12600.0,12800.0,1600
2024-09-02,12500.0,12700.0,12500.0,12600.0,500
2024-09-09,12500.0,12500.0,12300.0,12300.0,1800
2024-09-16,12000.0,12500.0,11650.0,12500.0,1100
2024-09-23,12300.0,12400.0,12000.0,12000.0,1800
2024-09-30,12400.0,12400.0,12100.0,12200.0,1300
2024-10-07,12500.0,12600.0,12300.0,12300.0,500
2024-10-14,12000.0,12500.0,12000.0,12500.0,600
2024-10-21,13800.0,13800.0,12000.0,12000.0,253400
2024-10-28,12300.0,14700.0,11850.0,14700.0,444400
2024-11-04,10650.0,13150.0,10650.0,12300.0,257000
2024-11-11,10400.0,11550.0,10300.0,10650.0,23400
2024-11-18,10200.0,10500.0,9600.0,10100.0,7800
2024-11-25,10200.0,10400.0,10200.0,10300.0,4900
2024-12-02,10200.0,10350.0,10200.0,10200.0,4600
2024-12-09,9950.0,10600.0,9950.0,10200.0,6400
2024-12-16,9900.0,10000.0,9900.0,9950.0,1800
2024-12-23,10050.0,10400.0,10000.0,10000.0,6400
2024-12-30,10200.0,10250.0,10150.0,10150.0,1700
2025-01-06,9800.0,10200.0,9700.0,10200.0,6600
2025-01-13,9800.0,9900.0,9800.0,9800.0,1700
2025-01-20,9650.0,10250.0,9500.0,9800.0,1500
2025-01-27,9650.0,9650.0,9650.0,9650.0,0
2025-02-03,10700.0,10700.0,9650.0,9650.0,4900
2025-02-10,9950.0,10500.0,9950.0,10500.0,3900
2025-02-17,9800.0,10000.0,9700.0,10000.0,2100
2025-02-24,9800.0,10000.0,9800.0,9800.0,800
2025-03-03,9950.0,10000.0,9800.0,9800.0,3100
2025-03-10,10100.0,10100.0,10000.0,10000.0,1500
2025-03-17,10300.0,10750.0,10000.0,10750.0,3100
2025-03-24,10150.0,10400.0,10100.0,10300.0,4600
2025-03-31,10100.0,11200.0,10100.0,10300.0,15300
2025-04-07,10100.0,10400.0,9400.0,10100.0,4400
2025-04-14,10200.0,10250.0,10200.0,10200.0,3000
2025-04-21,10300.0,10400.0,10200.0,10250.0,3300
2025-04-28,10400.0,10400.0,10400.0,10400.0,400
2025-05-05,11000.0,11000.0,10400.0,10400.0,1200
2025-05-12,10800.0,11000.0,10600.0,11000.0,2000
2025-05-19,10600.0,10800.0,10600.0,10800.0,1300
2025-05-26,10700.0,10750.0,10600.0,10600.0,2800
2025-06-02,10550.0,10800.0,10400.0,10800.0,8200
2025-06-09,10300.0,10400.0,10250.0,10400.0,5500
2025-06-16,9800.0,10000.0,9800.0,10000.0,2100
2025-06-23,9300.0,9850.0,9300.0,9850.0,2000
2025-06-30,9950.0,9950.0,9250.0,9300.0,4000
2025-07-07,11100.0,11200.0,10050.0,10100.0,24700
2025-07-14,10200.0,11100.0,10200.0,11100.0,15700
2025-07-21,10400.0,10500.0,10300.0,10500.0,2500
2025-07-28,10500.0,10500.0,10400.0,10500.0,3000
2025-08-04,10700.0,11000.0,10600.0,10600.0,4100
2025-08-11,11700.0,12100.0,10850.0,11700.0,13300
2025-08-18,11300.0,11900.0,11200.0,11400.0,10700
2025-08-25,11250.0,11700.0,11250.0,11700.0,3900
2025-09-01,11300.0,11650.0,11250.0,11250.0,4000
2025-09-08,11500.0,11500.0,11100.0,11400.0,20000
2025-09-15,12100.0,12200.0,11500.0,11500.0,8800
2025-09-22,14700.0,16850.0,13800.0,13800.0,642300
2025-09-29,13200.0,14950.0,12900.0,14950.0,708400
2025-10-06,13300.0,13900.0,12600.0,13000.0,530800
2025-10-13,13000.0,13400.0,13000.0,13000.0,119800
2025-10-20,13450.0,13500.0,12900.0,13000.0,67400
2025-10-27,13700.0,14000.0,13300.0,13500.0,31900
2025-11-03,13900.0,15050.0,13800.0,13800.0,139400
2025-11-10,14400.0,14700.0,13900.0,13900.0,23400
2025-11-17,13500.0,14550.0,13500.0,14550.0,37600
2025-11-24,12400.0,13500.0,12400.0,13500.0,7700
2025-12-01,13050.0,13200.0,12500.0,12600.0,12300
2025-12-08,12800.0,13250.0,12800.0,13150.0,23000
2025-12-15,13400.0,13400.0,12800.0,12900.0,19900
2025-12-22,12800.0,13550.0,12600.0,13550.0,172600
2025-12-29,13200.0,13400.0,12950.0,12950.0,4700
2026-01-05,13050.0,13400.0,13050.0,13300.0,12600
2026-01-12,13200.0,13300.0,13100.0,13300.0,15400
2026-01-19,13250.0,13350.0,13100.0,13300.0,6300
2026-01-26,12400.0,13400.0,12400.0,13300.0,11100
2026-02-02,12100.0,12500.0,12100.0,12400.0,16600
2026-02-09,12350.0,12350.0,11550.0,12100.0,11500
2026-02-16,12350.0,12350.0,12350.0,12350.0,0
2026-02-23,11300.0,12450.0,11300.0,12450.0,35300
2026-03-02,11600.0,11750.0,11200.0,11500.0,22200
2026-03-09,11800.0,12000.0,11100.0,11650.0,28900
2026-03-16,11400.0,11800.0,11400.0,11800.0,16900
2026-03-23,10950.0,11600.0,10900.0,11400.0,17200
2026-03-30,11450.0,11700.0,10800.0,11700.0,24200
2026-04-06,11400.0,12050.0,11100.0,11650.0,21300
2026-04-13,11300.0,11600.0,11300.0,11500.0,11400
2026-04-20,11400.0,11400.0,11050.0,11350.0,7800
2026-04-27,11400.0,11500.0,11300.0,11400.0,4000
2026-05-04,11500.0,11600.0,11400.0,11400.0,2000
2026-05-11,11700.0,11900.0,11500.0,11500.0,1200
2026-05-18,11000.0,11700.0,10900.0,11700.0,10200
2026-05-25,10900.0,11200.0,10900.0,11000.0,2200
