Price,Close,High,Low,Open,Volume
Ticker,DXS.VN,DXS.VN,DXS.VN,DXS.VN,DXS.VN
Date,,,,,
2021-09-06,17532.3125,18093.84375,17189.15234375,17781.880859375,1897179
2021-09-13,18093.84375,18093.84375,17438.72265625,17532.3125,3517082
2021-09-20,18031.451171875,18281.021484375,17594.705078125,18093.84375,25936903
2021-09-27,17657.09765625,18530.591796875,17657.09765625,18031.451171875,2866526
2021-10-04,18031.451171875,18093.84375,17501.115234375,17781.880859375,25148507
2021-10-11,19466.48046875,20839.1171875,18031.451171875,18031.451171875,4609041
2021-10-18,18904.947265625,19653.658203125,18437.00390625,19466.48046875,3184993
2021-10-25,18967.33984375,19341.6953125,18592.984375,18904.947265625,2385219
2021-11-01,18936.14453125,19809.640625,18811.359375,18967.33984375,8385452
2021-11-08,19029.732421875,19591.265625,18748.966796875,18936.14453125,7667257
2021-11-15,20433.56640625,20901.509765625,18967.33984375,19029.732421875,10786538
2021-11-22,19466.48046875,20839.1171875,19466.48046875,20433.56640625,8712575
2021-11-29,20527.154296875,21837.3984375,18904.947265625,18967.33984375,11126483
2021-12-06,23054.0546875,23303.625,19185.71484375,20152.798828125,9459618
2021-12-13,23677.978515625,24301.904296875,22773.287109375,23085.25,6271096
2021-12-20,22773.287109375,23865.15625,21962.18359375,23865.15625,3530387
2021-12-27,23272.427734375,23366.017578125,21182.27734375,23054.0546875,3485509
2022-01-03,22648.501953125,23646.783203125,22149.361328125,23272.427734375,3355206
2022-01-10,21962.18359375,23085.25,20527.154296875,22648.501953125,4322308
2022-01-17,20839.1171875,22430.12890625,20277.583984375,22430.12890625,2165961
2022-01-24,20589.546875,21525.435546875,19341.6953125,21525.435546875,1984048
2022-01-31,20589.546875,20589.546875,20589.546875,20589.546875,0
2022-02-07,21494.240234375,21837.3984375,20246.388671875,20339.9765625,4689659
2022-02-14,21837.3984375,22149.361328125,21213.47265625,21494.240234375,3251186
2022-02-21,25175.400390625,25175.400390625,21213.47265625,21962.18359375,16863063
2022-02-28,24520.279296875,25861.71875,24021.138671875,25144.205078125,10088859
2022-03-07,24925.830078125,24988.22265625,22461.32421875,24395.494140625,11254223
2022-03-14,24270.708984375,25050.615234375,24021.138671875,24333.1015625,10617608
2022-03-21,24582.671875,25705.73828125,23958.74609375,24333.1015625,14573048
2022-03-28,22898.072265625,24333.1015625,21837.3984375,24208.31640625,6972142
2022-04-04,20963.90234375,23958.74609375,20963.90234375,22835.6796875,3996628
2022-04-11,21026.294921875,22118.166015625,20683.13671875,20963.90234375,1884839
2022-04-18,19279.302734375,21026.294921875,17469.919921875,21026.294921875,2977756
2022-04-25,19154.517578125,19684.85546875,17157.95703125,19092.125,1695071
2022-05-02,17282.7421875,19154.517578125,17282.7421875,19154.517578125,617220
2022-05-09,13289.6171875,17282.7421875,13289.6171875,17282.7421875,3753168
2022-05-16,14225.505859375,15254.982421875,11542.625,12447.3173828125,4259320
2022-05-23,13991.533203125,14412.68359375,12790.4765625,14225.505859375,1720743
2022-05-30,14422.0419921875,15247.18359375,13776.279296875,13991.533203125,1399691
2022-06-06,14350.291015625,14852.55078125,13130.515625,14422.0419921875,948133
2022-06-13,10619.21484375,13632.7763671875,10439.8359375,13632.7763671875,1772506
2022-06-20,11731.3623046875,11731.3623046875,9399.4404296875,11049.7236328125,890710
2022-06-27,12484.7529296875,13202.267578125,11408.4814453125,11408.4814453125,1090010
2022-07-04,11982.4921875,12628.255859375,11480.232421875,12628.255859375,721238
