Price,Close,High,Low,Open,Volume
Ticker,EIB.VN,EIB.VN,EIB.VN,EIB.VN,EIB.VN
Date,,,,,
2017-01-02,6766.44091796875,6835.840422729601,6245.945352009981,6245.945352009981,411870
2017-01-09,6662.341796875,6787.260711564303,6481.903471175282,6606.822385864584,78756
2017-01-16,6655.4013671875,6683.161551926157,6523.5426489216525,6662.341653288027,310428
2017-01-23,6648.4619140625,6655.40172069992,6565.182794918206,6655.40172069992,222863
2017-01-30,7564.53369140625,7599.233202349101,6648.461516298719,6648.461516298719,577742
2017-02-06,7286.9365234375,7564.5340641543025,7182.837505647668,7564.5340641543025,913897
2017-02-13,7148.13720703125,7807.43127801922,6815.020268403775,7217.536709196228,2090947
2017-02-20,7356.33544921875,7633.9334660116665,7182.837408470789,7252.236432837277,9003010
2017-02-27,7564.53369140625,7564.53369140625,7148.137160933423,7286.936164368273,1562555
2017-03-06,7564.53369140625,7564.53369140625,7321.635675311124,7564.53369140625,1209134
2017-03-13,7564.53369140625,7599.233202349101,7425.7346879714,7425.7346879714,946622
2017-03-20,8189.1279296875,8674.923971506887,7564.533841345546,7564.533841345546,4784676
2017-03-27,8085.029296875,8362.626346221528,8085.029296875,8189.127830506152,1430313
2017-04-03,8466.7255859375,8674.923606627724,7876.830554206246,8085.029054728184,1312771
2017-04-10,7946.23046875,8536.125051410601,7703.332445390596,8466.726027449406,858307
2017-04-17,7599.2333984375,8015.629939654902,7391.035367744667,7911.530924308486,2912711
2017-04-24,7911.53076171875,8189.127810383145,7321.635713769665,7495.134229058706,1932215
2017-05-01,7703.33251953125,7911.531032913859,7633.933494902122,7911.531032913859,587893
2017-05-08,7772.73193359375,7911.530940901231,7633.933406118006,7703.332429940009,867240
2017-05-15,7703.33251953125,7772.73202399212,7564.533990441253,7772.73202399212,1582236
2017-05-22,8119.72900390625,8223.828499711391,7633.93343608646,7633.93343608646,2494990
2017-05-29,8050.330078125,8327.927137556351,8050.330078125,8189.128128008931,2454605
2017-06-05,8536.125,8744.32303029315,7911.530909120548,7980.929932663775,3096024
2017-06-12,8466.7255859375,8744.32262696999,8327.926585589541,8605.524586285459,1962447
2017-06-19,8917.8212890625,9577.115832173557,8466.725729843787,8466.725729843787,8361719
2017-06-26,8952.5224609375,8952.5224609375,8570.824933670288,8813.723447355198,3188533
2017-07-03,9021.9208984375,9299.517947801409,8744.322889410136,9021.9208984375,6138357
2017-07-10,8917.8212890625,9091.319802530492,8744.322775594508,9091.319802530492,1638551
2017-07-17,8085.029296875,8813.722870946889,7772.731776654631,8813.722870946889,3792174
2017-07-24,8432.0263671875,8536.124901298672,7980.929840382045,8085.029334156676,1447489
2017-07-31,9021.9208984375,9160.719902951181,8050.329786168637,8432.02632883367,8571698
2017-08-07,8640.224609375,9021.921163243356,8466.72608855634,9021.921163243356,3268890
2017-08-14,8362.626953125,8744.323523467117,7842.13184803655,8709.624009738476,4850959
2017-08-21,8327.9267578125,8536.124782808296,8154.42824370543,8362.626268701226,25260929
2017-08-28,8432.0263671875,8536.124901298672,8223.828339301697,8258.527850672088,2284855
2017-09-04,8397.326171875,8466.726156557948,8258.528121836083,8432.02664404822,1583440
2017-09-11,8883.1220703125,8952.522053779117,8223.828465192222,8397.326024700078,3605092
2017-09-18,8605.525390625,9021.921470925075,8536.125404132643,8883.122457603879,1267728
2017-09-25,8674.923828125,8709.623339182117,8397.325820341159,8709.623339182117,1378402
2017-10-02,8258.5283203125,8536.125386725287,8223.82880696884,8466.726360037968,1434094
2017-10-09,8154.4287109375,8327.92723498568,8015.630179598005,8327.92723498568,1073722
2017-10-16,7980.93017578125,8258.528197737372,7772.732139145909,8154.428699587951,1951883
2017-10-23,7911.53076171875,8119.728788132908,7738.032246429709,7980.929783968985,633105
2017-10-30,7842.13134765625,7911.530850517146,7633.933318905293,7807.431356309936,804271
2017-11-06,7842.13134765625,8050.329856238939,7703.332341934458,8050.329856238939,703594
2017-11-13,8050.330078125,8154.428615537948,7633.933529314485,7842.13156380387,2289400
2017-11-20,8640.224609375,8883.12215465573,7980.930038331395,8050.330022456949,5074914
2017-11-27,8640.224609375,8883.12215465573,8293.22756773768,8640.224609375,3588085
2017-12-04,8883.1220703125,9299.518132458305,8501.425520068267,8640.224527338027,7856618
2017-12-11,8709.6240234375,8883.122552017127,8189.1284376986205,8883.122552017127,2386000
