Price,Close,High,Low,Open,Volume
Ticker,FCN.VN,FCN.VN,FCN.VN,FCN.VN,FCN.VN
Date,,,,,
2017-01-02,11353.8720703125,11535.050430412168,11233.085970356959,11535.050430412168,622973
2017-01-09,11535.05078125,11776.622988508487,11474.65772943538,11474.65772943538,1367306
2017-01-16,11172.6923828125,11595.44292248289,10991.513241596502,11504.853746791694,430809
2017-01-23,11233.083984375,11353.870062975855,11112.297905774143,11353.870062975855,196850
2017-01-30,11172.6923828125,11414.26378126689,11172.6923828125,11233.085429884499,102369
2017-02-06,11927.6025390625,12138.977777931119,11051.904669559084,11142.494621812415,2349418
2017-02-13,11625.638671875,12138.97916032508,11504.85337150461,11957.800025019125,2116543
2017-02-20,12682.513671875,13044.871115090456,11565.24521772463,11565.24521772463,5982473
2017-02-27,12169.17578125,12984.480738425691,11837.014414641353,12380.551052758481,3560522
2017-03-06,11927.6025390625,12682.513542283647,11897.40562503356,12169.17390212657,2907441
2017-03-13,12078.5859375,12259.764280306534,11625.638500816527,11837.013760646529,2351226
2017-03-20,12380.5498046875,12773.10417927321,11957.799304287597,12138.978428673356,3680675
2017-03-27,11867.2109375,12410.746767653767,11867.2109375,12380.550639802732,2550274
2017-04-03,11867.2109375,12229.568420880374,11806.81789196434,11867.2109375,1339317
2017-04-10,11474.65625,12018.192856419375,11353.870951777357,11867.210641265896,2416473
2017-04-17,11263.2802734375,11655.83463970082,10961.315862363263,11474.65551915617,2073139
2017-04-24,11957.7998046875,12048.388975754511,11263.280983562088,11263.280983562088,2156733
2017-05-01,11565.24609375,11957.799691203963,11414.263090293105,11957.799691203963,1122941
2017-05-08,12259.7646484375,12350.354612394533,11595.44272180962,11716.228813863268,3173316
2017-05-15,12229.568359375,12803.301104327955,12078.586141211968,12380.550577538032,3488539
2017-05-22,12803.3017578125,13588.409806232577,12138.979806021242,12440.944257759666,6759311
2017-05-29,14554.6953125,14554.6953125,12742.907232414174,12803.300273728173,8157220
2017-06-05,14947.2509765625,15581.376813863148,14494.303498585672,14917.054056786103,7695996
2017-06-12,15238.2119140625,16023.687026106349,14515.575731410087,15552.40163015578,6543657
2017-06-19,16400.712890625,16400.712890625,14421.31633724393,15269.630319850947,8789903
2017-06-26,17468.9609375,17783.1506518391,16432.13340092181,16652.066365321312,11157886
2017-07-03,17657.474609375,18097.34054245859,16871.999494065545,17594.637323343617,9942296
2017-07-10,17343.283203125,17940.243114967067,16903.417312874575,17657.472889929424,6954368
2017-07-17,15332.4677734375,17783.149717606404,14735.507840640716,17468.96001977317,11275201
2017-07-24,15552.4013671875,15898.010542132752,14452.73655764409,15081.115979205675,4687509
2017-07-31,15081.1171875,15583.82207992284,14452.73771559285,15552.402613241062,5768039
2017-08-07,14169.9677734375,15363.88945507156,13824.358562823692,15081.117535650517,8504987
2017-08-14,14452.736328125,14986.85899233225,13824.356916542498,14169.966085999247,5807064
2017-08-21,13195.9775390625,14452.737265553658,12818.94970329622,14327.06104636134,214994528
2017-08-28,13415.91015625,13635.843123103454,12976.044222543092,13195.977189396546,3506658
2017-09-04,13007.4638671875,13447.329806973707,12944.625758387947,13415.910341668598,1850923
2017-09-11,13667.263671875,13698.68231742691,12630.436863311872,13164.559590369392,3496012
2017-09-18,14169.9677734375,14766.92779244381,13353.073126202915,13761.520449820207,5588544
2017-09-25,13573.00390625,14484.155164093088,13573.00390625,14421.316239485332,3634164
2017-10-02,13573.00390625,13824.35631743868,12913.205059595592,13573.00390625,2517489
2017-10-09,14515.5771484375,14515.5771484375,13321.654631471774,13415.911391139081,3952266
2017-10-16,15081.1171875,15520.983146559285,14201.38526938143,14672.670695122491,8978613
2017-10-23,14829.765625,15081.11641471025,14327.06075833687,15081.11641471025,4202808
2017-10-30,14075.708984375,14955.440795898438,13321.652558918768,14892.601870148934,4060249
2017-11-06,14546.9951171875,14766.928106471345,14012.872378015518,14075.71131416603,4219936
2017-11-13,14924.021484375,15395.30685779099,14484.1555741524,14609.831783304746,7966890
2017-11-20,14735.5087890625,14955.441756063432,14138.547174222265,14924.022291171497,4879592
2017-11-27,16275.041015625,16337.87830741513,14829.766868237475,14829.766868237475,11371531
2017-12-04,15709.4970703125,16526.389990966352,15395.307359013228,16463.55270615501,5757419
2017-12-11,15740.9130859375,15960.846022989974,14955.439719568167,15489.56233189259,3867013
2017-12-18,15363.8876953125,16400.713564775844,15363.8876953125,15835.173077952884,6030966
2017-12-25,15269.6318359375,15552.402095801326,15112.5361513767,15206.792904664642,2943693
2018-01-01,15332.4677734375,15803.753141997951,15175.373746331483,15269.630491319333,4671760
2018-01-08,15702.0947265625,15702.0947265625,14327.060848603058,15332.468944642476,10259696
2018-01-15,16138.2646484375,16138.2646484375,14720.713531242149,15883.832059480103,4405247
2018-01-22,15992.875,16356.348722072582,15374.968686303779,16138.264817553312,2712557
2018-01-29,16865.21484375,17410.425457195994,15847.486064247403,15992.875889890633,7878342
2018-02-05,14866.1025390625,16647.12727769447,14102.806457308981,16574.433195442365,3341111
2018-02-12,15302.2724609375,15484.009316097568,14902.45006468828,14902.45006468828,559560
2018-02-19,15411.314453125,15411.314453125,14793.40819061567,15302.27168808769,1828721
2018-02-26,15047.83984375,15629.399093853368,14684.366134246062,15629.399093853368,2269521
2018-03-05,15484.009765625,15774.789399771476,15120.536044752598,15120.536044752598,2733823
2018-03-12,15411.314453125,16392.69440759702,15229.577607143654,15302.27168808769,2899617
2018-03-19,14757.0595703125,15920.178019414918,14611.669764174698,15411.314519743242,2927110
2018-03-26,15447.662109375,15593.051920679887,14684.36601092967,14757.060094771454,1192838
2018-04-02,15302.2724609375,15811.135984109957,14902.45006468828,15556.705044334398,1856747
2018-04-09,14393.5869140625,15556.705446985865,14139.154324080167,15411.315630370445,2049896
2018-04-16,13339.509765625,14757.05909731713,13157.772924683119,14538.975216911114,2547282
2018-04-23,11994.6552734375,13375.857653246994,11994.6552734375,13303.163569709222,3193863
2018-04-30,11921.9599609375,12358.12937813228,11776.570155205907,11994.654863803296,1543749
2018-05-07,12285.435546875,13194.12150105312,11812.919047936946,11958.308866350302,4121409
2018-05-14,11994.6552734375,12939.689042967078,11849.265462740643,12503.519610876503,3891458
2018-05-21,10504.41015625,12285.434931730484,10504.41015625,11994.655309463413,2950807
2018-05-28,10722.4951171875,10904.232796149376,9777.461323293519,10322.673538368463,4556989
2018-06-04,12866.994140625,12866.994140625,10540.757990742408,10722.494843250615,5343675
2018-06-11,12721.60546875,12939.690204369492,11849.266526272035,12612.562690034889,3292005
2018-06-18,12503.5185546875,13012.382849142052,11667.52762470317,12939.68794993426,4351996
2018-06-25,12321.78125,12721.603618042598,12285.43421025646,12685.255756488448,2872980
2018-07-02,11558.486328125,12394.47736393382,10976.92706084558,12394.47736393382,3221900
2018-07-09,11122.3154296875,11885.61227952596,10904.231554660038,11849.26441914766,1825492
2018-07-16,11376.75,11849.266515854788,11049.62248595299,11122.317397762245,1402935
2018-07-23,11413.095703125,11994.65492922325,11340.400799862718,11376.748662399175,1948743
2018-07-30,11340.4013671875,11849.26571548036,11340.4013671875,11631.18099478342,2123626
2018-08-06,11158.6640625,11558.485623474571,11049.621295627436,11376.748774434487,955535
2018-08-13,11122.3154296875,11449.442885849865,11013.27349217377,11449.442885849865,844844
2018-08-20,12212.7412109375,12285.436123556496,11158.66538886744,11267.707346890562,4414716
2018-08-27,11849.265625,12430.824875751085,11849.265625,12358.129969407199,3697313
2018-09-03,11413.095703125,11994.65492922325,11195.010993338155,11849.265122698687,1709879
2018-09-10,11703.875,11921.959703895398,11195.010690910736,11413.095394806136,3276540
2018-09-17,11958.3076171875,12031.00251880048,11449.443305896637,11703.875050636761,2700042
2018-09-24,12067.3505859375,12467.172167938483,11776.570954732899,12031.003542942268,3838254
2018-10-01,12212.7412109375,12430.825948794485,11812.919602438396,12067.351385699509,2929831
2018-10-08,11716.5966796875,12358.129165916385,11067.7952785643,12140.044461063982,2441674
2018-10-15,12097.0048828125,12451.640053099838,11742.369712525162,12097.0048828125,1303219
2018-10-22,11663.5634765625,12215.218740914826,11269.524244451652,11978.794692552607,2041266
2018-10-29,11821.1787109375,12057.601894849564,11545.35067313183,11663.56268933426,1557808
2018-11-05,11821.1787109375,11821.1787109375,11466.543510823005,11663.56268933426,1427273
2018-11-12,11781.775390625,12175.814619052951,11505.948185273288,11663.56336754876,1356348
2018-11-19,12530.44921875,13082.104450604926,11821.17881243138,12057.60199837332,5257027
2018-11-26,12451.640625,12766.872656171901,12294.025457906811,12609.25664058595,2446213
2018-12-03,13003.296875,13239.720917359726,12372.834459026391,12688.065667013196,7375338
2018-12-10,12845.6806640625,13200.316722558278,12688.065486557196,13003.296690060624,3943927
2018-12-17,11939.390625,12806.277039416127,11781.774604745144,12806.277039416127,4699282
2018-12-24,11742.3701171875,12215.217310029988,11427.138938123426,11939.390134410518,3743988
2018-12-31,11151.3115234375,11821.17877011168,10875.484332743898,11742.370758915564,1511427
2019-01-07,10639.0615234375,11348.331952269535,9850.982232132892,11111.907910330305,5119367
2019-01-14,10442.0400390625,11269.522374004016,10442.0400390625,10796.675204252762,2992932
2019-01-21,11151.3115234375,11348.331551427787,10442.041119658063,10442.041119658063,1327717
2019-01-28,10836.0810546875,11230.120288631331,10717.869029956495,11072.505104149513,753336
2019-02-04,10836.0810546875,10836.0810546875,10836.0810546875,10836.0810546875,0
2019-02-11,11584.7548828125,11978.794095276098,10875.484470076588,10954.292482267869,2307276
2019-02-18,11190.7158203125,11781.775071174918,11111.907807065134,11584.755038056504,859308
2019-02-25,11781.775390625,11939.391421393319,11111.90810835249,11190.71612373665,2190885
2019-03-04,12609.2578125,12648.661820058725,11781.77535075243,11821.179358311158,3330760
2019-03-11,12057.6025390625,12491.045773136595,12057.6025390625,12136.41055407467,2253343
2019-03-18,11821.1787109375,12372.833938056043,11742.37070013588,12136.409905651184,1908369
2019-03-25,11702.9658203125,11781.77382522574,11269.522641782409,11505.94665652213,1392068
2019-04-01,12648.662109375,12648.662109375,11663.563594860101,11702.967603320125,3575648
2019-04-08,12333.4296875,12924.488059777916,11860.582480582001,12648.66087594774,2508725
2019-04-15,11624.1591796875,12333.430458658706,11505.948006936325,12333.430458658706,1731760
2019-04-22,11978.7939453125,12018.197950914839,11545.350732179577,11624.158743384254,1240532
2019-04-29,11781.775390625,12057.602595976712,11663.56336754876,11978.794580592554,514183
2019-05-06,11545.3505859375,11781.774616556806,11308.927403810982,11308.927403810982,940915
2019-05-13,11663.5634765625,12018.198700612977,11348.332260572392,11545.35145238139,1709357
2019-05-20,11584.7548828125,11899.986931577627,11505.947719114029,11624.158888908141,1192925
2019-05-27,11387.736328125,11584.755520963272,11308.928311592548,11545.351512697047,1133412
2019-06-03,11505.9482421875,11702.96743312961,11111.908163317583,11348.332210639534,866905
2019-06-10,11190.7158203125,11584.755038056504,11033.10064231059,11505.94787330196,879330
2019-06-17,11190.7158203125,11427.139860054594,10954.292629063226,11111.907807065134,844745
2019-06-24,11387.736328125,12215.21880473003,11033.101102221823,11190.71628679387,3390979
2019-07-01,11624.1591796875,11821.179215094176,11308.927971529647,11663.563186768835,2180952
2019-07-08,11505.9482421875,11860.583464677577,11466.544234300509,11742.371441016601,2842728
2019-07-15,11230.119140625,11348.331153271705,11111.907127978295,11348.331153271705,977705
2019-07-22,11261.1396484375,11628.350561583504,11261.1396484375,11628.350561583504,712699
2019-07-29,10975.53125,11301.940849811337,10893.928630401871,11261.139540012273,2530347
2019-08-05,10608.3193359375,10975.531119771998,10526.717595888778,10975.531119771998,1413238
2019-08-12,10608.3193359375,11057.13285982072,10567.518905203722,10649.120645252444,1651565
2019-08-19,10485.9169921875,10730.723985969444,10445.115680126972,10689.922673908915,1161139
2019-08-26,10710.3232421875,10924.530128750235,10322.711659369485,10404.314282821953,1045008
2019-09-02,10324.751953125,10796.006235396162,9767.814914335222,10710.323478877544,937072
2019-09-09,10281.9091796875,10538.957414363831,10110.544568484398,10538.957414363831,1229328
2019-09-16,10196.2265625,10538.95754636104,10196.2265625,10281.90930846526,1050650
2019-09-23,10838.8466796875,10838.8466796875,10153.385565185,10324.751063455917,1982976
2019-09-30,10796.005859375,11224.41874846538,10710.323105840684,10881.688612909318,2308434
2019-10-07,10796.005859375,11053.053241396745,10624.640352306367,10881.688612909318,915630
2019-10-14,10624.640625,10881.688892200391,10367.593236380839,10753.164758600196,1195487
2019-10-21,10453.2763671875,10624.64100622192,10324.75222897574,10581.799626818,1508460
2019-10-28,10410.43359375,10710.322330838873,10324.750846415709,10453.274967417145,2320394
2019-11-04,10196.2265625,10538.95754636104,10196.2265625,10410.433427413149,1191235
2019-11-11,9510.767578125,10239.069255564447,9425.084821113009,10239.069255564447,1427704
2019-11-18,8825.306640625,9682.13247688483,8825.306640625,9510.767836781622,1166549
2019-11-25,8499.712890625,8996.671821873111,8482.576163683043,8825.306309616011,1513921
2019-12-02,8825.306640625,8868.148020296117,8054.163563707407,8559.69131667784,773199
2019-12-09,8782.4638671875,8868.146612931989,8499.711860528041,8868.146612931989,1329645
2019-12-16,8696.7822265625,8910.988217922344,8533.984653974885,8868.146843934146,1414600
2019-12-23,8568.2587890625,8739.624298704613,8396.893279420387,8611.100166473028,1395575
2019-12-30,8739.6240234375,8868.14727303984,8482.575767070437,8568.258519192792,1447236
2020-01-06,8568.2587890625,8825.30617494445,8354.051902009858,8782.464797533921,1100640
2020-01-13,8559.6904296875,8568.258353301373,8482.575602837936,8568.258353301373,1337027
2020-01-20,8825.306640625,8825.306640625,8525.41786150844,8525.41786150844,634756
2020-01-27,8311.2099609375,8825.304643490626,8054.16174107987,8825.304643490626,475061
2020-02-03,8139.8466796875,8311.212205880152,7737.138395999811,7737.138395999811,2074075
2020-02-10,8328.34765625,8456.871794731138,7977.049574415324,8139.846289342675,1900288
2020-02-17,8551.12109375,8782.46380269643,8216.95891494898,8345.483032621938,2022939
2020-02-24,7882.79736328125,8508.280398087316,7711.432737998469,8508.280398087316,1622523
2020-03-02,8139.8466796875,8191.255986112774,7822.821159096136,7882.798390398521,860789
2020-03-09,6092.0322265625,8054.163312932967,6074.895499511368,7582.909029804909,6346576
2020-03-16,6477.603515625,6597.559282714924,5740.733065243562,6092.03200330178,3276335
2020-03-23,5997.78076171875,6297.669953556395,5740.7329457565675,6169.146265220601,2032463
2020-03-30,6494.73974609375,6546.149042856117,5569.36757217488,5954.939494345479,2068446
2020-04-06,6940.28955078125,7025.972305951499,6597.559408681474,6640.400346975988,3244058
2020-04-13,7025.97216796875,7154.495858909441,6940.28941448122,6948.857777688094,3946813
2020-04-20,7025.97216796875,7488.658070362084,6683.241593309233,7120.22284537255,6049951
2020-04-27,7694.296875,7917.071703580348,7077.382134043127,7197.337912345772,4456305
2020-05-04,7762.84130859375,7951.343520855126,7248.746163160443,7668.590641753616,5593622
2020-05-11,7951.34423828125,8148.413512698467,7711.432709475317,7762.842009011879,4180616
2020-05-18,7814.251953125,8002.754197943413,7711.433345570646,7951.344894166236,2121735
2020-05-25,7865.662109375,8131.27830897752,7779.979350976606,7814.25192718721,3782687
2020-06-01,8439.7333984375,8559.689588733585,7797.114590258699,7865.660608178851,6667752
2020-06-08,8482.576171875,9510.7674892481,8054.163269399746,8439.73479376935,7012245
2020-06-15,8542.5537109375,8739.623861450014,8139.845486291519,8559.690436760584,3966574
2020-06-22,9125.1962890625,9596.4505863853,8525.417852856774,8782.465252041362,8666300
2020-06-29,8653.94140625,9125.195671689695,8139.845764081132,8910.988788043831,4302983
2020-07-06,9168.037109375,9425.084492877879,8611.100086774015,8739.624217816061,3664300
2020-07-13,9125.1962890625,9596.4505863853,8996.672150179573,9596.4505863853,2895353
2020-07-20,8328.34765625,9253.719520435416,8328.34765625,9125.19626053554,4392411
2020-07-27,7265.8828125,8139.845262471964,7197.336789673639,7754.27377425104,4081957
2020-08-03,7882.79736328125,8191.254918803922,7265.883130817097,7274.451493868413,3613122
2020-08-10,8174.1181640625,8345.483667326076,7882.797335663133,8037.026112884114,2982640
2020-08-17,8439.7333984375,8653.94025355116,8174.1172495289975,8174.1172495289975,3519441
2020-08-24,8653.94140625,8953.830164773004,8465.439172925398,8542.554002470391,4824980
2020-08-31,8611.099609375,8825.305603988292,8525.416860097217,8611.099609375,2446037
2020-09-07,8953.8310546875,9125.196578636082,8525.41812339734,8696.783647345921,4631339
2020-09-14,9168.037109375,9382.243115863865,8739.624217816061,8996.67160131894,6905103
2020-09-21,9724.9736328125,9767.815011497962,8910.989194951211,9168.037467063983,9695089
2020-09-28,10024.8623046875,10410.433796624533,9596.449438248446,9896.338181181436,11611025
2020-10-05,9767.814453125,10324.751465617694,9724.973076888546,10196.227336908334,6785256
